Date,Close,AEP
16/08/2005,37.13,-0.012046726
15/08/2005,37.58,0.00159787
12/08/2005,37.52,-0.005316334
11/08/2005,37.72,0.00451708
10/08/2005,37.55,-0.000798616
09/08/2005,37.58,0.014473584
08/08/2005,37.04,-0.030051457
05/08/2005,38.17,-0.013531302
04/08/2005,38.69,-0.005413082
03/08/2005,38.9,0.012936791
02/08/2005,38.4,0.006793859
01/08/2005,38.14,-0.014576
29/07/2005,38.7,0.004921652
28/07/2005,38.51,0.00233979
27/07/2005,38.42,0.002867199
26/07/2005,38.31,-0.006504511
25/07/2005,38.56,-0.005431282
22/07/2005,38.77,0.009328909
21/07/2005,38.41,-0.015243804
20/07/2005,39,0.0051414
19/07/2005,38.8,0.003614773
18/07/2005,38.66,-0.000775695
15/07/2005,38.69,0.001293159
14/07/2005,38.64,-0.006449139
13/07/2005,38.89,-0.002568055
12/07/2005,38.99,0.002825223
11/07/2005,38.88,0.020528199
08/07/2005,38.09,0.020154488
07/07/2005,37.33,0.013213082
06/07/2005,36.84,-0.011872778
05/07/2005,37.28,0.011330038
01/07/2005,36.86,-0.00027126
30/06/2005,36.87,0.006803673
29/06/2005,36.62,0.001913353
28/06/2005,36.55,0.008241805
27/06/2005,36.25,0.004977886
24/06/2005,36.07,-0.008557678
23/06/2005,36.38,0.007449338
22/06/2005,36.11,0.009180757
21/06/2005,35.78,-0.003348217
20/06/2005,35.9,0.003627742
17/06/2005,35.77,0.001398797
16/06/2005,35.72,-0.004469281
15/06/2005,35.88,-0.0086028
14/06/2005,36.19,0.010555654
13/06/2005,35.81,0.002236512
10/06/2005,35.73,-0.005860209
09/06/2005,35.94,0.003344485
08/06/2005,35.82,0.000558503
07/06/2005,35.8,-0.00334635
06/06/2005,35.92,0.00334635
03/06/2005,35.8,-0.000558503
02/06/2005,35.82,-0.002509412
01/06/2005,35.91,0.006145271
31/05/2005,35.69,0.007876271
27/05/2005,35.41,-0.000564653
26/05/2005,35.43,-0.000564334
25/05/2005,35.45,-0.002816903
24/05/2005,35.55,-0.001686341
23/05/2005,35.61,0.001686341
20/05/2005,35.55,-0.004210533
19/05/2005,35.7,0.007027436
18/05/2005,35.45,0.000564334
17/05/2005,35.43,0.01564532
16/05/2005,34.88,0.010664462
13/05/2005,34.51,-0.015526476
12/05/2005,35.05,-0.006824024
11/05/2005,35.29,0.003406191
10/05/2005,35.17,0.000284374
09/05/2005,35.16,-0.00170503
06/05/2005,35.22,-0.008481815
05/05/2005,35.52,0.000563222
04/05/2005,35.5,-0.003093801
03/05/2005,35.61,0.006762494
02/05/2005,35.37,0.0042499
29/04/2005,35.22,0.006266042
28/04/2005,35,-0.008818148
27/04/2005,35.31,0.011965955
26/04/2005,34.89,-0.006855211
25/04/2005,35.13,0.004564915
22/04/2005,34.97,0.002576952
21/04/2005,34.88,0.008927345
20/04/2005,34.57,-0.005481046
19/04/2005,34.76,0.005481046
