Date,Close,NOV
23/11/2005,62.48,-0.003674419
22/11/2005,62.71,0.032412495
21/11/2005,60.71,0.027893249
18/11/2005,59.04,-0.004562746
17/11/2005,59.31,0.017862174
16/11/2005,58.26,0.028023764
15/11/2005,56.65,-0.005983826
14/11/2005,56.99,0.021101944
11/11/2005,55.8,0.006652906
10/11/2005,55.43,-0.058510557
09/11/2005,58.77,-0.007290021
08/11/2005,59.2,-0.006398405
07/11/2005,59.58,-0.023553917
04/11/2005,61,-0.047540359
03/11/2005,63.97,-0.013816877
02/11/2005,64.86,0.024661777
01/11/2005,63.28,0.012882882
31/10/2005,62.47,0.011268632
28/10/2005,61.77,0.046558562
27/10/2005,58.96,-0.026940473
26/10/2005,60.57,-0.006254135
25/10/2005,60.95,0.023069648
24/10/2005,59.56,0.030860858
21/10/2005,57.75,0.045522781
20/10/2005,55.18,-0.03595333
19/10/2005,57.2,0.030170878
18/10/2005,55.5,-0.046642858
17/10/2005,58.15,0.031443638
14/10/2005,56.35,0.016100527
13/10/2005,55.45,-0.049262379
12/10/2005,58.25,-0.027932413
11/10/2005,59.9,0.022283164
10/10/2005,58.58,-0.011203648
07/10/2005,59.24,0.006605156
06/10/2005,58.85,-0.037192647
05/10/2005,61.08,-0.040271745
04/10/2005,63.59,-0.045046429
03/10/2005,66.52,0.010882816
30/09/2005,65.8,-0.023579977
29/09/2005,67.37,-0.001186768
28/09/2005,67.45,0.015990776
27/09/2005,66.38,0.003017504
26/09/2005,66.18,0.042914441
23/09/2005,63.4,-0.013162208
22/09/2005,64.24,-0.026725596
21/09/2005,65.98,0.014964396
20/09/2005,65,-0.016327516
19/09/2005,66.07,0.035118348
16/09/2005,63.79,0.004399064
15/09/2005,63.51,-0.006904154
14/09/2005,63.95,0.000782167
13/09/2005,63.9,0.006279455
12/09/2005,63.5,-0.02718614
09/09/2005,65.25,0.025769821
08/09/2005,63.59,-0.008144133
07/09/2005,64.11,0.003907171
06/09/2005,63.86,0.011972418
02/09/2005,63.1,-0.037939874
01/09/2005,65.54,0.020501681
31/08/2005,64.21,0.069983417
30/08/2005,59.87,0.022806969
29/08/2005,58.52,0.003423488
26/08/2005,58.32,-0.014131503
25/08/2005,59.15,-0.002026685
24/08/2005,59.27,0.014787386
23/08/2005,58.4,0.011712156
22/08/2005,57.72,-0.010341354
19/08/2005,58.32,0.0290531
18/08/2005,56.65,0.002651349
17/08/2005,56.5,-0.023785661
16/08/2005,57.86,-0.017135443
15/08/2005,58.86,-0.020348806
12/08/2005,60.07,-0.008784344
11/08/2005,60.6,0.012286391
10/08/2005,59.86,0.025206443
09/08/2005,58.37,-0.01107431
08/08/2005,59.02,0.034825102
05/08/2005,57,-0.01462931
04/08/2005,57.84,0.016385237
03/08/2005,56.9,0.01594365
02/08/2005,56,0.037479373
01/08/2005,53.94,0.02992038
29/07/2005,52.35,0.002294895
28/07/2005,52.23,0.004413324
27/07/2005,52,0.008497541
26/07/2005,51.56,-0.004064653
25/07/2005,51.77,0.005811717
22/07/2005,51.47,0.05902303
21/07/2005,48.52,-0.001441664
20/07/2005,48.59,0.006400352
19/07/2005,48.28,0.033273232
18/07/2005,46.7,-0.004060268
15/07/2005,46.89,-0.01523839
14/07/2005,47.61,-0.013974573
13/07/2005,48.28,-0.024146866
12/07/2005,49.46,0.0337203
11/07/2005,47.82,0.007978207
08/07/2005,47.44,-0.013192527
07/07/2005,48.07,-0.001039609
06/07/2005,48.12,-0.011981139
05/07/2005,48.7,0.018653391
01/07/2005,47.8,0.005454178
30/06/2005,47.54,0.007813365
29/06/2005,47.17,0.003397752
28/06/2005,47.01,-0.010369366
27/06/2005,47.5,0.013778702
24/06/2005,46.85,-0.01483078
23/06/2005,47.55,0.017823514
22/06/2005,46.71,-0.000642055
21/06/2005,46.74,-0.036138386
20/06/2005,48.46,-0.001237369
17/06/2005,48.52,0.010775073
16/06/2005,48,0.019352729
15/06/2005,47.08,0.008532475
14/06/2005,46.68,-0.004275338
13/06/2005,46.88,0.015694184
10/06/2005,46.15,-0.004324331
09/06/2005,46.35,0.030003345
08/06/2005,44.98,-0.000444543
07/06/2005,45,-0.006423768
06/06/2005,45.29,0.003539044
03/06/2005,45.13,0.009126385
02/06/2005,44.72,0.003584233
01/06/2005,44.56,-0.009825894
31/05/2005,45,0.013648271
27/05/2005,44.39,0.014751204
26/05/2005,43.74,0.011728317
25/05/2005,43.23,0.013976468
24/05/2005,42.63,-0.004914015
23/05/2005,42.84,0.015052025
20/05/2005,42.2,0.00237248
19/05/2005,42.1,0.011226679
18/05/2005,41.63,-0.003357317
17/05/2005,41.77,0.022761273
16/05/2005,40.83,-0.006834296
13/05/2005,41.11,-0.01256966
12/05/2005,41.63,-0.05673128
11/05/2005,44.06,0.004777623
10/05/2005,43.85,-0.024553548
09/05/2005,44.94,0.033027205
06/05/2005,43.48,0.020446809
05/05/2005,42.6,0.019197177
04/05/2005,41.79,0.038790081
03/05/2005,40.2,-0.010639714
02/05/2005,40.63,0.022148473
29/04/2005,39.74,-0.007520717
28/04/2005,40.04,-0.030983546
27/04/2005,41.3,-0.036843145
26/04/2005,42.85,-0.019413598
25/04/2005,43.69,0.02011396
22/04/2005,42.82,0.002104034
21/04/2005,42.73,0.037677323
20/04/2005,41.15,-0.043976189
19/04/2005,43,0.032138872
18/04/2005,41.64,0.010137668
15/04/2005,41.22,-0.036679511
14/04/2005,42.76,-0.01554736
13/04/2005,43.43,-0.025237215
12/04/2005,44.54,-0.028987537
11/04/2005,45.85,0.01184744
08/04/2005,45.31,-0.024848707
07/04/2005,46.45,-0.022984625
06/04/2005,47.53,0.011851991
05/04/2005,46.97,0.001491425
04/04/2005,46.9,-0.003193191
01/04/2005,47.05,0.007466701
31/03/2005,46.7,0.017279048
30/03/2005,45.9,0.002181026
29/03/2005,45.8,-0.026714212
28/03/2005,47.04,-0.000849979
24/03/2005,47.08,0.002978092
23/03/2005,46.94,-0.03042299
22/03/2005,48.39,-0.010075134
21/03/2005,48.88,-0.008961363
18/03/2005,49.32,-0.008680785
17/03/2005,49.75,0.021331434
16/03/2005,48.7,-0.01244787
15/03/2005,49.31,-0.01808731
14/03/2005,50.21,0.027459832
11/03/2005,48.85,0.025711555
10/03/2005,47.61,-0.008574768
09/03/2005,48.02,-0.008914748
08/03/2005,48.45,0.006626655
07/03/2005,48.13,0.016550079
04/03/2005,47.34,0.024159379
03/03/2005,46.21,0.038606316
02/03/2005,44.46,0.014727807
01/03/2005,43.81,-0.034327543
28/02/2005,45.34,0.013768816
25/02/2005,44.72,0.028579854
24/02/2005,43.46,0.034171357
23/02/2005,42,0.024097552
22/02/2005,41,-0.02051973
18/02/2005,41.85,0.029092961
17/02/2005,40.65,-0.010765947
16/02/2005,41.09,0.025636109
15/02/2005,40.05,0.013321801
14/02/2005,39.52,-0.029175489
11/02/2005,40.69,0.025891414
10/02/2005,39.65,0.039351869
09/02/2005,38.12,0.003152919
08/02/2005,38,0.010582109
07/02/2005,37.6,-0.022354646
04/02/2005,38.45,-0.001039771
03/02/2005,38.49,0.005209702
02/02/2005,38.29,0.032111025
01/02/2005,37.08,0.005408342
31/01/2005,36.88,0.010357138
28/01/2005,36.5,-0.01576548
27/01/2005,37.08,0.014122994
26/01/2005,36.56,0.007137005
25/01/2005,36.3,0.001102536
24/01/2005,36.26,0.008029948
21/01/2005,35.97,0.002505221
20/01/2005,35.88,0.004749276
19/01/2005,35.71,-0.007254496
18/01/2005,35.97,0.000278048
14/01/2005,35.96,0.024206079
13/01/2005,35.1,0.007147993
12/01/2005,34.85,0.026458877
11/01/2005,33.94,0.008284071
10/01/2005,33.66,0.012857106
07/01/2005,33.23,-0.030233482
06/01/2005,34.25,0.019160498
05/01/2005,33.6,-0.009773512
04/01/2005,33.93,-0.000294681
03/01/2005,33.94,-0.039005378
31/12/2004,35.29,-0.000283326
30/12/2004,35.3,-0.004522337
29/12/2004,35.46,0.019650355
28/12/2004,34.77,0.012152927
27/12/2004,34.35,-0.035462681
