Date,Close,GS
15/07/2005,108.5,-0.000460723
14/07/2005,108.55,0.005079669
13/07/2005,108,0.007061914
12/07/2005,107.24,-0.000652529
11/07/2005,107.31,0.015590098
08/07/2005,105.65,0.014779768
07/07/2005,104.1,0.005297388
06/07/2005,103.55,0.003579552
05/07/2005,103.18,0.004565553
01/07/2005,102.71,0.006740611
30/06/2005,102.02,-0.0075192
29/06/2005,102.79,-0.011318138
28/06/2005,103.96,0.007337357
27/06/2005,103.2,-0.004543924
24/06/2005,103.67,0.016043905
23/06/2005,102.02,-0.0044012
22/06/2005,102.47,-0.001657647
21/06/2005,102.64,-0.005925512
20/06/2005,103.25,-0.005312739
17/06/2005,103.8,0.011140827
16/06/2005,102.65,0.034287941
15/06/2005,99.19,0.009013176
14/06/2005,98.3,-0.009718643
13/06/2005,99.26,0.002117897
10/06/2005,99.05,-0.009045288
09/06/2005,99.95,0.016137516
08/06/2005,98.35,-0.000508259
07/06/2005,98.4,-0.000203231
06/06/2005,98.42,0.011445046
03/06/2005,97.3,-0.00379546
02/06/2005,97.67,-0.009882409
01/06/2005,98.64,0.011624481
31/05/2005,97.5,0.020726131
27/05/2005,95.5,-0.011452494
26/05/2005,96.6,-0.006706241
25/05/2005,97.25,-0.023676359
24/05/2005,99.58,-0.011085149
23/05/2005,100.69,-0.003865793
20/05/2005,101.08,0.009542816
19/05/2005,100.12,0.005408125
18/05/2005,99.58,0.012428796
17/05/2005,98.35,-0.000711491
16/05/2005,98.42,0.00611498
13/05/2005,97.82,-0.024238714
12/05/2005,100.22,-0.03461639
11/05/2005,103.75,0.015933496
10/05/2005,102.11,-0.032660289
09/05/2005,105.5,0.007802875
06/05/2005,104.68,-0.005905341
05/05/2005,105.3,-0.009169606
04/05/2005,106.27,0.018040748
03/05/2005,104.37,-0.000861945
02/05/2005,104.46,-0.022060066
29/04/2005,106.79,0.005257734
28/04/2005,106.23,-0.014299977
27/04/2005,107.76,0.019112442
26/04/2005,105.72,-0.000189161
25/04/2005,105.74,0.014767095
22/04/2005,104.19,-0.008791265
