Date,Close,BA
05/05/2005,59.74,-0.008998561
04/05/2005,60.28,0.006824829
03/05/2005,59.87,0.008218076
02/05/2005,59.38,-0.002354921
29/04/2005,59.52,0.013532006
28/04/2005,58.72,-0.015881395
27/04/2005,59.66,0.011124335
26/04/2005,59,-0.009782503
25/04/2005,59.58,0.028948046
22/04/2005,57.88,-0.020520556
21/04/2005,59.08,0.031814221
20/04/2005,57.23,-0.014915296
19/04/2005,58.09,0.020346759
18/04/2005,56.92,-0.001404495
15/04/2005,57,-0.020146565
14/04/2005,58.16,-0.00873069
13/04/2005,58.67,0.003756835
12/04/2005,58.45,-0.016122538
11/04/2005,59.4,0.01355953
08/04/2005,58.6,-0.006972224
07/04/2005,59.01,0.009877465
06/04/2005,58.43,0.001712916
05/04/2005,58.33,0
04/04/2005,58.33,-0.00768512
01/04/2005,58.78,0.005458901
31/03/2005,58.46,-0.005629013
30/03/2005,58.79,0.02654413
29/03/2005,57.25,-0.014738021
28/03/2005,58.1,0.022629338
24/03/2005,56.8,-0.000879894
23/03/2005,56.85,-0.006487267
22/03/2005,57.22,0.006663184
21/03/2005,56.84,-0.00561405
18/03/2005,57.16,0.004734774
17/03/2005,56.89,0.002111562
16/03/2005,56.77,-0.029676798
15/03/2005,58.48,0.013254347
14/03/2005,57.71,0.003819449
11/03/2005,57.49,-0.008487104
10/03/2005,57.98,0.003974774
09/03/2005,57.75,-0.00690253
08/03/2005,58.15,-0.002576214
07/03/2005,58.3,-0.001371272
04/03/2005,58.38,0.016580691
03/03/2005,57.42,0.037619766
02/03/2005,55.3,0.01475571
01/03/2005,54.49,-0.008770383
28/02/2005,54.97,-0.000363769
25/02/2005,54.99,0.019279033
24/02/2005,53.94,0.022877428
23/02/2005,52.72,0.010870709
22/02/2005,52.15,-0.01200815
18/02/2005,52.78,-0.016535514
17/02/2005,53.66,-0.004833622
16/02/2005,53.92,-0.009414006
15/02/2005,54.43,0.007190959
14/02/2005,54.04,-0.001848771
11/02/2005,54.14,0.005185197
10/02/2005,53.86,-0.004815716
09/02/2005,54.12,0.011522149
08/02/2005,53.5,0.018868484
07/02/2005,52.5,-0.00152265
04/02/2005,52.58,0.011092101
03/02/2005,52,-0.004413324
02/02/2005,52.23,0.023047403
01/02/2005,51.04,0.008658063
31/01/2005,50.6,0.013529852
28/01/2005,49.92,-0.0208155
27/01/2005,50.97,0.022018146
26/01/2005,49.86,0.000401204
25/01/2005,49.84,0.004020914
24/01/2005,49.64,-0.008625066
21/01/2005,50.07,-0.016440897
20/01/2005,50.9,-0.009969783
19/01/2005,51.41,-0.009100653
18/01/2005,51.88,0.018873992
14/01/2005,50.91,0.005515082
13/01/2005,50.63,-0.02554492
12/01/2005,51.94,0.021799228
11/01/2005,50.82,-0.003143421
10/01/2005,50.98,0.013229534
07/01/2005,50.31,-0.003373354
06/01/2005,50.48,-0.006515967
05/01/2005,50.81,0.01647026
04/01/2005,49.98,-0.019614299
03/01/2005,50.97,-0.015573607
31/12/2004,51.77,-0.002507959
30/12/2004,51.9,-0.003270177
29/12/2004,52.07,-0.022408837
28/12/2004,53.25,0.0018797
27/12/2004,53.15,-0.00712414
