Date,Close,LOW
14/04/2005,52.84,-0.018190844
13/04/2005,53.81,-0.027494401
12/04/2005,55.31,0.015303633
11/04/2005,54.47,-0.006222568
08/04/2005,54.81,-0.027532103
07/04/2005,56.34,-0.003012851
06/04/2005,56.51,-0.005646742
05/04/2005,56.83,0.006354832
04/04/2005,56.47,0.004970719
01/04/2005,56.19,-0.015890165
31/03/2005,57.09,0.003509391
30/03/2005,56.89,0.000527473
29/03/2005,56.86,-0.015011628
28/03/2005,57.72,0.015891367
24/03/2005,56.81,0.004940896
23/03/2005,56.53,0.00496543
22/03/2005,56.25,-0.005495981
21/03/2005,56.56,-0.007924669
18/03/2005,57.01,-0.002977496
17/03/2005,57.18,-0.003317332
16/03/2005,57.37,-0.00348008
15/03/2005,57.57,0.001564537
14/03/2005,57.48,-0.002953186
11/03/2005,57.65,0
10/03/2005,57.65,0.007836348
09/03/2005,57.2,-0.009569451
08/03/2005,57.75,-0.00345722
07/03/2005,57.95,-0.004304785
04/03/2005,58.2,0.001719691
03/03/2005,58.1,0.001205546
02/03/2005,58.03,-0.005499241
01/03/2005,58.35,-0.007342302
28/02/2005,58.78,-0.003735783
25/02/2005,59,-0.002877213
24/02/2005,59.17,0.021697272
23/02/2005,57.9,0.006410834
22/02/2005,57.53,-0.020984602
18/02/2005,58.75,-0.006447257
17/02/2005,59.13,-0.006405956
16/02/2005,59.51,0.005222824
15/02/2005,59.2,0.001690617
14/02/2005,59.1,-0.00842465
11/02/2005,59.6,0.009271031
10/02/2005,59.05,0.020185427
09/02/2005,57.87,-0.014410954
08/02/2005,58.71,-0.004079557
07/02/2005,58.95,0.005102052
04/02/2005,58.65,0.023810649
03/02/2005,57.27,-0.000523697
02/02/2005,57.3,0.003846831
01/02/2005,57.08,0.001577979
31/01/2005,56.99,0.014314992
28/01/2005,56.18,0.004817567
27/01/2005,55.91,-0.002322466
26/01/2005,56.04,0.006983644
25/01/2005,55.65,0.010113866
24/01/2005,55.09,-0.014775044
21/01/2005,55.91,-0.006062786
20/01/2005,56.25,-0.015523332
19/01/2005,57.13,-0.005411552
18/01/2005,57.44,0.009972963
14/01/2005,56.87,0.007589834
13/01/2005,56.44,-0.016517684
12/01/2005,57.38,-0.003479475
11/01/2005,57.58,-0.004505293
10/01/2005,57.84,0.020612083
07/01/2005,56.66,0.003713204
06/01/2005,56.45,0.003193757
05/01/2005,56.27,-0.008494123
04/01/2005,56.75,-0.021097461
03/01/2005,57.96,0.006404176
31/12/2004,57.59,0.001390096
30/12/2004,57.51,-0.004683849
29/12/2004,57.78,0.004857747
28/12/2004,57.5,0.013481776
27/12/2004,56.73,-0.009997452
