Date,Close,F
26/09/2005,9.96,0.017215615
23/09/2005,9.79,0.007175838
22/09/2005,9.72,0.00619197
21/09/2005,9.66,-0.010298752
20/09/2005,9.76,0.005136118
19/09/2005,9.71,-0.022404196
16/09/2005,9.93,0.007074309
15/09/2005,9.86,-0.010090903
14/09/2005,9.96,0.014155949
13/09/2005,9.82,-0.010131799
12/09/2005,9.92,0.002018164
09/09/2005,9.9,-0.002018164
08/09/2005,9.92,-0.020948397
07/09/2005,10.13,0.016924247
06/09/2005,9.96,0.010090903
02/09/2005,9.86,0.013272272
01/09/2005,9.73,-0.024366688
31/08/2005,9.97,0.022313299
30/08/2005,9.75,-0.002049181
29/08/2005,9.77,0
26/08/2005,9.77,-0.005104656
25/08/2005,9.82,-0.010131799
24/08/2005,9.92,0.012170536
23/08/2005,9.8,0.004089985
22/08/2005,9.76,0
19/08/2005,9.76,0
18/08/2005,9.76,-0.017268078
17/08/2005,9.93,-0.013006687
16/08/2005,10.06,-0.008906541
15/08/2005,10.15,0.000985707
12/08/2005,10.14,-0.021464239
11/08/2005,10.36,-0.003853569
10/08/2005,10.4,-0.003838776
09/08/2005,10.44,0.00672756
08/08/2005,10.37,0.000964785
05/08/2005,10.36,-0.026668247
04/08/2005,10.64,-0.010285271
03/08/2005,10.75,-0.012020487
02/08/2005,10.88,0.002761161
01/08/2005,10.85,0.010189991
29/07/2005,10.74,-0.0147877
28/07/2005,10.9,0.001836548
27/07/2005,10.88,0.001839927
26/07/2005,10.86,0.023289362
25/07/2005,10.61,-0.010314203
22/07/2005,10.72,0.007490672
21/07/2005,10.64,-0.026890818
20/07/2005,10.93,0.008268306
19/07/2005,10.84,-0.008268306
18/07/2005,10.93,-0.006383971
15/07/2005,11,0.010050336
14/07/2005,10.89,0.018536212
13/07/2005,10.69,-0.00838384
12/07/2005,10.78,0.006514681
11/07/2005,10.71,0.027450848
08/07/2005,10.42,0.014500012
07/07/2005,10.27,-0.007759496
06/07/2005,10.35,-0.004819286
05/07/2005,10.4,0.008691508
01/07/2005,10.31,0.006812678
