Date,Close,L
24/05/2010,31.39,-0.018308592
21/05/2010,31.97,0.020860428
20/05/2010,31.31,-0.056199794
19/05/2010,33.12,-0.002111296
18/05/2010,33.19,-0.022345634
17/05/2010,33.94,-0.004703124
14/05/2010,34.1,-0.022902871
13/05/2010,34.89,-0.013380983
12/05/2010,35.36,0.012521507
11/05/2010,34.92,-0.001716739
10/05/2010,34.98,0.040250403
07/05/2010,33.6,-0.009478744
06/05/2010,33.92,-0.05478072
05/05/2010,35.83,-0.006398686
04/05/2010,36.06,-0.037555434
03/05/2010,37.44,0.005356199
30/04/2010,37.24,-0.015454611
29/04/2010,37.82,0.014917698
28/04/2010,37.26,-0.003215437
27/04/2010,37.38,-0.029522439
26/04/2010,38.5,0.003382337
23/04/2010,38.37,0.008900582
22/04/2010,38.03,-0.01409945
21/04/2010,38.57,-0.002589333
20/04/2010,38.67,0.01222859
19/04/2010,38.2,0.010526413
16/04/2010,37.8,-0.026368843
15/04/2010,38.81,-0.003087216
14/04/2010,38.93,0.01110692
13/04/2010,38.5,0.001039501
12/04/2010,38.46,0.000520156
09/04/2010,38.44,0.010460346
08/04/2010,38.04,-0.000525624
07/04/2010,38.06,-0.005763705
06/04/2010,38.28,-0.004171018
05/04/2010,38.44,0.014939342
01/04/2010,37.87,0.015702252
31/03/2010,37.28,0.001342102
30/03/2010,37.23,-0.003485725
29/03/2010,37.36,0.003217161
26/03/2010,37.24,0.003766483
25/03/2010,37.1,-0.004034975
24/03/2010,37.25,-0.005888668
23/03/2010,37.47,0.008846057
22/03/2010,37.14,-0.000807428
19/03/2010,37.17,-0.007504726
18/03/2010,37.45,-0.00399734
17/03/2010,37.6,-0.000531773
16/03/2010,37.62,0.005865119
15/03/2010,37.4,-0.00426895
12/03/2010,37.56,-0.00372044
11/03/2010,37.7,0.004519481
10/03/2010,37.53,0.002400962
09/03/2010,37.44,-0.00266738
08/03/2010,37.54,0.001066098
05/03/2010,37.5,0.009646377
04/03/2010,37.14,0.002426204
03/03/2010,37.05,-0.003771556
02/03/2010,37.19,0.004581601
01/03/2010,37.02,0.015242538
26/02/2010,36.46,-0.005470473
25/02/2010,36.66,0.001091703
24/02/2010,36.62,0.015410321
23/02/2010,36.06,-0.017592537
