Date,Close,DOV
24/05/2011,62.26,-0.007839413
23/05/2011,62.75,-0.011723835
20/05/2011,63.49,-0.015007316
19/05/2011,64.45,0.011548193
18/05/2011,63.71,0.015980088
17/05/2011,62.7,-0.01346555
16/05/2011,63.55,-0.012199088
13/05/2011,64.33,-0.018939668
12/05/2011,65.56,-0.005476132
11/05/2011,65.92,-0.013410884
10/05/2011,66.81,0.009021261
09/05/2011,66.21,0.012003487
06/05/2011,65.42,0.003982238
05/05/2011,65.16,0.00015348
04/05/2011,65.15,-0.025010777
03/05/2011,66.8,-0.007754289
02/05/2011,67.32,-0.010638398
29/04/2011,68.04,0.000293988
28/04/2011,68.02,0.007970522
27/04/2011,67.48,0.000148203
26/04/2011,67.47,0.017493157
25/04/2011,66.3,-0.022372298
21/04/2011,67.8,0.009037768
20/04/2011,67.19,0.012731393
19/04/2011,66.34,0.03341307
18/04/2011,64.16,-0.017918305
15/04/2011,65.32,0.014961334
14/04/2011,64.35,-0.001552795
13/04/2011,64.45,-0.00031027
12/04/2011,64.47,-0.008187271
11/04/2011,65,-0.001383658
08/04/2011,65.09,-0.013125952
07/04/2011,65.95,-0.006800177
06/04/2011,66.4,-0.002707176
05/04/2011,66.58,-0.000300345
04/04/2011,66.6,-0.009563731
01/04/2011,67.24,0.02256074
31/03/2011,65.74,0.010705103
30/03/2011,65.04,0.001692699
29/03/2011,64.93,0.004476352
28/03/2011,64.64,-0.013369389
25/03/2011,65.51,0.004130025
24/03/2011,65.24,0.014046692
23/03/2011,64.33,-0.000155436
22/03/2011,64.34,-0.013891256
21/03/2011,65.24,0.029555737
18/03/2011,63.34,-0.000157866
17/03/2011,63.35,0.018802338
16/03/2011,62.17,-0.005293988
15/03/2011,62.5,-0.00987112
14/03/2011,63.12,-0.009146886
11/03/2011,63.7,0.008671714
10/03/2011,63.15,-0.024248353
09/03/2011,64.7,-0.003394541
08/03/2011,64.92,0.017089122
07/03/2011,63.82,-0.027966288
04/03/2011,65.63,-0.015122018
03/03/2011,66.63,0.030321512
02/03/2011,64.64,0.015591211
01/03/2011,63.64,-0.00953952
28/02/2011,64.25,0.00296158
25/02/2011,64.06,0.008780238
24/02/2011,63.5,0
23/02/2011,63.5,-0.030857553
22/02/2011,65.49,-0.033927001
18/02/2011,67.75,0.006070046
17/02/2011,67.34,0.010599487
16/02/2011,66.63,0.002404209
15/02/2011,66.47,-0.018483161
14/02/2011,67.71,0.015928882
11/02/2011,66.64,0.000750582
10/02/2011,66.59,0.007536967
09/02/2011,66.09,0.00015132
08/02/2011,66.08,0.003486701
07/02/2011,65.85,0.008540543
04/02/2011,65.29,0.008923136
03/02/2011,64.71,-0.007083491
02/02/2011,65.17,-0.008556202
01/02/2011,65.73,0.025111078
31/01/2011,64.1,0.030893546
28/01/2011,62.15,0.043910696
27/01/2011,59.48,0.00151426
26/01/2011,59.39,0.032688801
25/01/2011,57.48,0.009087794
24/01/2011,56.96,0.005280773
21/01/2011,56.66,-0.001058388
20/01/2011,56.72,-0.025758473
19/01/2011,58.2,-0.026283836
18/01/2011,59.75,0.002681416
14/01/2011,59.59,0.008933898
13/01/2011,59.06,0.003052402
12/01/2011,58.88,0.017993802
11/01/2011,57.83,0.006766747
10/01/2011,57.44,0.000870853
07/01/2011,57.39,-0.00295781
06/01/2011,57.56,-0.011229279
05/01/2011,58.21,-0.009914611
04/01/2011,58.79,-0.005597504
03/01/2011,59.12,0.011397589
31/12/2010,58.45,-0.002392346
30/12/2010,58.59,0.001366354
29/12/2010,58.51,-0.001878255
28/12/2010,58.62,0.002904247
27/12/2010,58.45,-0.003927265
23/12/2010,58.68,-0.004760295
22/12/2010,58.96,0.026118323
21/12/2010,57.44,0.00646234
20/12/2010,57.07,-0.005068612
17/12/2010,57.36,-0.005563297
16/12/2010,57.68,0.002603942
15/12/2010,57.53,-0.003470418
14/12/2010,57.73,-0.001211807
13/12/2010,57.8,-0.011182912
10/12/2010,58.45,0.006350317
09/12/2010,58.08,-0.001032525
08/12/2010,58.14,0.009157731
07/12/2010,57.61,0.00260711
06/12/2010,57.46,-0.005726697
03/12/2010,57.79,0.000173055
02/12/2010,57.78,0.017106369
01/12/2010,56.8,0.035663667
