Date,Close,GMCR
17/03/2011,61.25,-0.002445986
16/03/2011,61.4,0.040041897
15/03/2011,58.99,-0.000508431
14/03/2011,59.02,0.002714627
11/03/2011,58.86,-0.04728425
10/03/2011,61.71,0.346471831
09/03/2011,43.64,0.063622351
08/03/2011,40.95,-0.007784033
07/03/2011,41.27,-0.011563608
04/03/2011,41.75,-0.006208234
03/03/2011,42.01,0.034385954
02/03/2011,40.59,0.005930336
01/03/2011,40.35,-0.01060037
28/02/2011,40.78,-0.019186988
25/02/2011,41.57,0.00216737
24/02/2011,41.48,0.022182506
23/02/2011,40.57,-0.012979244
22/02/2011,41.1,-0.017127424
18/02/2011,41.81,0.026661783
17/02/2011,40.71,-0.07998602
16/02/2011,44.1,0.013009427
15/02/2011,43.53,-0.062770936
14/02/2011,46.35,0.064380317
11/02/2011,43.46,0.049526745
10/02/2011,41.36,0.012897125
09/02/2011,40.83,-0.001712958
08/02/2011,40.9,0.031543656
07/02/2011,39.63,0.000504796
04/02/2011,39.61,0.04730175
03/02/2011,37.78,0.136485157
02/02/2011,32.96,-0.008760062
01/02/2011,33.25,-0.009875885
31/01/2011,33.58,-0.005346018
28/01/2011,33.76,-0.02659809
27/01/2011,34.67,-0.019989244
26/01/2011,35.37,0.016246616
25/01/2011,34.8,-0.01057606
24/01/2011,35.17,0.020104066
21/01/2011,34.47,0.010498784
20/01/2011,34.11,-0.012237915
19/01/2011,34.53,-0.022054453
18/01/2011,35.3,-0.000849497
14/01/2011,35.33,-0.003954807
13/01/2011,35.47,0.003954807
12/01/2011,35.33,0.013105601
11/01/2011,34.87,-0.027716706
