Date,Close,FE
10/12/2010,35.65,0.001403509
09/12/2010,35.6,-0.001403509
08/12/2010,35.65,0.002527736
07/12/2010,35.56,0.003098158
06/12/2010,35.45,-0.005064727
03/12/2010,35.63,-0.000841633
02/12/2010,35.66,0.01298353
01/12/2010,35.2,0.002560092
30/11/2010,35.11,-0.007095248
29/11/2010,35.36,0.003683245
26/11/2010,35.23,-0.0034004
24/11/2010,35.35,-0.001413428
23/11/2010,35.4,-0.015417264
22/11/2010,35.95,-0.008310297
19/11/2010,36.25,0.006087457
18/11/2010,36.03,0.009201236
17/11/2010,35.7,0.014957242
16/11/2010,35.17,-0.00905752
15/11/2010,35.49,0.003386963
12/11/2010,35.37,-0.009286686
11/11/2010,35.7,0.001121076
10/11/2010,35.66,-0.013093933
09/11/2010,36.13,0.002216681
08/11/2010,36.05,0.004448159
05/11/2010,35.89,-0.001670379
04/11/2010,35.95,0.002227793
03/11/2010,35.87,-0.026954327
02/11/2010,36.85,0.021394124
01/11/2010,36.07,-0.006907059
29/10/2010,36.32,0.004138508
28/10/2010,36.17,-0.002485159
27/10/2010,36.26,-0.005226253
26/10/2010,36.45,-0.01848381
25/10/2010,37.13,-0.010448856
22/10/2010,37.52,-0.047113462
21/10/2010,39.33,-0.008607648
20/10/2010,39.67,0.006068287
19/10/2010,39.43,0
18/10/2010,39.43,0.012761786
15/10/2010,38.93,0.007218387
14/10/2010,38.65,-0.006190373
13/10/2010,38.89,0.01398262
12/10/2010,38.35,-0.002344056
11/10/2010,38.44,-0.000780133
08/10/2010,38.47,0.000259977
07/10/2010,38.46,-0.004151537
06/10/2010,38.62,-0.005165301
05/10/2010,38.82,0.006460806
04/10/2010,38.57,-0.008262376
01/10/2010,38.89,0.009040485
30/09/2010,38.54,0
29/09/2010,38.54,0.005202925
28/09/2010,38.34,-0.001563722
27/09/2010,38.4,0.007843177
24/09/2010,38.1,0.018810993
23/09/2010,37.39,0.008595272
22/09/2010,37.07,0.017689943
21/09/2010,36.42,-0.008203491
20/09/2010,36.72,0.01122838
17/09/2010,36.31,0.001929704
16/09/2010,36.24,-0.00797036
15/09/2010,36.53,-0.004915357
14/09/2010,36.71,-0.017015941
13/09/2010,37.34,-0.001605566
10/09/2010,37.4,-0.005333346
09/09/2010,37.6,0.006135807
08/09/2010,37.37,-0.001604278
07/09/2010,37.43,-0.00930734
03/09/2010,37.78,0.008506165
02/09/2010,37.46,0.000266987
01/09/2010,37.45,0.024872869
31/08/2010,36.53,0.005489995
30/08/2010,36.33,-0.009042396
27/08/2010,36.66,0.023179846
26/08/2010,35.82,-0.001952309
25/08/2010,35.89,-0.001670379
24/08/2010,35.95,-0.003609611
23/08/2010,36.08,0.006674107
20/08/2010,35.84,-0.009165458
19/08/2010,36.17,-0.019168166
18/08/2010,36.87,-0.005140009
17/08/2010,37.06,0.01549997
16/08/2010,36.49,0.006874769
13/08/2010,36.24,0.013053928
12/08/2010,35.77,-0.014708188
11/08/2010,36.3,-0.027979552
10/08/2010,37.33,-0.00374332
09/08/2010,37.47,-0.001333511
06/08/2010,37.52,-0.005051187
05/08/2010,37.71,-0.003705669
04/08/2010,37.85,-0.019621297
03/08/2010,38.6,0.004153692
02/08/2010,38.44,0.01943849
30/07/2010,37.7,-0.010029115
29/07/2010,38.08,-0.016925284
28/07/2010,38.73,-0.002063452
27/07/2010,38.81,0.024518703
26/07/2010,37.87,0.000792498
23/07/2010,37.84,-0.01547166
22/07/2010,38.43,0.015207425
21/07/2010,37.85,-0.002374985
20/07/2010,37.94,0.00767301
19/07/2010,37.65,0.014446479
16/07/2010,37.11,-0.012319385
15/07/2010,37.57,0.001331735
14/07/2010,37.52,0.001333511
13/07/2010,37.47,0.005620248
12/07/2010,37.26,0.006732219
09/07/2010,37.01,0.016344684
08/07/2010,36.41,0.010491537
07/07/2010,36.03,0.029575455
06/07/2010,34.98,0.010922788
02/07/2010,34.6,-0.010350869
01/07/2010,34.96,-0.007693442
30/06/2010,35.23,-0.006789276
29/06/2010,35.47,-0.022303685
28/06/2010,36.27,0.007194276
25/06/2010,36.01,-0.001664817
24/06/2010,36.07,-0.00083137
23/06/2010,36.1,-0.008550597
22/06/2010,36.41,-0.036142014
21/06/2010,37.75,-0.018893241
18/06/2010,38.47,-0.001817946
17/06/2010,38.54,0.015954307
16/06/2010,37.93,0.001583114
15/06/2010,37.87,0.01838826
14/06/2010,37.18,0.008101584
11/06/2010,36.88,-0.003248514
10/06/2010,37,0.024071184
09/06/2010,36.12,-0.009643276
08/06/2010,36.47,0.008536469
07/06/2010,36.16,0.026339432
04/06/2010,35.22,-0.009888483
03/06/2010,35.57,0.021310652
02/06/2010,34.82,0.022949446
01/06/2010,34.03,-0.034087645
28/05/2010,35.21,-0.000851668
27/05/2010,35.24,0.023253524
26/05/2010,34.43,0.001453277
25/05/2010,34.38,-0.007822726
24/05/2010,34.65,-0.006615873
21/05/2010,34.88,0.004885769
20/05/2010,34.71,-0.028962842
19/05/2010,35.73,-0.005303571
18/05/2010,35.92,-0.017386943
17/05/2010,36.55,-0.005184894
14/05/2010,36.74,-0.000544218
13/05/2010,36.76,0.008743225
12/05/2010,36.44,0.015765781
11/05/2010,35.87,-0.00167131
10/05/2010,35.93,0.024511722
07/05/2010,35.06,0.005434019
06/05/2010,34.87,-0.024083895
05/05/2010,35.72,-0.037097261
04/05/2010,37.07,-0.020822963
03/05/2010,37.85,-0.000528262
30/04/2010,37.87,0.012488537
29/04/2010,37.4,-0.001602993
28/04/2010,37.46,0.015062146
27/04/2010,36.9,-0.011317825
26/04/2010,37.32,-0.005078188
23/04/2010,37.51,0.004542426
