Date,Close,CTAS
29/12/2011,35.21,0.016321049
28/12/2011,34.64,-0.007191172
27/12/2011,34.89,0.000286656
23/12/2011,34.88,-0.004005728
22/12/2011,35.02,0.023986123
21/12/2011,34.19,0.088954288
20/12/2011,31.28,0.019693938
19/12/2011,30.67,0.004902772
16/12/2011,30.52,0
15/12/2011,30.52,0.029932398
14/12/2011,29.62,-0.012747573
13/12/2011,30,-0.001998003
12/12/2011,30.06,-0.01223358
09/12/2011,30.43,0.035455219
08/12/2011,29.37,-0.020556747
07/12/2011,29.98,-0.017851714
06/12/2011,30.52,-0.001636929
05/12/2011,30.57,0.007222618
02/12/2011,30.35,0.004292561
01/12/2011,30.22,-0.005938652
30/11/2011,30.4,0.045424125
29/11/2011,29.05,0.008990379
28/11/2011,28.79,0.041125966
25/11/2011,27.63,-0.010441139
23/11/2011,27.92,-0.019507623
22/11/2011,28.47,-0.010134632
21/11/2011,28.76,-0.031824756
18/11/2011,29.69,0.018012382
17/11/2011,29.16,-0.001370802
16/11/2011,29.2,0.002056909
15/11/2011,29.14,0.002749143
14/11/2011,29.06,-0.010611087
11/11/2011,29.37,0.021335978
10/11/2011,28.75,0.003484324
09/11/2011,28.65,-0.041701189
08/11/2011,29.87,0.003689422
07/11/2011,29.76,0.004377848
04/11/2011,29.63,-0.000674764
03/11/2011,29.65,0.019755411
02/11/2011,29.07,0.024022043
01/11/2011,28.38,-0.051839305
31/10/2011,29.89,-0.014613345
28/10/2011,30.33,-0.007554643
27/10/2011,30.56,0.034962775
26/10/2011,29.51,-0.001354555
25/10/2011,29.55,-0.017776755
24/10/2011,30.08,0.021166589
21/10/2011,29.45,0.015053312
20/10/2011,29.01,-0.000344649
19/10/2011,29.02,-0.007894326
18/10/2011,29.25,0.014116261
17/10/2011,28.84,-0.024658784
14/10/2011,29.56,0.011226517
13/10/2011,29.23,-0.005799095
12/10/2011,29.4,0.019231362
11/10/2011,28.84,-0.003461409
10/10/2011,28.94,0.025902743
07/10/2011,28.2,-0.010582109
06/10/2011,28.5,0.013778702
05/10/2011,28.11,0.024123582
04/10/2011,27.44,0.020619287
03/10/2011,26.88,-0.045809536
30/09/2011,28.14,-0.025957262
29/09/2011,28.88,0.016408118
28/09/2011,28.41,-0.019864741
27/09/2011,28.98,0.002418381
26/09/2011,28.91,0.018150586
23/09/2011,28.39,-0.013296207
22/09/2011,28.77,-0.028778965
21/09/2011,29.61,-0.0403761
20/09/2011,30.83,-0.005821491
19/09/2011,31.01,-0.015360302
16/09/2011,31.49,-0.00317058
15/09/2011,31.59,0.012743084
14/09/2011,31.19,0.01096078
13/09/2011,30.85,0.010754544
12/09/2011,30.52,0.011865663
09/09/2011,30.16,-0.021322769
08/09/2011,30.81,-0.014180064
07/09/2011,31.25,0.032192668
06/09/2011,30.26,-0.018661534
02/09/2011,30.83,-0.023085347
01/09/2011,31.55,-0.013537118
31/08/2011,31.98,0.009109534
30/08/2011,31.69,0.006013628
29/08/2011,31.5,0.029641345
26/08/2011,30.58,0.019815708
25/08/2011,29.98,-0.016540238
24/08/2011,30.48,0.022226823
23/08/2011,29.81,0.032733915
22/08/2011,28.85,0.014313388
19/08/2011,28.44,-0.014659948
18/08/2011,28.86,-0.046708998
17/08/2011,30.24,-0.00231214
16/08/2011,30.31,-0.003293811
15/08/2011,30.41,0.019256903
12/08/2011,29.83,0.018609909
11/08/2011,29.28,0.072218208
10/08/2011,27.24,-0.039940549
09/08/2011,28.35,0.039573509
08/08/2011,27.25,-0.082044936
05/08/2011,29.58,-0.008416141
04/08/2011,29.83,-0.044903496
03/08/2011,31.2,0.009985588
02/08/2011,30.89,-0.03717664
01/08/2011,32.06,-0.015168221
29/07/2011,32.55,-0.002454742
28/07/2011,32.63,-0.000612745
27/07/2011,32.65,-0.028978786
26/07/2011,33.61,-0.009181169
25/07/2011,33.92,-0.01317928
22/07/2011,34.37,0.005543413
21/07/2011,34.18,0.008520692
20/07/2011,33.89,0.093659139
19/07/2011,30.86,0.013703314
18/07/2011,30.44,-0.020163285
15/07/2011,31.06,-0.005138097
14/07/2011,31.22,-0.011148387
13/07/2011,31.57,-0.022859928
12/07/2011,32.3,-0.019316866
11/07/2011,32.93,-0.018950785
08/07/2011,33.56,-0.016548841
07/07/2011,34.12,0.012089193
06/07/2011,33.71,-0.003257814
05/07/2011,33.82,-0.004425439
01/07/2011,33.97,0.028061543
30/06/2011,33.03,0.017407677
29/06/2011,32.46,0.002158829
28/06/2011,32.39,0.013364612
27/06/2011,31.96,0.006592396
24/06/2011,31.75,-0.011586164
23/06/2011,32.12,-0.007753179
22/06/2011,32.37,-0.006466535
21/06/2011,32.58,0.008941018
20/06/2011,32.29,0.008084621
17/06/2011,32.03,0.000312256
16/06/2011,32.02,0.003127935
15/06/2011,31.92,-0.011215071
14/06/2011,32.28,0.024142888
13/06/2011,31.51,0.00636742
10/06/2011,31.31,-0.004779362
09/06/2011,31.46,-0.001588058
08/06/2011,31.51,-0.006327133
07/06/2011,31.71,0.006327133
06/06/2011,31.51,-0.002219053
03/06/2011,31.58,-0.012899345
02/06/2011,31.99,0.0034445
01/06/2011,31.88,-0.029972891
31/05/2011,32.85,0.013484728
27/05/2011,32.41,0.006811172
26/05/2011,32.19,0.008109839
25/05/2011,31.93,0.00786044
24/05/2011,31.68,0.000315706
23/05/2011,31.67,-0.012239287
20/05/2011,32.06,-0.004046698
19/05/2011,32.19,0.006545138
18/05/2011,31.98,0.006588259
17/05/2011,31.77,-0.000629327
16/05/2011,31.79,-0.010015733
13/05/2011,32.11,0.001870325
12/05/2011,32.05,0.008774735
11/05/2011,31.77,-0.000943842
10/05/2011,31.8,0.024511811
09/05/2011,31.03,0.010691824
06/05/2011,30.7,0.009491153
05/05/2011,30.41,-0.021793024
04/05/2011,31.08,0.00128783
03/05/2011,31.04,-0.00128783
02/05/2011,31.08,0.000965717
29/04/2011,31.05,0.004195585
28/04/2011,30.92,-0.000646621
27/04/2011,30.94,0.010396455
26/04/2011,30.62,0.006881889
25/04/2011,30.41,-0.009165367
21/04/2011,30.69,-0.003902444
20/04/2011,30.81,0.023646422
19/04/2011,30.09,0.008008051
18/04/2011,29.85,-0.016282134
15/04/2011,30.34,0.006282051
14/04/2011,30.15,0.009665131
13/04/2011,29.86,-0.001673081
12/04/2011,29.91,-0.004336954
11/04/2011,30.04,-0.004980917
08/04/2011,30.19,-0.01544813
07/04/2011,30.66,-0.011028331
06/04/2011,31,0.020861252
05/04/2011,30.36,-0.006566012
04/04/2011,30.56,0.002949371
01/04/2011,30.47,0.006255164
31/03/2011,30.28,0.015979035
30/03/2011,29.8,0.001343184
29/03/2011,29.76,0.009792413
28/03/2011,29.47,-0.002710947
25/03/2011,29.55,0.000338467
24/03/2011,29.54,-0.007083855
23/03/2011,29.75,0.05563708
22/03/2011,28.14,0.002134473
21/03/2011,28.08,0.010021558
18/03/2011,27.8,0.013763347
17/03/2011,27.42,0.003653639
16/03/2011,27.32,-0.015977101
15/03/2011,27.76,-0.014661446
14/03/2011,28.17,0.009272534
11/03/2011,27.91,0.008636254
10/03/2011,27.67,-0.020036448
09/03/2011,28.23,0.001417937
08/03/2011,28.19,0.015371169
07/03/2011,27.76,-0.008608375
04/03/2011,28,-0.011716804
03/03/2011,28.33,0.01386196
02/03/2011,27.94,0.008265995
01/03/2011,27.71,-0.014687708
28/02/2011,28.12,0.000711491
25/02/2011,28.1,0.01578225
24/02/2011,27.66,0.00362188
23/02/2011,27.56,-0.021537085
22/02/2011,28.16,-0.035923654
18/02/2011,29.19,-0.004443692
17/02/2011,29.32,0.013045156
16/02/2011,28.94,0.006586954
15/02/2011,28.75,-0.017583628
14/02/2011,29.26,-0.001024765
11/02/2011,29.29,0.003419976
10/02/2011,29.19,-0.000684932
09/02/2011,29.21,-0.002051984
08/02/2011,29.27,-0.003410645
07/02/2011,29.37,0.01613215
