Date,Close,AVP
06/05/2011,29.04,0.011428696
05/05/2011,28.71,-0.054562067
04/05/2011,30.32,-0.019272195
03/05/2011,30.91,0.044319422
02/05/2011,29.57,0.006446163
29/04/2011,29.38,-0.00034031
28/04/2011,29.39,0.003749791
27/04/2011,29.28,0.011334485
26/04/2011,28.95,0.014614039
25/04/2011,28.53,-0.012539349
21/04/2011,28.89,0.001385522
20/04/2011,28.85,0.022433468
19/04/2011,28.21,-0.002124647
18/04/2011,28.27,-0.002473063
15/04/2011,28.34,0.004597709
14/04/2011,28.21,0.007472015
13/04/2011,28,0.001429593
12/04/2011,27.96,-0.001786672
11/04/2011,28.01,0.00107162
08/04/2011,27.98,0.005734783
07/04/2011,27.82,-0.003229861
06/04/2011,27.91,0.018807064
05/04/2011,27.39,-0.00473503
04/04/2011,27.52,0.002182613
01/04/2011,27.46,0.015413149
31/03/2011,27.04,-0.02771877
30/03/2011,27.8,0.019248824
29/03/2011,27.27,0.00441015
28/03/2011,27.15,-0.010260259
25/03/2011,27.43,0
24/03/2011,27.43,0.010628651
23/03/2011,27.14,0.006654368
22/03/2011,26.96,-0.009597711
21/03/2011,27.22,0.023416792
18/03/2011,26.59,0.012869216
17/03/2011,26.25,0.003434462
16/03/2011,26.16,-0.022676709
15/03/2011,26.76,-0.001866717
14/03/2011,26.81,-0.01297035
11/03/2011,27.16,-0.006239697
10/03/2011,27.33,-0.014169174
09/03/2011,27.72,0.015267472
08/03/2011,27.3,0.001099505
07/03/2011,27.27,-0.002929332
04/03/2011,27.35,-0.013437645
03/03/2011,27.72,0.007604599
02/03/2011,27.51,0.003641665
01/03/2011,27.41,-0.014487758
28/02/2011,27.81,-0.004663686
25/02/2011,27.94,0.004304167
24/02/2011,27.82,-0.004304167
23/02/2011,27.94,-0.006777269
22/02/2011,28.13,-0.031148625
18/02/2011,29.02,0.024416979
17/02/2011,28.32,0.001059884
16/02/2011,28.29,-0.001765849
15/02/2011,28.34,-0.037060518
14/02/2011,29.41,-0.001359158
11/02/2011,29.45,0.025100166
10/02/2011,28.72,-0.02340093
09/02/2011,29.4,0.032143773
08/02/2011,28.47,-0.030441645
07/02/2011,29.35,0.003412973
04/02/2011,29.25,0.012384059
03/02/2011,28.89,0.016050589
02/02/2011,28.43,-0.007010193
01/02/2011,28.63,0.01124002
31/01/2011,28.31,0.008870024
28/01/2011,28.06,-0.018362098
27/01/2011,28.58,-0.018374585
26/01/2011,29.11,-0.0160167
25/01/2011,29.58,0.013614914
24/01/2011,29.18,0.015889799
21/01/2011,28.72,-0.00555557
20/01/2011,28.88,0.013245227
19/01/2011,28.5,-0.014283469
18/01/2011,28.91,0
14/01/2011,28.91,-0.01066585
13/01/2011,29.22,-0.004779797
12/01/2011,29.36,0.007864633
11/01/2011,29.13,-0.008885909
10/01/2011,29.39,-0.006443977
07/01/2011,29.58,-0.018754736
06/01/2011,30.14,0.016391068
05/01/2011,29.65,-0.012734757
04/01/2011,30.03,0.00333556
03/01/2011,29.93,0.029498664
31/12/2010,29.06,0.000688468
30/12/2010,29.04,0.003103986
29/12/2010,28.95,0.000691085
