Date,Close,GPS
22/12/2010,21.2,0.001888575
21/12/2010,21.16,0
20/12/2010,21.16,-0.001416765
17/12/2010,21.19,-0.002827523
16/12/2010,21.25,0.01469569
15/12/2010,20.94,0.001433692
14/12/2010,20.91,-0.012829827
13/12/2010,21.18,-0.014064929
10/12/2010,21.48,0.007007737
09/12/2010,21.33,0
08/12/2010,21.33,0.004699257
07/12/2010,21.23,-0.008442827
06/12/2010,21.41,-0.001400234
03/12/2010,21.44,-0.010670479
02/12/2010,21.67,0.00508907
01/12/2010,21.56,0.009319732
30/11/2010,21.36,0.030420597
29/11/2010,20.72,-0.008649742
26/11/2010,20.9,0.004796172
24/11/2010,20.8,0.010147466
23/11/2010,20.59,0
22/11/2010,20.59,-0.005328179
19/11/2010,20.7,-0.010093813
18/11/2010,20.91,0.010577022
17/11/2010,20.69,0.020015313
16/11/2010,20.28,-0.001970444
15/11/2010,20.32,-0.00833134
12/11/2010,20.49,-0.001950269
11/11/2010,20.53,0.020172886
10/11/2010,20.12,-0.003473087
09/11/2010,20.19,-0.025429243
08/11/2010,20.71,-0.004816965
05/11/2010,20.81,0.018429232
04/11/2010,20.43,0.058974002
03/11/2010,19.26,-0.000519076
02/11/2010,19.27,0.007291699
01/11/2010,19.13,0.006292627
29/10/2010,19.01,-0.007337559
28/10/2010,19.15,-0.009872774
27/10/2010,19.34,-0.017427402
26/10/2010,19.68,0.01639381
25/10/2010,19.36,0.010906366
22/10/2010,19.15,0.005235614
21/10/2010,19.05,-0.014073727
20/10/2010,19.32,-0.011834458
19/10/2010,19.55,-0.013211574
18/10/2010,19.81,0.01474728
15/10/2010,19.52,0.023847683
14/10/2010,19.06,0.003679373
13/10/2010,18.99,0.014854385
12/10/2010,18.71,0.02379777
11/10/2010,18.27,0.003289477
08/10/2010,18.21,0.004954593
07/10/2010,18.12,-0.029901657
06/10/2010,18.67,-0.000535475
05/10/2010,18.68,0.015102768
04/10/2010,18.4,-0.005960462
01/10/2010,18.51,-0.006998683
30/09/2010,18.64,-0.006950041
29/09/2010,18.77,-0.007431032
28/09/2010,18.91,0.015991812
27/09/2010,18.61,-0.011752272
24/09/2010,18.83,0.017140216
23/09/2010,18.51,-0.006462058
