Date,Close,EA
06/10/2011,22.56,0.073562567
05/10/2011,20.96,0.033473899
04/10/2011,20.27,0.025482268
03/10/2011,19.76,-0.03432319
30/09/2011,20.45,-0.008278596
29/09/2011,20.62,-0.018737036
28/09/2011,21.01,-0.042400947
27/09/2011,21.92,0.00732604
26/09/2011,21.76,0.023716527
23/09/2011,21.25,0.023328837
22/09/2011,20.76,-0.055739081
21/09/2011,21.95,-0.042806357
20/09/2011,22.91,0.001747488
19/09/2011,22.87,-0.006102896
16/09/2011,23.01,0.001739887
15/09/2011,22.97,0.012705538
14/09/2011,22.68,0.025453484
13/09/2011,22.11,0.001810775
12/09/2011,22.07,0.032699206
09/09/2011,21.36,-0.033152207
08/09/2011,22.08,-0.021062845
07/09/2011,22.55,0.029705154
06/09/2011,21.89,-0.004557893
02/09/2011,21.99,0.001365188
01/09/2011,21.96,-0.027841942
31/08/2011,22.58,0.000886132
30/08/2011,22.56,0.012489012
29/08/2011,22.28,0.03563648
26/08/2011,21.5,0.052518034
25/08/2011,20.4,0.00294551
24/08/2011,20.34,0.001476015
23/08/2011,20.31,0.035583809
22/08/2011,19.6,0.01490647
19/08/2011,19.31,0.023049737
18/08/2011,18.87,-0.053648759
17/08/2011,19.91,-0.005509656
16/08/2011,20.02,-0.011916725
15/08/2011,20.26,0.016422365
12/08/2011,19.93,0.039923419
11/08/2011,19.15,0.083268095
10/08/2011,17.62,-0.05412696
09/08/2011,18.6,0.02449102
08/08/2011,18.15,-0.097061713
05/08/2011,20,-0.007472015
04/08/2011,20.15,-0.057378957
03/08/2011,21.34,0.006110477
02/08/2011,21.21,-0.034294371
01/08/2011,21.95,-0.013574869
29/07/2011,22.25,-0.013836418
28/07/2011,22.56,-0.01801059
27/07/2011,22.97,-0.035916644
26/07/2011,23.81,-0.010860591
25/07/2011,24.07,0.00583335
22/07/2011,23.93,0.001672941
21/07/2011,23.89,-0.005010449
20/07/2011,24.01,-0.00374143
19/07/2011,24.1,0.020541489
18/07/2011,23.61,0.000423639
15/07/2011,23.6,0.003820849
