Date,Close,DFS
04/03/2011,21.61,0.007431525
03/03/2011,21.45,0.018824085
02/03/2011,21.05,-0.003319899
01/03/2011,21.12,-0.029393299
28/02/2011,21.75,-0.003213223
25/02/2011,21.82,0.00967081
24/02/2011,21.61,0.028633733
23/02/2011,21,-0.004750603
22/02/2011,21.1,-0.035385442
18/02/2011,21.86,-0.005929322
17/02/2011,21.99,0.000454856
16/02/2011,21.98,0.016514137
15/02/2011,21.62,-0.008291158
14/02/2011,21.8,0.003676475
11/02/2011,21.72,0.00554018
10/02/2011,21.6,0.022946453
09/02/2011,21.11,-0.01690975
08/02/2011,21.47,0.01596278
07/02/2011,21.13,0.024917437
04/02/2011,20.61,0.002915454
03/02/2011,20.55,-0.00194458
02/02/2011,20.59,-0.014465055
01/02/2011,20.89,0.014465055
31/01/2011,20.59,0.006333761
28/01/2011,20.46,-0.027953627
27/01/2011,21.04,0.014843461
26/01/2011,20.73,0.013599044
25/01/2011,20.45,0.00146807
24/01/2011,20.42,-0.002445587
21/01/2011,20.47,0.006371009
20/01/2011,20.34,-0.003925422
19/01/2011,20.42,-0.01554939
18/01/2011,20.74,0.017510175
14/01/2011,20.38,0.016823752
13/01/2011,20.04,0.007010544
12/01/2011,19.9,0.033728286
11/01/2011,19.24,0.006256538
10/01/2011,19.12,0.011572986
07/01/2011,18.9,-0.004750603
06/01/2011,18.99,-0.009434032
05/01/2011,19.17,0.029110285
04/01/2011,18.62,-0.011215071
03/01/2011,18.83,0.016060302
31/12/2010,18.53,0.019619158
30/12/2010,18.17,-0.021775493
29/12/2010,18.57,0.000538648
28/12/2010,18.56,-0.001077006
27/12/2010,18.58,0.006479504
23/12/2010,18.46,0.014184635
22/12/2010,18.2,-0.001646995
21/12/2010,18.23,-0.002191782
20/12/2010,18.27,0.013778118
17/12/2010,18.02,-0.027908788
16/12/2010,18.53,-0.031866743
15/12/2010,19.13,-0.001044932
14/12/2010,19.15,0.002614381
13/12/2010,19.1,-0.008861147
10/12/2010,19.27,0.026289632
09/12/2010,18.77,-0.003191492
08/12/2010,18.83,0.019303548
07/12/2010,18.47,-0.030394235
06/12/2010,19.04,0.01055976
03/12/2010,18.84,-0.005293819
02/12/2010,18.94,0.004232811
01/12/2010,18.86,0.031235711
30/11/2010,18.28,-0.007629465
29/11/2010,18.42,0
26/11/2010,18.42,-0.00972455
24/11/2010,18.6,0.021190687
23/11/2010,18.21,-0.012008878
22/11/2010,18.43,0.001629107
19/11/2010,18.4,0.001087548
18/11/2010,18.38,0.001633542
17/11/2010,18.35,0.013717636
16/11/2010,18.1,-0.041661421
15/11/2010,18.87,0.014411779
12/11/2010,18.6,-0.026003057
11/11/2010,19.09,0.019572167
10/11/2010,18.72,0.013444677
09/11/2010,18.47,-0.025128294
08/11/2010,18.94,0.001585205
05/11/2010,18.91,0.009030606
04/11/2010,18.74,0.032540832
03/11/2010,18.14,0.00552793
02/11/2010,18.04,0.000554477
01/11/2010,18.03,0.021301254
29/10/2010,17.65,0.011396135
28/10/2010,17.45,-0.003432498
27/10/2010,17.51,-0.008530049
26/10/2010,17.66,0.00795911
