Date,Close,BK
06/10/2011,18.34,0.003276901
05/10/2011,18.28,-0.029112568
04/10/2011,18.82,0.060226189
03/10/2011,17.72,-0.047929857
30/09/2011,18.59,-0.041101676
29/09/2011,19.37,0.028274135
28/09/2011,18.83,-0.02309814
27/09/2011,19.27,0.024692613
26/09/2011,18.8,0.015005641
23/09/2011,18.52,-0.00645858
22/09/2011,18.64,-0.025425098
21/09/2011,19.12,-0.055442624
20/09/2011,20.21,-0.010337281
19/09/2011,20.42,-0.034652168
16/09/2011,21.14,-0.002362392
15/09/2011,21.19,0.01905727
14/09/2011,20.79,0.016000341
13/09/2011,20.46,0.023739987
12/09/2011,19.98,0.003007521
09/09/2011,19.92,-0.009492952
08/09/2011,20.11,-0.029882214
07/09/2011,20.72,0.059147673
06/09/2011,19.53,-0.021277398
02/09/2011,19.95,-0.033517184
01/09/2011,20.63,-0.001937047
31/08/2011,20.67,-0.007230689
30/08/2011,20.82,-0.001919386
29/08/2011,20.86,0.031655918
26/08/2011,20.21,0.008946382
25/08/2011,20.03,-0.015849762
24/08/2011,20.35,0.042666446
23/08/2011,19.5,0.031781784
22/08/2011,18.89,-0.00317125
19/08/2011,18.95,-0.03219385
18/08/2011,19.57,-0.06047432
17/08/2011,20.79,-0.000961539
16/08/2011,20.81,-0.003836935
15/08/2011,20.89,0.044038427
12/08/2011,19.99,-0.025680424
11/08/2011,20.51,0.052551495
10/08/2011,19.46,-0.081385785
09/08/2011,21.11,0.025913158
08/08/2011,20.57,-0.10248814
05/08/2011,22.79,-0.039996731
04/08/2011,23.72,-0.038458326
03/08/2011,24.65,0.01801113
02/08/2011,24.21,-0.040078224
01/08/2011,25.2,0.003577821
29/07/2011,25.11,-0.004767589
28/07/2011,25.23,0.005165917
27/07/2011,25.1,-0.024012175
26/07/2011,25.71,0.000389029
25/07/2011,25.7,-0.002331909
22/07/2011,25.76,-0.004261095
21/07/2011,25.87,0.036611056
20/07/2011,24.94,0.008455859
19/07/2011,24.73,0.003645943
18/07/2011,24.64,-0.018496707
15/07/2011,25.1,0.000398486
14/07/2011,25.09,-0.002786071
13/07/2011,25.16,0.002387586
12/07/2011,25.1,0.001195934
11/07/2011,25.07,-0.02870258
08/07/2011,25.8,-0.022610659
07/07/2011,26.39,0.016813541
06/07/2011,25.95,0.009680618
05/07/2011,25.7,-0.01391058
01/07/2011,26.06,0.017028275
30/06/2011,25.62,0.007050558
29/06/2011,25.44,0.038466281
28/06/2011,24.48,-0.006920443
27/06/2011,24.65,0.000405762
24/06/2011,24.64,-0.0319516
23/06/2011,25.44,-0.023311079
22/06/2011,26.04,-0.010695289
21/06/2011,26.32,0.009927535
20/06/2011,26.06,-0.005357839
17/06/2011,26.2,-0.001144383
16/06/2011,26.23,0.008038321
15/06/2011,26.02,-0.034004032
14/06/2011,26.92,0.00970519
13/06/2011,26.66,0.014736711
10/06/2011,26.27,-0.010978721
09/06/2011,26.56,0.012883846
08/06/2011,26.22,-0.012507269
