Date,Close,ITW
29/05/2012,57.2,0.016036999
25/05/2012,56.29,0.009639489
24/05/2012,55.75,0.011727694
23/05/2012,55.1,0.008383501
22/05/2012,54.64,0.004585902
21/05/2012,54.39,0.015564517
18/05/2012,53.55,-0.004099894
17/05/2012,53.77,-0.020615492
16/05/2012,54.89,-0.008706748
15/05/2012,55.37,-0.007377451
14/05/2012,55.78,-0.010876456
11/05/2012,56.39,0.001064585
10/05/2012,56.33,0.009811871
09/05/2012,55.78,-0.013356088
08/05/2012,56.53,-0.004060382
07/05/2012,56.76,0.00583092
04/05/2012,56.43,-0.015823115
03/05/2012,57.33,-0.006952922
02/05/2012,57.73,0.00625545
01/05/2012,57.37,-0.000174292
30/04/2012,57.38,-0.012641956
27/04/2012,58.11,0.008815198
26/04/2012,57.6,0.000868433
25/04/2012,57.55,0.01523272
24/04/2012,56.68,0.026096208
23/04/2012,55.22,-0.010269435
20/04/2012,55.79,0.006834559
19/04/2012,55.41,-0.009162015
18/04/2012,55.92,0.002686008
17/04/2012,55.77,0.011179345
16/04/2012,55.15,0.006001655
13/04/2012,54.82,-0.033542737
12/04/2012,56.69,0.023740517
11/04/2012,55.36,0.011079943
10/04/2012,54.75,-0.013785816
09/04/2012,55.51,-0.014308955
05/04/2012,56.31,-0.001774308
04/04/2012,56.41,-0.009351634
03/04/2012,56.94,-0.004031203
02/04/2012,57.17,0.000874967
30/03/2012,57.12,0.005617992
29/03/2012,56.8,0.000528309
28/03/2012,56.77,-0.017980758
27/03/2012,57.8,-0.000518896
26/03/2012,57.83,0.0160366
23/03/2012,56.91,0.005815507
22/03/2012,56.58,-0.009673807
21/03/2012,57.13,-0.001049685
20/03/2012,57.19,-0.015442313
19/03/2012,58.08,0.002931289
16/03/2012,57.91,0.000518179
15/03/2012,57.88,0.016198212
14/03/2012,56.95,0.004575862
13/03/2012,56.69,0.018336072
12/03/2012,55.66,0.003960401
09/03/2012,55.44,0.008331872
08/03/2012,54.98,0.013550839
07/03/2012,54.24,0.011496511
06/03/2012,53.62,-0.031935179
05/03/2012,55.36,-0.002525709
02/03/2012,55.5,-0.006823514
01/03/2012,55.88,0.003405937
29/02/2012,55.69,-0.005729649
28/02/2012,56.01,-0.004631287
27/02/2012,56.27,0.006239436
24/02/2012,55.92,-0.007482665
23/02/2012,56.34,0.002132197
22/02/2012,56.22,-0.006029456
21/02/2012,56.56,0.006563216
17/02/2012,56.19,-0.0040849
16/02/2012,56.42,0.017522351
15/02/2012,55.44,-0.009514478
14/02/2012,55.97,0.000357398
13/02/2012,55.95,0.004298771
10/02/2012,55.71,-0.011245098
09/02/2012,56.34,0.006053072
08/02/2012,56,0.003757049
07/02/2012,55.79,0.003771218
06/02/2012,55.58,-0.000359777
03/02/2012,55.6,0.011213719
02/02/2012,54.98,0.001456134
01/02/2012,54.9,0.034655557
31/01/2012,53.03,-0.003200605
30/01/2012,53.2,0.008115549
27/01/2012,52.77,-0.004537728
26/01/2012,53.01,0.003590668
25/01/2012,52.82,0.016993249
24/01/2012,51.93,0.007344447
23/01/2012,51.55,0.001553097
20/01/2012,51.47,0.004869033
19/01/2012,51.22,0.01020417
18/01/2012,50.7,-0.005115101
17/01/2012,50.96,0.031698059
13/01/2012,49.37,-0.002629717
12/01/2012,49.5,0.009132484
11/01/2012,49.05,0.007571918
10/01/2012,48.68,0.016570387
09/01/2012,47.88,0.001881468
06/01/2012,47.79,-0.012683401
05/01/2012,48.4,0.002482417
04/01/2012,48.28,0.005191581
03/01/2012,48.03,0.027867541
30/12/2011,46.71,-0.004272598
29/12/2011,46.91,0.010715919
28/12/2011,46.41,-0.03097405
27/12/2011,47.87,0.003138406
23/12/2011,47.72,0.015841497
22/12/2011,46.97,0.005764935
21/12/2011,46.7,-0.011285119
20/12/2011,47.23,0.034683067
19/12/2011,45.62,-0.00829518
16/12/2011,46,0.005449605
15/12/2011,45.75,-0.001528885
14/12/2011,45.82,-0.013225125
13/12/2011,46.43,-0.007082335
12/12/2011,46.76,-0.007881604
09/12/2011,47.13,0.017335908
08/12/2011,46.32,-0.025366382
07/12/2011,47.51,0.006758209
06/12/2011,47.19,0.00339631
05/12/2011,47.03,0.023231847
02/12/2011,45.95,0.018228242
01/12/2011,45.12,-0.007067167
30/11/2011,45.44,0.046163775
29/11/2011,43.39,-0.007119102
28/11/2011,43.7,0.025963443
25/11/2011,42.58,0.001880584
23/11/2011,42.5,-0.035821276
22/11/2011,44.05,0.005919872
21/11/2011,43.79,-0.025922786
18/11/2011,44.94,0.012539349
17/11/2011,44.38,-0.023603857
16/11/2011,45.44,-0.01745245
15/11/2011,46.24,-0.002160295
14/11/2011,46.34,-0.012651611
11/11/2011,46.93,0.015893805
10/11/2011,46.19,0.001083072
09/11/2011,46.14,-0.059731799
08/11/2011,48.98,-0.014995215
07/11/2011,49.72,0.009904073
04/11/2011,49.23,-0.005873435
03/11/2011,49.52,0.034096546
02/11/2011,47.86,0.025607155
01/11/2011,46.65,-0.041567697
31/10/2011,48.63,-0.010229222
28/10/2011,49.13,-0.001017191
27/10/2011,49.18,0.060777134
26/10/2011,46.28,0.013706295
25/10/2011,45.65,-0.054977627
24/10/2011,48.23,0.018203244
21/10/2011,47.36,0.017680725
20/10/2011,46.53,0.006901041
19/10/2011,46.21,-0.013114237
18/10/2011,46.82,0.030137782
17/10/2011,45.43,-0.031631753
14/10/2011,46.89,0.025924978
13/10/2011,45.69,-0.007196629
12/10/2011,46.02,0.028208129
11/10/2011,44.74,-0.005572287
10/10/2011,44.99,0.041757825
07/10/2011,43.15,-0.016092301
06/10/2011,43.85,0.023069074
05/10/2011,42.85,0.023613848
04/10/2011,41.85,0.041469357
03/10/2011,40.15,-0.035477727
30/09/2011,41.6,-0.037740328
29/09/2011,43.2,0.005571045
28/09/2011,42.96,-0.045503755
27/09/2011,44.96,0.019767041
26/09/2011,44.08,0.032744452
23/09/2011,42.66,0.013689145
22/09/2011,42.08,-0.036630714
21/09/2011,43.65,-0.030459207
20/09/2011,45,-0.002441462
19/09/2011,45.11,-0.006187865
16/09/2011,45.39,-0.0046159
15/09/2011,45.6,0.017699577
14/09/2011,44.8,0.03151831
13/09/2011,43.41,0.024485309
12/09/2011,42.36,-0.003534822
09/09/2011,42.51,-0.037853585
08/09/2011,44.15,-0.019069563
07/09/2011,45,0.036203049
06/09/2011,43.4,-0.006201926
02/09/2011,43.67,-0.034656934
01/09/2011,45.21,-0.028993857
31/08/2011,46.54,0.002581757
30/08/2011,46.42,-0.000646064
29/08/2011,46.45,0.036391565
26/08/2011,44.79,0.02761606
25/08/2011,43.57,-0.026275577
24/08/2011,44.73,0.020325903
23/08/2011,43.83,0.041696968
22/08/2011,42.04,0.016307316
19/08/2011,41.36,-0.001449626
18/08/2011,41.42,-0.061561496
17/08/2011,44.05,-0.01621292
16/08/2011,44.77,-0.011547985
15/08/2011,45.29,0.004425765
12/08/2011,45.09,0.005782934
11/08/2011,44.83,0.057617771
10/08/2011,42.32,-0.04752913
09/08/2011,44.38,0.033917092
08/08/2011,42.9,-0.076917873
05/08/2011,46.33,-0.003662613
04/08/2011,46.5,-0.049711399
03/08/2011,48.87,0.010904336
02/08/2011,48.34,-0.031761627
01/08/2011,49.9,0.002006019
29/07/2011,49.8,0.000200823
28/07/2011,49.79,-0.018506149
27/07/2011,50.72,-0.031440587
26/07/2011,52.34,-0.085465794
25/07/2011,57.01,0.000701878
22/07/2011,56.97,0.000175546
21/07/2011,56.96,0.006693701
20/07/2011,56.58,-0.000706714
19/07/2011,56.62,0.005135027
18/07/2011,56.33,-0.013401717
15/07/2011,57.09,0.004740594
14/07/2011,56.82,-0.015715357
13/07/2011,57.72,0.002081166
12/07/2011,57.6,-0.009331327
11/07/2011,58.14,-0.01315696
08/07/2011,58.91,-0.001865514
07/07/2011,59.02,0.015366531
06/07/2011,58.12,0.008119592
05/07/2011,57.65,0.000694083
01/07/2011,57.61,0.019632532
30/06/2011,56.49,0.023463063
29/06/2011,55.18,0.003449218
28/06/2011,54.99,0.004373982
27/06/2011,54.75,0.007332755
24/06/2011,54.35,-0.00970437
23/06/2011,54.88,-0.010152371
22/06/2011,55.44,-0.001802127
21/06/2011,55.54,0.016703366
20/06/2011,54.62,-0.005659531
17/06/2011,54.93,0.005293432
16/06/2011,54.64,0.006241988
15/06/2011,54.3,-0.022759289
14/06/2011,55.55,0.018165804
13/06/2011,54.55,-0.001648503
10/06/2011,54.64,-0.012729759
09/06/2011,55.34,0.003620569
08/06/2011,55.14,-0.010284258
07/06/2011,55.71,-0.001076426
06/06/2011,55.77,-0.005543152
03/06/2011,56.08,-0.007284389
02/06/2011,56.49,0.004079828
01/06/2011,56.26,-0.0186658
31/05/2011,57.32,0.004896827
27/05/2011,57.04,0.000876962
26/05/2011,56.99,-0.000876962
25/05/2011,57.04,0.009335162
24/05/2011,56.51,-0.000530739
23/05/2011,56.54,-0.009680618
20/05/2011,57.09,-0.009761277
19/05/2011,57.65,-0.001733103
18/05/2011,57.75,0.01342302
17/05/2011,56.98,-0.007518175
16/05/2011,57.41,-0.009362066
13/05/2011,57.95,-0.006535971
12/05/2011,58.33,0.004123009
11/05/2011,58.09,-0.00343702
10/05/2011,58.29,0.004815143
09/05/2011,58.01,-0.002410469
06/05/2011,58.15,0.012981576
05/05/2011,57.4,-0.006252191
04/05/2011,57.76,-0.009477111
03/05/2011,58.31,0.004813487
02/05/2011,58.03,-0.00652699
29/04/2011,58.41,0.001199144
28/04/2011,58.34,0.011550857
27/04/2011,57.67,-0.001039861
26/04/2011,57.73,0.059229009
25/04/2011,54.41,0.006268457
21/04/2011,54.07,0.003891416
20/04/2011,53.86,0.017984749
19/04/2011,52.9,0.005687219
18/04/2011,52.6,-0.013407811
15/04/2011,53.31,0.002253522
14/04/2011,53.19,-0.002253522
13/04/2011,53.31,-0.005425137
12/04/2011,53.6,-0.013343415
11/04/2011,54.32,-0.000184077
08/04/2011,54.33,0
07/04/2011,54.33,-0.002206289
06/04/2011,54.45,-0.000734349
05/04/2011,54.49,-0.00476017
04/04/2011,54.75,0.011019395
01/04/2011,54.15,0.007972602
31/03/2011,53.72,0.003169575
30/03/2011,53.55,-0.015932164
29/03/2011,54.41,0.002576372
28/03/2011,54.27,-0.012815994
25/03/2011,54.97,-0.000545603
24/03/2011,55,0.006018072
23/03/2011,54.67,-0.001096892
22/03/2011,54.73,-0.00492118
21/03/2011,55,0.018349139
18/03/2011,54,0.00464038
17/03/2011,53.75,0.012920318
16/03/2011,53.06,-0.017004988
15/03/2011,53.97,-0.007200253
14/03/2011,54.36,-0.004588427
11/03/2011,54.61,0.004220577
10/03/2011,54.38,-0.026673086
09/03/2011,55.85,0.002509861
08/03/2011,55.71,0.017017065
07/03/2011,54.77,-0.002188584
04/03/2011,54.89,-0.002729011
03/03/2011,55.04,0.018705845
02/03/2011,54.02,0.010233599
01/03/2011,53.47,-0.011713437
28/02/2011,54.1,0.010031665
25/02/2011,53.56,0.006368255
24/02/2011,53.22,0.003765065
23/02/2011,53.02,-0.006017318
22/02/2011,53.34,-0.02882683
18/02/2011,54.9,-0.000728332
17/02/2011,54.94,0.002369022
16/02/2011,54.81,0.007140926
15/02/2011,54.42,-0.023607416
14/02/2011,55.72,-0.001613916
11/02/2011,55.81,0.001793401
10/02/2011,55.71,0.013735983
09/02/2011,54.95,-0.005806585
08/02/2011,55.27,0.000723982
