Date,Close,MPC
03/02/2012,43.98,0.03282014
02/02/2012,42.56,0.016106459
01/02/2012,41.88,0.091449447
31/01/2012,38.22,0.019551481
30/01/2012,37.48,-0.001333156
27/01/2012,37.53,0.000533049
26/01/2012,37.51,-0.032781223
25/01/2012,38.76,-0.007197975
24/01/2012,39.04,0.03042752
23/01/2012,37.87,0.018657258
20/01/2012,37.17,0.036158417
19/01/2012,35.85,0.010938266
18/01/2012,35.46,0.055666544
17/01/2012,33.54,0.015322517
13/01/2012,33.03,0.011877709
12/01/2012,32.64,-0.00763013
11/01/2012,32.89,0.032759419
10/01/2012,31.83,0.027713193
09/01/2012,30.96,-0.022358006
06/01/2012,31.66,-0.008178718
05/01/2012,31.92,-0.056043897
04/01/2012,33.76,0.010421413
03/01/2012,33.41,0.003598205
30/12/2011,33.29,0.000300436
29/12/2011,33.28,0.004215604
28/12/2011,33.14,-0.015272044
27/12/2011,33.65,0.003572496
23/12/2011,33.53,0.006582908
22/12/2011,33.31,0.019400427
21/12/2011,32.67,0.014490773
20/12/2011,32.2,0.00810731
19/12/2011,31.94,-0.000625978
16/12/2011,31.96,-0.01767762
15/12/2011,32.53,-0.00460053
14/12/2011,32.68,-0.038125584
13/12/2011,33.95,-0.018675769
12/12/2011,34.59,-0.008348976
09/12/2011,34.88,0.024965012
08/12/2011,34.02,-0.014010737
07/12/2011,34.5,-0.00404976
06/12/2011,34.64,0.006952519
05/12/2011,34.4,0.032198912
02/12/2011,33.31,-0.019031202
01/12/2011,33.95,0.0166324
30/11/2011,33.39,0.006610601
29/11/2011,33.17,-0.003310763
28/11/2011,33.28,0.03081861
25/11/2011,32.27,-0.017204725
23/11/2011,32.83,-0.020799544
22/11/2011,33.52,0.020494991
21/11/2011,32.84,0.000609199
18/11/2011,32.82,0.037248254
17/11/2011,31.62,-0.031748698
16/11/2011,32.64,-0.124838696
15/11/2011,36.98,0.007328028
14/11/2011,36.71,-0.028465939
11/11/2011,37.77,0.001855042
10/11/2011,37.7,0.018201787
09/11/2011,37.02,-0.029018408
08/11/2011,38.11,-0.021031542
07/11/2011,38.92,0.00773798
04/11/2011,38.62,-0.001293829
03/11/2011,38.67,0.008831226
02/11/2011,38.33,0.062713941
01/11/2011,36,0.002781643
31/10/2011,35.9,-0.03879208
28/10/2011,37.32,-0.000267917
27/10/2011,37.33,0.072193426
26/10/2011,34.73,0.05200581
25/10/2011,32.97,-0.08374551
24/10/2011,35.85,-0.040989345
21/10/2011,37.35,0.023294661
20/10/2011,36.49,0.024692613
19/10/2011,35.6,-0.0164372
18/10/2011,36.19,0.035150533
17/10/2011,34.94,-0.03376798
14/10/2011,36.14,0.067827451
13/10/2011,33.77,0.005940023
12/10/2011,33.57,0.012590094
11/10/2011,33.15,0.00544466
10/10/2011,32.97,0.042440936
07/10/2011,31.6,-0.052099931
06/10/2011,33.29,0.055904628
05/10/2011,31.48,0.090366891
04/10/2011,28.76,0.057608486
03/10/2011,27.15,0.003320424
30/09/2011,27.06,-0.028417213
29/09/2011,27.84,-0.040132101
28/09/2011,28.98,-0.028908662
27/09/2011,29.83,-0.009010573
26/09/2011,30.1,0.019118476
23/09/2011,29.53,0.002033899
22/09/2011,29.47,-0.094785626
21/09/2011,32.4,-0.039042635
20/09/2011,33.69,0.004164194
19/09/2011,33.55,-0.045164267
16/09/2011,35.1,-0.009075502
15/09/2011,35.42,0.011071795
14/09/2011,35.03,-0.00881063
13/09/2011,35.34,-0.036670776
12/09/2011,36.66,0.008492038
09/09/2011,36.35,-0.03726133
08/09/2011,37.73,0.038913313
07/09/2011,36.29,0.03619416
06/09/2011,35,-0.011928571
02/09/2011,35.42,-0.043911514
01/09/2011,37.01,-0.001350074
31/08/2011,37.06,0.028186296
30/08/2011,36.03,0.000832986
29/08/2011,36,0.031892078
26/08/2011,34.87,0.014151861
25/08/2011,34.38,-0.041310531
24/08/2011,35.83,0.045098967
23/08/2011,34.25,0.050294945
22/08/2011,32.57,-0.071670687
19/08/2011,34.99,-0.045259121
18/08/2011,36.61,-0.06580104
17/08/2011,39.1,0.006157023
16/08/2011,38.86,-0.006157023
15/08/2011,39.1,0.044184419
12/08/2011,37.41,0.00187291
11/08/2011,37.34,0.061294369
