Date,Close,SCG
08/02/2011,42.74,-0.001402853
07/02/2011,42.8,0.00679876
04/02/2011,42.51,-0.002349625
03/02/2011,42.61,0.001174122
02/02/2011,42.56,-0.005389585
01/02/2011,42.79,0.012226816
31/01/2011,42.27,0.004742717
28/01/2011,42.07,-0.0141612
27/01/2011,42.67,0.009891743
26/01/2011,42.25,-0.005899722
25/01/2011,42.5,0.005426461
24/01/2011,42.27,0.006407996
21/01/2011,42,0.001429593
20/01/2011,41.94,0.003582949
19/01/2011,41.79,-0.000717618
18/01/2011,41.82,-0.000478126
14/01/2011,41.84,0.008159393
13/01/2011,41.5,0.004346783
12/01/2011,41.32,0.001937985
11/01/2011,41.24,0.003887274
10/01/2011,41.08,-0.000973236
07/01/2011,41.12,0.011495785
06/01/2011,40.65,0.003203157
05/01/2011,40.52,-0.004186683
04/01/2011,40.69,-0.001473478
03/01/2011,40.75,0.003687773
31/12/2010,40.6,-0.004668887
30/12/2010,40.79,-0.001959344
29/12/2010,40.87,0.000244708
28/12/2010,40.86,0.001714636
27/12/2010,40.79,-0.002203993
23/12/2010,40.88,-0.000977995
22/12/2010,40.92,0.00293686
21/12/2010,40.8,0.001962709
20/12/2010,40.72,-0.000981836
17/12/2010,40.76,0.000245369
16/12/2010,40.75,0.009864445
15/12/2010,40.35,-0.012315427
14/12/2010,40.85,0.006877944
13/12/2010,40.57,0.008415891
10/12/2010,40.23,0.001243627
09/12/2010,40.18,-0.002485708
08/12/2010,40.28,-0.016008223
07/12/2010,40.93,-0.004631331
06/12/2010,41.12,-0.00145808
03/12/2010,41.18,-0.000970874
02/12/2010,41.22,0.006571765
01/12/2010,40.95,0.008091254
30/11/2010,40.62,-0.004421525
29/11/2010,40.8,-0.005865119
26/11/2010,41.04,-0.001217582
24/11/2010,41.09,0.00953669
23/11/2010,40.7,-0.01050969
22/11/2010,41.13,0.005118841
19/11/2010,40.92,-0.00438918
18/11/2010,41.1,0.005367176
17/11/2010,40.88,0.007612069
16/11/2010,40.57,-0.015166631
15/11/2010,41.19,0.006087928
12/11/2010,40.94,-0.007301079
11/11/2010,41.24,-0.000242454
10/11/2010,41.25,0.000970167
09/11/2010,41.21,-0.007012482
08/11/2010,41.5,-0.004088018
05/11/2010,41.67,0.006259048
04/11/2010,41.41,0.009950331
03/11/2010,41,-0.00365186
02/11/2010,41.15,0.014934786
01/11/2010,40.54,-0.007372852
29/10/2010,40.84,-0.001223541
28/10/2010,40.89,0.003184326
27/10/2010,40.76,-0.008063575
26/10/2010,41.09,-0.001702128
25/10/2010,41.16,-0.000971345
22/10/2010,41.2,-0.004117724
21/10/2010,41.37,-0.007705311
20/10/2010,41.69,0.008672663
19/10/2010,41.33,-0.004104799
18/10/2010,41.5,0.008712543
15/10/2010,41.14,0.007808727
14/10/2010,40.82,-0.002446784
13/10/2010,40.92,0.005636579
12/10/2010,40.69,-0.002699719
11/10/2010,40.8,0.002699719
08/10/2010,40.69,0.004186683
07/10/2010,40.52,-0.002464877
06/10/2010,40.62,-0.005646265
05/10/2010,40.85,0.010334738
04/10/2010,40.43,-0.002963697
01/10/2010,40.55,0.005688157
30/09/2010,40.32,0
29/09/2010,40.32,-0.003466208
28/09/2010,40.46,0.001484047
27/09/2010,40.4,-0.001236859
24/09/2010,40.45,0.019471409
23/09/2010,39.67,-0.013271761
22/09/2010,40.2,0.00099552
21/09/2010,40.16,-0.008183555
20/09/2010,40.49,0.017188118
17/09/2010,39.8,0.001508675
16/09/2010,39.74,-0.010015106
15/09/2010,40.14,-0.003729956
14/09/2010,40.29,0.003231824
13/09/2010,40.16,0.008502177
10/09/2010,39.82,-0.003259374
09/09/2010,39.95,0.005018831
08/09/2010,39.75,-0.018692133
07/09/2010,40.5,-0.001480385
03/09/2010,40.56,0.012653686
02/09/2010,40.05,0.006261761
01/09/2010,39.8,0.019536331
31/08/2010,39.03,0.005910335
30/08/2010,38.8,-0.011021514
27/08/2010,39.23,0.019043293
26/08/2010,38.49,-0.001298196
25/08/2010,38.54,-0.005692124
24/08/2010,38.76,0.000516129
23/08/2010,38.74,0.007253918
20/08/2010,38.46,-0.000779727
19/08/2010,38.49,-0.013932114
18/08/2010,39.03,-0.002047608
17/08/2010,39.11,0.012090179
16/08/2010,38.64,0.000776699
13/08/2010,38.61,0.002074152
12/08/2010,38.53,-0.00414401
11/08/2010,38.69,-0.025266114
10/08/2010,39.68,-0.001762559
09/08/2010,39.75,0.006056037
06/08/2010,39.51,-0.00101189
05/08/2010,39.55,0.002785164
04/08/2010,39.44,0.005593709
03/08/2010,39.22,0.003320141
02/08/2010,39.09,0.020155721
30/07/2010,38.31,-0.008059318
29/07/2010,38.62,-0.02581613
28/07/2010,39.63,-0.010042766
27/07/2010,40.03,0.01738736
26/07/2010,39.34,0.010733556
23/07/2010,38.92,0.009292788
22/07/2010,38.56,0.018848726
21/07/2010,37.84,-0.015211413
20/07/2010,38.42,0.002606204
19/07/2010,38.32,0.010229597
16/07/2010,37.93,-0.015175592
15/07/2010,38.51,0.007820686
14/07/2010,38.21,0.002095888
13/07/2010,38.13,0.007370394
12/07/2010,37.85,0.006626929
09/07/2010,37.6,0.003196593
08/07/2010,37.48,0.013700684
07/07/2010,36.97,0.02881253
06/07/2010,35.92,0.012043277
02/07/2010,35.49,0.001692048
01/07/2010,35.43,-0.009271031
30/06/2010,35.76,-0.010016778
29/06/2010,36.12,-0.017563569
28/06/2010,36.76,0.008743225
25/06/2010,36.44,0.001922813
24/06/2010,36.37,0.001926518
23/06/2010,36.3,-0.013680104
22/06/2010,36.8,-0.018843088
21/06/2010,37.5,-0.00292904
18/06/2010,37.61,0.00292904
17/06/2010,37.5,0.005883943
16/06/2010,37.28,0.006188638
15/06/2010,37.05,0.022380847
14/06/2010,36.23,0.00414881
11/06/2010,36.08,-0.001938253
10/06/2010,36.15,0.03433089
09/06/2010,34.93,-0.021524479
08/06/2010,35.69,-0.003635859
07/06/2010,35.82,0.007847574
04/06/2010,35.54,-0.033479403
03/06/2010,36.75,0.014802902
02/06/2010,36.21,0.023188635
01/06/2010,35.38,-0.025395532
28/05/2010,36.29,-0.003575853
