Date,Close,FIS
27/07/2011,29.99,-0.011602981
26/07/2011,30.34,0.000989283
25/07/2011,30.31,-0.00559304
22/07/2011,30.48,-0.007843177
21/07/2011,30.72,0.008171315
20/07/2011,30.47,0.022905566
19/07/2011,29.78,0.026196429
18/07/2011,29.01,-0.021146763
15/07/2011,29.63,0.001013
14/07/2011,29.6,-0.013089631
13/07/2011,29.99,-0.001332889
12/07/2011,30.03,-0.006968669
11/07/2011,30.24,-0.023530497
08/07/2011,30.96,-0.011560822
07/07/2011,31.32,0.012207026
06/07/2011,30.94,0.005509656
05/07/2011,30.77,-0.008091968
01/07/2011,31.02,0.007442196
30/06/2011,30.79,0.006189953
29/06/2011,30.6,0.011173301
28/06/2011,30.26,0.001653713
27/06/2011,30.21,0.004644998
24/06/2011,30.07,-0.008938977
23/06/2011,30.34,-0.024740845
22/06/2011,31.1,-0.005771096
21/06/2011,31.28,0.001920001
20/06/2011,31.22,0.007394343
17/06/2011,30.99,0.004852023
16/06/2011,30.84,0.001297859
15/06/2011,30.8,-0.024692613
14/06/2011,31.57,0.005717932
13/06/2011,31.39,-0.005717932
10/06/2011,31.57,-0.007258987
09/06/2011,31.8,0.020010196
08/06/2011,31.17,-0.013384521
07/06/2011,31.59,0.01466863
06/06/2011,31.13,-0.002566572
03/06/2011,31.21,-0.01273497
02/06/2011,31.61,0
01/06/2011,31.61,-0.017871615
31/05/2011,32.18,0.009993837
27/05/2011,31.86,0.013588454
26/05/2011,31.43,0.000954958
25/05/2011,31.4,0.007672672
24/05/2011,31.16,-0.010534814
23/05/2011,31.49,-0.014815086
20/05/2011,31.96,-0.008722797
19/05/2011,32.24,0.005286904
18/05/2011,32.07,0.007825991
17/05/2011,31.82,-0.003450984
16/05/2011,31.93,-0.009351689
13/05/2011,32.23,-0.008342394
12/05/2011,32.5,0.004935235
11/05/2011,32.34,-0.006472515
10/05/2011,32.55,0.002460783
09/05/2011,32.47,-0.000615764
06/05/2011,32.49,-0.009191241
05/05/2011,32.79,-0.007595358
04/05/2011,33.04,-0.015019808
03/05/2011,33.54,0.018051032
02/05/2011,32.94,-0.005147627
29/04/2011,33.11,0.012766131
28/04/2011,32.69,-0.020288357
27/04/2011,33.36,0.004807702
26/04/2011,33.2,-0.000903206
25/04/2011,33.23,0.002108752
21/04/2011,33.16,-0.007810193
20/04/2011,33.42,0.017202778
