Date,Close,HRB
16/03/2010,16.94,0.00592068
15/03/2010,16.84,0.001783061
12/03/2010,16.81,-0.002970005
11/03/2010,16.86,0.017350121
10/03/2010,16.57,-0.006616565
09/03/2010,16.68,-0.003590668
08/03/2010,16.74,0.002991327
05/03/2010,16.69,-0.007758917
04/03/2010,16.82,-0.005336508
03/03/2010,16.91,0.001775674
02/03/2010,16.88,-0.015868684
01/03/2010,17.15,-0.00755159
26/02/2010,17.28,-0.003466208
25/02/2010,17.34,0.001154068
24/02/2010,17.32,-0.130278417
23/02/2010,19.73,-0.021560123
22/02/2010,20.16,-0.046520016
19/02/2010,21.12,-0.008486614
18/02/2010,21.3,0.012281685
17/02/2010,21.04,0.007633625
16/02/2010,20.88,0.001437815
12/02/2010,20.85,0.003362963
11/02/2010,20.78,-0.000962001
10/02/2010,20.8,-0.015267472
09/02/2010,21.12,0.007604599
08/02/2010,20.96,0.003824096
05/02/2010,20.88,-0.010481277
04/02/2010,21.1,-0.026655775
03/02/2010,21.67,-0.000922509
02/02/2010,21.69,0.005084365
01/02/2010,21.58,0.002784225
29/01/2010,21.52,-0.012009382
28/01/2010,21.78,-0.010959014
27/01/2010,22.02,0.013257337
26/01/2010,21.73,-0.023198675
25/01/2010,22.24,0.000899685
22/01/2010,22.22,-0.02004968
21/01/2010,22.67,-0.00659488
20/01/2010,22.82,-0.003936152
19/01/2010,22.91,0.008327903
15/01/2010,22.72,-0.015287478
14/01/2010,23.07,0.035292591
13/01/2010,22.27,0.013562595
12/01/2010,21.97,-0.005899722
11/01/2010,22.1,0.004535155
08/01/2010,22,0.0040993
07/01/2010,21.91,0.004574573
06/01/2010,21.81,-0.024010213
05/01/2010,22.34,-0.014222462
04/01/2010,22.66,0.001766785
31/12/2009,22.62,-0.001325381
30/12/2009,22.65,0.006644543
29/12/2009,22.5,0.025659747
28/12/2009,21.93,0.015625318
24/12/2009,21.59,0.035835989
23/12/2009,20.83,0.012560552
22/12/2009,20.57,0
21/12/2009,20.57,0.006829295
18/12/2009,20.43,0.01380012
17/12/2009,20.15,-0.029341958
16/12/2009,20.75,-0.010546598
