Date,Close,MRK
17/06/2011,35.39,0.005951555
16/06/2011,35.18,0.000284293
15/06/2011,35.17,-0.013275156
14/06/2011,35.64,0.008736141
13/06/2011,35.33,-0.003390792
10/06/2011,35.45,-0.015395685
09/06/2011,36,0.005850414
08/06/2011,35.79,0.006165939
07/06/2011,35.57,0.000281175
06/06/2011,35.56,-0.007284986
03/06/2011,35.82,-0.009170552
02/06/2011,36.15,-0.002762433
01/06/2011,36.25,-0.013698844
31/05/2011,36.75,0.014802902
27/05/2011,36.21,-0.004683849
26/05/2011,36.38,-0.008485065
25/05/2011,36.69,-0.004893974
24/05/2011,36.87,-0.000813339
23/05/2011,36.9,-0.00432667
20/05/2011,37.06,-0.008597581
19/05/2011,37.38,-0.005336192
18/05/2011,37.58,0.00828328
17/05/2011,37.27,-0.000804613
16/05/2011,37.3,0.005915586
13/05/2011,37.08,-0.003231021
12/05/2011,37.2,0.015441184
11/05/2011,36.63,-0.003814719
10/05/2011,36.77,0.00791813
09/05/2011,36.48,0.002470154
06/05/2011,36.39,0.00385463
05/05/2011,36.25,-0.008515365
04/05/2011,36.56,0.004111284
03/05/2011,36.41,0.002750277
02/05/2011,36.31,0.009964101
29/04/2011,35.95,0.005019531
28/04/2011,35.77,0.003921574
27/04/2011,35.63,0.0161271
26/04/2011,35.06,0.021041272
25/04/2011,34.33,0.008483304
21/04/2011,34.04,0
20/04/2011,34.04,0.008555886
19/04/2011,33.75,-0.005319161
18/04/2011,33.93,-0.016949558
15/04/2011,34.51,0.01901476
14/04/2011,33.86,0.011584861
13/04/2011,33.47,-0.002685366
12/04/2011,33.56,-0.000893522
11/04/2011,33.59,-0.00237883
08/04/2011,33.67,0.010149341
07/04/2011,33.33,-0.00059988
06/04/2011,33.35,0.005713442
05/04/2011,33.16,-0.00331176
04/04/2011,33.27,0.006029563
01/04/2011,33.07,0.001815981
31/03/2011,33.01,-0.008746851
30/03/2011,33.3,0.015738824
29/03/2011,32.78,0.01011813
28/03/2011,32.45,-0.003691176
25/03/2011,32.57,-0.004594892
24/03/2011,32.72,0.002754401
23/03/2011,32.63,0.00306937
22/03/2011,32.53,0.004313007
21/03/2011,32.39,0.014930293
18/03/2011,31.91,0.014838473
17/03/2011,31.44,0.011516442
16/03/2011,31.08,-0.024786779
15/03/2011,31.86,-0.016189644
14/03/2011,32.38,-0.01075114
11/03/2011,32.73,-0.005180569
10/03/2011,32.9,-0.011784394
09/03/2011,33.29,0.009355734
08/03/2011,32.98,0.004558586
07/03/2011,32.83,-0.006981361
04/03/2011,33.06,-0.00120919
03/03/2011,33.1,0.015834679
02/03/2011,32.58,0.003690041
01/03/2011,32.46,-0.003383057
28/02/2011,32.57,0.011735774
25/02/2011,32.19,0.004982882
24/02/2011,32.03,-0.001871492
23/02/2011,32.09,-0.007760399
22/02/2011,32.34,-0.015646891
18/02/2011,32.85,-0.007581537
17/02/2011,33.1,0.004238577
16/02/2011,32.96,0.005171114
15/02/2011,32.79,-0.000914495
14/02/2011,32.82,-0.007588441
11/02/2011,33.07,0.000907578
10/02/2011,33.04,-0.001512173
09/02/2011,33.09,-0.005424968
08/02/2011,33.27,0.008148529
07/02/2011,33,0.003338901
04/02/2011,32.89,-0.000303998
03/02/2011,32.9,-0.027579686
02/02/2011,33.82,-0.005308181
01/02/2011,34,0.024714672
31/01/2011,33.17,0.003019326
28/01/2011,33.07,-0.00542824
27/01/2011,33.25,0.001504891
26/01/2011,33.2,-0.004807702
25/01/2011,33.36,-0.013103225
24/01/2011,33.8,-0.002954212
21/01/2011,33.9,-0.004415018
20/01/2011,34.05,0.004120076
19/01/2011,33.91,0.001180289
18/01/2011,33.87,-0.010572786
14/01/2011,34.23,-0.013349008
13/01/2011,34.69,-0.06851231
12/01/2011,37.15,0.005398124
11/01/2011,36.95,-0.006743114
10/01/2011,37.2,-0.00402415
07/01/2011,37.35,0.007794691
06/01/2011,37.06,0.013583474
05/01/2011,36.56,0.005760543
04/01/2011,36.35,0.008564771
03/01/2011,36.04,0
31/12/2010,36.04,0.000832755
30/12/2010,36.01,-0.005538646
29/12/2010,36.21,0.000276205
28/12/2010,36.2,-0.000828386
27/12/2010,36.23,-0.001654716
23/12/2010,36.29,0.001930769
22/12/2010,36.22,0.001104972
21/12/2010,36.18,-0.008805781
20/12/2010,36.5,0.000548095
17/12/2010,36.48,-0.009820046
16/12/2010,36.84,0.004897969
15/12/2010,36.66,0.003005056
14/12/2010,36.55,0.012388321
13/12/2010,36.1,0.003051743
10/12/2010,35.99,0.008931123
09/12/2010,35.67,0.007598179
08/12/2010,35.4,0.000847817
07/12/2010,35.37,0.003398474
06/12/2010,35.25,-0.001417435
03/12/2010,35.3,0.002268861
02/12/2010,35.22,0.004553224
01/12/2010,35.06,0.016971499
30/11/2010,34.47,-0.00636208
29/11/2010,34.69,-0.002878528
26/11/2010,34.79,-0.010294629
24/11/2010,35.15,0.009719916
23/11/2010,34.81,-0.022159998
22/11/2010,35.59,0.007332238
19/11/2010,35.33,0.001132824
18/11/2010,35.29,0.023510257
17/11/2010,34.47,0.010791996
16/11/2010,34.1,-0.012820688
15/11/2010,34.54,-0.004909757
12/11/2010,34.71,-0.014302303
11/11/2010,35.21,0.007125582
10/11/2010,34.96,-0.002571063
09/11/2010,35.05,-0.016131664
08/11/2010,35.62,-0.002243411
05/11/2010,35.7,-0.02626274
04/11/2010,36.65,0.003827233
03/11/2010,36.51,-0.002735231
02/11/2010,36.61,0.009882046
01/11/2010,36.25,-0.001653804
29/10/2010,36.31,-0.017201789
28/10/2010,36.94,0.013079206
27/10/2010,36.46,-0.016592248
26/10/2010,37.07,-0.009397304
25/10/2010,37.42,0.008588351
22/10/2010,37.1,0
21/10/2010,37.1,0.002969364
20/10/2010,36.99,0.01278755
19/10/2010,36.52,-0.019254832
18/10/2010,37.23,0.00754924
15/10/2010,36.95,-0.005398124
14/10/2010,37.15,-0.000269143
13/10/2010,37.16,0.014092374
12/10/2010,36.64,-0.005986412
11/10/2010,36.86,-0.001355565
08/10/2010,36.91,0.00543332
07/10/2010,36.71,-0.008138949
06/10/2010,37.01,-0.000270161
05/10/2010,37.02,0.013598251
04/10/2010,36.52,-0.002188185
01/10/2010,36.6,-0.005721307
