Date,Close,JPM
29/04/2011,45.63,-0.004809804
28/04/2011,45.85,0.007662873
27/04/2011,45.5,0.008386719
26/04/2011,45.12,0.011367558
25/04/2011,44.61,-0.001567925
21/04/2011,44.68,0.002689379
20/04/2011,44.56,-0.002017712
19/04/2011,44.65,0.015574178
18/04/2011,43.96,-0.020934923
15/04/2011,44.89,-0.001780548
14/04/2011,44.97,-0.028065863
13/04/2011,46.25,-0.008397078
12/04/2011,46.64,-0.004705891
11/04/2011,46.86,0.000426894
08/04/2011,46.84,-0.01188469
07/04/2011,47.4,-0.005050516
06/04/2011,47.64,0.02250148
05/04/2011,46.58,0.005165745
04/04/2011,46.34,-0.000215773
01/04/2011,46.35,0.005408342
31/03/2011,46.1,-0.007563515
30/03/2011,46.45,0.009300381
29/03/2011,46.02,0.001304632
28/03/2011,45.96,0.002178176
25/03/2011,45.86,0.00283874
24/03/2011,45.73,0.002846821
23/03/2011,45.6,0.002854949
22/03/2011,45.47,-0.003512627
21/03/2011,45.63,-0.002407794
18/03/2011,45.74,0.026136593
17/03/2011,44.56,0.016974494
16/03/2011,43.81,-0.018095947
15/03/2011,44.61,-0.015348983
14/03/2011,45.3,-0.009666156
11/03/2011,45.74,0.004601739
10/03/2011,45.53,-0.022370354
09/03/2011,46.56,0.003442344
08/03/2011,46.4,0.026423636
07/03/2011,45.19,-0.007275966
04/03/2011,45.52,-0.012227227
03/03/2011,46.08,0.019060715
02/03/2011,45.21,-0.008589415
01/03/2011,45.6,-0.023622292
28/02/2011,46.69,0.000214202
25/02/2011,46.68,0.016632849
24/02/2011,45.91,-0.001088495
23/02/2011,45.96,-0.001087311
22/02/2011,46.01,-0.042342247
18/02/2011,48,0.003757049
17/02/2011,47.82,-0.002506267
16/02/2011,47.94,0.023639767
15/02/2011,46.82,0.005998304
14/02/2011,46.54,-0.000644399
11/02/2011,46.57,0.022585108
10/02/2011,45.53,0.009267498
09/02/2011,45.11,-0.013869237
08/02/2011,45.74,0.005260863
07/02/2011,45.5,0.020202707
04/02/2011,44.59,-0.0193232
03/02/2011,45.46,0.000219998
02/02/2011,45.45,-0.010505678
01/02/2011,45.93,0.021790232
31/01/2011,44.94,0.008940605
28/01/2011,44.54,-0.012494585
27/01/2011,45.1,0.0026643
26/01/2011,44.98,0.002448527
25/01/2011,44.87,-0.003337415
24/01/2011,45.02,-0.005979422
21/01/2011,45.29,0.011994813
20/01/2011,44.75,0.023514536
19/01/2011,43.71,-0.023514536
18/01/2011,44.75,-0.003569042
14/01/2011,44.91,0.010295525
13/01/2011,44.45,-0.005832228
12/01/2011,44.71,0.02514004
11/01/2011,43.6,0.004597709
10/01/2011,43.4,-0.00551472
07/01/2011,43.64,-0.019065489
06/01/2011,44.48,-0.004933852
05/01/2011,44.7,0.0121541
04/01/2011,44.16,0.013221072
