Date,Close,FLS
15/08/2011,92.18,0.018282845
12/08/2011,90.51,0.009547142
11/08/2011,89.65,0.059043329
10/08/2011,84.51,-0.040466944
09/08/2011,88,0.065023487
08/08/2011,82.46,-0.071931391
05/08/2011,88.61,-0.020994629
04/08/2011,90.49,-0.066063769
03/08/2011,96.67,0.021751354
02/08/2011,94.59,-0.043545843
01/08/2011,98.8,-0.005853281
29/07/2011,99.38,0.012453965
28/07/2011,98.15,-0.048717387
27/07/2011,103.05,-0.038828743
26/07/2011,107.13,-0.028979536
25/07/2011,110.28,-0.006957964
22/07/2011,111.05,0.000450349
21/07/2011,111,0.04119744
20/07/2011,106.52,0.001127184
19/07/2011,106.4,0.024354324
18/07/2011,103.84,-0.014247026
15/07/2011,105.33,0.036743958
14/07/2011,101.53,-0.018927394
13/07/2011,103.47,0.001063676
12/07/2011,103.36,-0.021061472
11/07/2011,105.56,-0.03225184
08/07/2011,109.02,-0.024822363
07/07/2011,111.76,0.013421811
06/07/2011,110.27,-0.001359373
05/07/2011,110.42,-0.004968618
01/07/2011,110.97,0.009780029
30/06/2011,109.89,0.025436815
29/06/2011,107.13,0.007025461
28/06/2011,106.38,0.013724128
27/06/2011,104.93,0.007173289
24/06/2011,104.18,-0.014579323
23/06/2011,105.71,-0.030831856
22/06/2011,109.02,0.001376842
21/06/2011,108.87,0.037146994
20/06/2011,104.9,-0.007502766
17/06/2011,105.69,0.044499072
16/06/2011,101.09,-0.026454762
15/06/2011,103.8,-0.019557027
14/06/2011,105.85,0.012644557
13/06/2011,104.52,-0.017263067
10/06/2011,106.34,-0.038735938
09/06/2011,110.54,0.003443592
08/06/2011,110.16,-0.011731928
07/06/2011,111.46,-0.008398155
06/06/2011,112.4,-0.007268891
03/06/2011,113.22,-0.021927063
02/06/2011,115.73,0.000864454
01/06/2011,115.63,-0.04729413
31/05/2011,121.23,0.00786721
27/05/2011,120.28,0.022448292
26/05/2011,117.61,0.005285605
25/05/2011,116.99,0.006775617
24/05/2011,116.2,-0.003179107
23/05/2011,116.57,-0.024908099
20/05/2011,119.51,-0.010819014
19/05/2011,120.81,-0.008161292
18/05/2011,121.8,0.028227177
17/05/2011,118.41,-0.01915495
16/05/2011,120.7,0.000248581
13/05/2011,120.67,-0.006854716
12/05/2011,121.5,-0.010561316
11/05/2011,122.79,-0.020315088
10/05/2011,125.31,0.017956117
09/05/2011,123.08,0.00431544
06/05/2011,122.55,0.027464709
05/05/2011,119.23,-0.02157223
04/05/2011,121.83,-0.022642477
03/05/2011,124.62,-0.022847257
02/05/2011,127.5,0.006925889
29/04/2011,126.62,-0.00496318
28/04/2011,127.25,-0.056450894
27/04/2011,134.64,-0.00229979
26/04/2011,134.95,0.014555211
25/04/2011,133,-0.000526177
21/04/2011,133.07,0.010576513
20/04/2011,131.67,0.017467693
19/04/2011,129.39,0.027819841
18/04/2011,125.84,-0.014672504
15/04/2011,127.7,0.000940144
14/04/2011,127.58,-0.000783515
13/04/2011,127.68,0.004395611
12/04/2011,127.12,-0.033571101
11/04/2011,131.46,-0.026498079
08/04/2011,134.99,0.012673496
07/04/2011,133.29,0.009725283
06/04/2011,132,-0.001514005
05/04/2011,132.2,-0.006634524
04/04/2011,133.08,0.007845544
01/04/2011,132.04,0.024844093
31/03/2011,128.8,0.005840001
30/03/2011,128.05,0.010125278
29/03/2011,126.76,0.01118571
28/03/2011,125.35,-0.001275612
25/03/2011,125.51,0.001116072
24/03/2011,125.37,0.000398899
23/03/2011,125.32,0.005360656
22/03/2011,124.65,-0.001763386
21/03/2011,124.87,0.020714391
18/03/2011,122.31,0.011098893
17/03/2011,120.96,0.017597719
16/03/2011,118.85,-0.029268764
15/03/2011,122.38,-0.02238206
14/03/2011,125.15,0.018793149
11/03/2011,122.82,0.019817283
10/03/2011,120.41,-0.032036735
09/03/2011,124.33,-0.011992469
08/03/2011,125.83,-0.001667527
07/03/2011,126.04,-0.018551074
04/03/2011,128.4,-0.010767368
03/03/2011,129.79,0.029635853
02/03/2011,126,0.025317808
01/03/2011,122.85,-0.01710961
28/02/2011,124.97,-0.002637153
25/02/2011,125.3,-0.001036972
24/02/2011,125.43,0.022331534
23/02/2011,122.66,-0.024640912
22/02/2011,125.72,-0.036012484
18/02/2011,130.33,-0.003140923
17/02/2011,130.74,-0.000611714
16/02/2011,130.82,0.011455055
15/02/2011,129.33,-0.018690701
14/02/2011,131.77,-0.001971191
11/02/2011,132.03,0.008824705
10/02/2011,130.87,0.006977753
09/02/2011,129.96,-0.012464317
08/02/2011,131.59,-0.004095258
07/02/2011,132.13,0.012566328
04/02/2011,130.48,0.025773822
03/02/2011,127.16,-0.001885607
02/02/2011,127.4,-0.007351249
01/02/2011,128.34,0.026449258
31/01/2011,124.99,0.016293311
28/01/2011,122.97,0.002931837
27/01/2011,122.61,0.011649024
26/01/2011,121.19,0.03075103
25/01/2011,117.52,-0.003906587
24/01/2011,117.98,0.021937469
21/01/2011,115.42,0.011064276
20/01/2011,114.15,-0.007157852
19/01/2011,114.97,-0.019125325
18/01/2011,117.19,-0.003492486
14/01/2011,117.6,0.009140285
13/01/2011,116.53,-0.030342493
12/01/2011,120.12,0.00928372
11/01/2011,119.01,0.015410974
10/01/2011,117.19,0.009344661
07/01/2011,116.1,0.004056451
06/01/2011,115.63,-0.011778497
05/01/2011,117,-0.008680167
04/01/2011,118.02,-0.019051392
03/01/2011,120.29,0.008934968
31/12/2010,119.22,0.003529119
30/12/2010,118.8,0.004978703
29/12/2010,118.21,0.002880382
28/12/2010,117.87,-0.007353907
27/12/2010,118.74,0.003627931
23/12/2010,118.31,-0.008500661
22/12/2010,119.32,0.015285523
21/12/2010,117.51,0.020461512
20/12/2010,115.13,-0.008562214
17/12/2010,116.12,0.001033948
16/12/2010,116,0.002416711
15/12/2010,115.72,-0.00508556
14/12/2010,116.31,-0.001803892
13/12/2010,116.52,0.003869475
10/12/2010,116.07,0.018521463
09/12/2010,113.94,0.004750603
08/12/2010,113.4,-0.007642678
07/12/2010,114.27,0.005528512
06/12/2010,113.64,0.02062662
03/12/2010,111.32,0.017946643
02/12/2010,109.34,0.012516269
01/12/2010,107.98,0.023614291
30/11/2010,105.46,-0.006333024
29/11/2010,106.13,-0.009378293
26/11/2010,107.13,-0.009013674
24/11/2010,108.1,0.024535363
23/11/2010,105.48,-0.019155515
22/11/2010,107.52,-0.001394117
19/11/2010,107.67,0.010832116
18/11/2010,106.51,0.014183294
17/11/2010,105.01,-0.002187872
16/11/2010,105.24,-0.007195638
15/11/2010,106,0
12/11/2010,106,-0.018877301
11/11/2010,108.02,0.00902038
10/11/2010,107.05,0.014395507
09/11/2010,105.52,-0.001420522
08/11/2010,105.67,0.014200858
05/11/2010,104.18,0.052617791
04/11/2010,98.84,0.018997609
03/11/2010,96.98,-0.023942869
02/11/2010,99.33,0.013174086
01/11/2010,98.03,-0.019896632
29/10/2010,100,-0.005385472
28/10/2010,100.54,-0.130019165
27/10/2010,114.5,-0.006094925
26/10/2010,115.2,-0.009761232
25/10/2010,116.33,0.018654829
22/10/2010,114.18,0.007560476
21/10/2010,113.32,0.007440247
20/10/2010,112.48,0.007675183
19/10/2010,111.62,-0.027306959
18/10/2010,114.71,0.008404146
15/10/2010,113.75,0.000791522
14/10/2010,113.66,-0.006227271
13/10/2010,114.37,0.017641809
12/10/2010,112.37,-0.006828992
11/10/2010,113.14,-0.003088737
08/10/2010,113.49,0.019755047
07/10/2010,111.27,0.004052417
06/10/2010,110.82,-0.002613438
05/10/2010,111.11,0.023033473
04/10/2010,108.58,-0.018161576
01/10/2010,110.57,0.010455116
30/09/2010,109.42,0.001921054
29/09/2010,109.21,0.019042912
28/09/2010,107.15,0.001307434
27/09/2010,107.01,-0.001214102
24/09/2010,107.14,0.037370643
23/09/2010,103.21,-0.03034584
22/09/2010,106.39,0.000752233
21/09/2010,106.31,-0.003005544
20/09/2010,106.63,0.025647302
17/09/2010,103.93,0.005983419
16/09/2010,103.31,-0.000193573
15/09/2010,103.33,-0.0050198
14/09/2010,103.85,-0.010536496
13/09/2010,104.95,0.026063251
10/09/2010,102.25,0.032604021
09/09/2010,98.97,0.010563836
08/09/2010,97.93,0.011502643
07/09/2010,96.81,-0.017204725
03/09/2010,98.49,0.015553368
02/09/2010,96.97,0.029406189
01/09/2010,94.16,0.052098519
31/08/2010,89.38,-0.008688926
30/08/2010,90.16,-0.022265795
27/08/2010,92.19,0.030395468
26/08/2010,89.43,-0.010124134
25/08/2010,90.34,0.003992907
24/08/2010,89.98,-0.037732096
23/08/2010,93.44,-0.019605354
20/08/2010,95.29,-0.011062522
19/08/2010,96.35,-0.027738332
18/08/2010,99.06,-0.011242841
17/08/2010,100.18,0.040435266
16/08/2010,96.21,-0.000103934
13/08/2010,96.22,-0.004458969
12/08/2010,96.65,-0.003305447
11/08/2010,96.97,-0.032167555
10/08/2010,100.14,-0.021829105
09/08/2010,102.35,-0.001464486
06/08/2010,102.5,-0.011832162
05/08/2010,103.72,-0.00125259
04/08/2010,103.85,0.022790235
03/08/2010,101.51,-0.00540356
02/08/2010,102.06,0.028826168
30/07/2010,99.16,0.000100852
29/07/2010,99.15,0.034997671
28/07/2010,95.74,-0.007906824
27/07/2010,96.5,-0.019497796
26/07/2010,98.4,0.026256335
23/07/2010,95.85,0.022366161
22/07/2010,93.73,0.024079336
21/07/2010,91.5,-0.000873935
20/07/2010,91.58,0.021857587
19/07/2010,89.6,0.009419222
16/07/2010,88.76,-0.03193176
15/07/2010,91.64,-0.005983807
14/07/2010,92.19,0.001519757
13/07/2010,92.05,0.022744484
12/07/2010,89.98,-0.029673168
09/07/2010,92.69,0.013358874
08/07/2010,91.46,0.010441376
07/07/2010,90.51,0.042660497
06/07/2010,86.73,0.010431249
02/07/2010,85.83,-0.009739207
01/07/2010,86.67,0.02181226
30/06/2010,84.8,-0.004705891
29/06/2010,85.2,-0.047783622
28/06/2010,89.37,-0.016974946
25/06/2010,90.9,0.003305788
