Date,Close,WY
18/01/2012,20.56,0.01420548
17/01/2012,20.27,0.002469747
13/01/2012,20.22,0.017964555
12/01/2012,19.86,0.007074309
11/01/2012,19.72,0.026202372
10/01/2012,19.21,0.022106163
09/01/2012,18.79,-0.012166244
06/01/2012,19.02,0.012698583
05/01/2012,18.78,-0.005840208
04/01/2012,18.89,-0.011055654
03/01/2012,19.1,0.022770377
30/12/2011,18.67,-0.011185203
29/12/2011,18.88,0.021414095
28/12/2011,18.48,0.006514681
27/12/2011,18.36,0.010402503
23/12/2011,18.17,-0.007129177
22/12/2011,18.3,0.020983652
21/12/2011,17.92,0.034055504
20/12/2011,17.32,0.061310481
19/12/2011,16.29,-0.024857297
16/12/2011,16.7,0.00480193
15/12/2011,16.62,0.012106685
14/12/2011,16.42,-0.002433091
13/12/2011,16.46,-0.015672412
12/12/2011,16.72,-0.030046443
09/12/2011,17.23,0.024678103
08/12/2011,16.81,-0.026417738
07/12/2011,17.26,0.010483497
06/12/2011,17.08,0.001171646
05/12/2011,17.06,0.017144966
02/12/2011,16.77,0.001193318
01/12/2011,16.75,-0.002385213
30/11/2011,16.79,0.053207291
29/11/2011,15.92,0.008832865
28/11/2011,15.78,0.019194447
25/11/2011,15.48,-0.000645786
23/11/2011,15.49,-0.016645711
22/11/2011,15.75,-0.009478744
21/11/2011,15.9,-0.031571796
18/11/2011,16.41,0.012879663
17/11/2011,16.2,-0.015314235
16/11/2011,16.45,-0.009679446
15/11/2011,16.61,0.009071728
14/11/2011,16.46,-0.025788536
11/11/2011,16.89,0.025788536
10/11/2011,16.46,0
09/11/2011,16.46,-0.061267686
08/11/2011,17.5,0.01554883
07/11/2011,17.23,-0.004632319
04/11/2011,17.31,-0.013199618
03/11/2011,17.54,0.016671843
02/11/2011,17.25,0.006980831
01/11/2011,17.13,-0.048428717
31/10/2011,17.98,-0.017641031
28/10/2011,18.3,0.019868203
27/10/2011,17.94,0.04853936
26/10/2011,17.09,0.009997143
25/10/2011,16.92,-0.035987633
24/10/2011,17.54,0.02599049
21/10/2011,17.09,0.039993393
20/10/2011,16.42,-0.009093727
19/10/2011,16.57,-0.016756825
18/10/2011,16.85,0.024633267
17/10/2011,16.44,-0.04461043
14/10/2011,17.19,0.0289191
13/10/2011,16.7,-0.014859114
12/10/2011,16.95,0.009484363
11/10/2011,16.79,-0.010074159
10/10/2011,16.96,0.056395664
07/10/2011,16.03,-0.027078578
06/10/2011,16.47,0.041530604
05/10/2011,15.8,-0.011328
04/10/2011,15.98,0.046758437
03/10/2011,15.25,-0.019481136
30/09/2011,15.55,-0.034137322
29/09/2011,16.09,0.008739132
28/09/2011,15.95,-0.035112939
27/09/2011,16.52,0.023890876
26/09/2011,16.13,0.011222063
23/09/2011,15.95,0.000627156
22/09/2011,15.94,-0.058481949
21/09/2011,16.9,-0.035458524
20/09/2011,17.51,0
19/09/2011,17.51,-0.016426311
16/09/2011,17.8,0.015855372
15/09/2011,17.52,0.011481182
14/09/2011,17.32,0.026917951
13/09/2011,16.86,0.007740438
12/09/2011,16.73,-0.007740438
09/09/2011,16.86,-0.025762549
08/09/2011,17.3,-0.017192401
07/09/2011,17.6,0.038811706
06/09/2011,16.93,-0.010575892
02/09/2011,17.11,-0.033901552
01/09/2011,17.7,-0.018472398
31/08/2011,18.03,0.021301254
30/08/2011,17.65,0.009106494
29/08/2011,17.49,0.028415945
26/08/2011,17,0.045736009
25/08/2011,16.24,-0.018908767
24/08/2011,16.55,0.023228428
23/08/2011,16.17,0.030771659
22/08/2011,15.68,-0.001274697
19/08/2011,15.7,-0.028259337
18/08/2011,16.15,-0.057158414
17/08/2011,17.1,0.001755927
16/08/2011,17.07,-0.008748962
15/08/2011,17.22,0.022908491
12/08/2011,16.83,0.002975307
11/08/2011,16.78,0.035176459
10/08/2011,16.2,-0.054651846
09/08/2011,17.11,0.032069256
08/08/2011,16.57,-0.075529498
05/08/2011,17.87,-0.01223597
04/08/2011,18.09,-0.046972197
03/08/2011,18.96,0.005818583
02/08/2011,18.85,-0.034414241
01/08/2011,19.51,-0.024304994
29/07/2011,19.99,-0.002997005
28/07/2011,20.05,-0.002490661
27/07/2011,20.1,-0.026511126
26/07/2011,20.64,-0.030536724
25/07/2011,21.28,-0.041423317
22/07/2011,22.18,0.006331998
21/07/2011,22.04,0.011407835
20/07/2011,21.79,-0.02089086
19/07/2011,22.25,0.039886103
18/07/2011,21.38,-0.012549549
15/07/2011,21.65,0.004165708
14/07/2011,21.56,-0.020202707
13/07/2011,22,0.005012542
12/07/2011,21.89,0.007796416
11/07/2011,21.72,-0.017344113
08/07/2011,22.1,-0.021043982
07/07/2011,22.57,0.016979854
06/07/2011,22.19,0.00180424
05/07/2011,22.15,-0.006300651
01/07/2011,22.29,0.019479665
30/06/2011,21.86,0.02971435
29/06/2011,21.22,0.015194974
28/06/2011,20.9,0.013002832
27/06/2011,20.63,0.014648699
24/06/2011,20.33,-0.024296628
23/06/2011,20.83,-0.00908011
22/06/2011,21.02,-0.005692615
21/06/2011,21.14,0.03857759
20/06/2011,20.34,0.000491763
17/06/2011,20.33,0.004436783
16/06/2011,20.24,0.011428696
15/06/2011,20.01,-0.029058927
14/06/2011,20.6,0.025068897
13/06/2011,20.09,-0.015312722
10/06/2011,20.4,-0.030890487
09/06/2011,21.04,-0.003795071
08/06/2011,21.12,-0.019226853
07/06/2011,21.53,0.049022425
06/06/2011,20.5,-0.013084752
03/06/2011,20.77,-0.002404425
02/06/2011,20.82,0.004814646
01/06/2011,20.72,-0.038812254
31/05/2011,21.54,0.031598951
27/05/2011,20.87,-0.055906499
26/05/2011,22.07,0.01230925
25/05/2011,21.8,0.012462658
24/05/2011,21.53,0.008395572
23/05/2011,21.35,-0.019021682
20/05/2011,21.76,-0.003211749
19/05/2011,21.83,-0.017257467
18/05/2011,22.21,0.032489703
17/05/2011,21.5,-0.028881219
16/05/2011,22.13,0.009991
13/05/2011,21.91,-0.005007978
12/05/2011,22.02,-0.00045403
11/05/2011,22.03,-0.024659398
10/05/2011,22.58,0.011133493
09/05/2011,22.33,0.010806048
06/05/2011,22.09,-0.000452591
05/05/2011,22.1,-0.000904568
04/05/2011,22.12,-0.017033133
03/05/2011,22.5,-0.004434597
02/05/2011,22.6,-0.017978998
29/04/2011,23.01,-0.041708173
28/04/2011,23.99,0.012584059
27/04/2011,23.69,0.02176318
26/04/2011,23.18,0.025782507
25/04/2011,22.59,-0.001769129
21/04/2011,22.63,0.000441989
20/04/2011,22.62,0.016942001
19/04/2011,22.24,0.01175952
18/04/2011,21.98,-0.03179135
15/04/2011,22.69,0.008853533
14/04/2011,22.49,0.002671417
13/04/2011,22.43,-0.005779078
12/04/2011,22.56,-0.023654191
11/04/2011,23.1,-0.021837734
08/04/2011,23.61,-0.020541489
07/04/2011,24.1,-0.000829531
06/04/2011,24.12,-0.021329767
05/04/2011,24.64,-0.012903405
04/04/2011,24.96,-0.00718566
01/04/2011,25.14,0.02171376
31/03/2011,24.6,-0.000812678
30/03/2011,24.62,-0.000406091
29/03/2011,24.63,0.008562743
28/03/2011,24.42,0.008223731
25/03/2011,24.22,-0.004531419
24/03/2011,24.33,-0.006962961
23/03/2011,24.5,0.000408247
22/03/2011,24.49,-0.023008079
21/03/2011,25.06,0.027099737
18/03/2011,24.39,0.002874155
17/03/2011,24.32,0.014078907
16/03/2011,23.98,-0.029583094
15/03/2011,24.7,-0.003637102
14/03/2011,24.79,0.016677222
11/03/2011,24.38,0.060445188
10/03/2011,22.95,-0.027928776
09/03/2011,23.6,0.009365756
08/03/2011,23.38,0.001712329
07/03/2011,23.34,-0.00980609
04/03/2011,23.57,-0.022651975
03/03/2011,24.11,0.02392559
02/03/2011,23.54,0.007675944
01/03/2011,23.36,-0.043967726
28/02/2011,24.41,0.008640251
25/02/2011,24.2,0.010384309
24/02/2011,23.95,0.015993607
23/02/2011,23.57,-0.019744393
22/02/2011,24.04,-0.045536322
18/02/2011,25.16,0
17/02/2011,25.16,0.002786071
16/02/2011,25.09,0.003193615
15/02/2011,25.01,0.007223145
14/02/2011,24.83,-0.014791395
11/02/2011,25.2,0.018826913
10/02/2011,24.73,0.016718024
09/02/2011,24.32,0.000411269
08/02/2011,24.31,0.029217437
07/02/2011,23.61,-0.028805999
