Date,Close,TJX
18/01/2012,66.85,0.013099638
17/01/2012,65.98,0.012659362
13/01/2012,65.15,-0.00245286
12/01/2012,65.31,-0.003515479
11/01/2012,65.54,-0.000305111
10/01/2012,65.56,-0.002133172
09/01/2012,65.7,-0.011501337
06/01/2012,66.46,0.002259548
05/01/2012,66.31,0.028761352
04/01/2012,64.43,0.011237827
03/01/2012,63.71,-0.013098581
30/12/2011,64.55,-0.012776284
29/12/2011,65.38,0.008293704
28/12/2011,64.84,-0.008293704
27/12/2011,65.38,0.001071237
23/12/2011,65.31,0.016519094
22/12/2011,64.24,0.011586164
21/12/2011,63.5,0.00616067
20/12/2011,63.11,0.02551691
19/12/2011,61.52,-0.010027579
16/12/2011,62.14,-0.002410995
15/12/2011,62.29,0.001928331
14/12/2011,62.17,-0.005613937
13/12/2011,62.52,-0.005900663
12/12/2011,62.89,-0.005707959
09/12/2011,63.25,0.014171083
08/12/2011,62.36,-0.011004018
07/12/2011,63.05,-0.007426755
06/12/2011,63.52,0.001575548
05/12/2011,63.42,0.018781389
02/12/2011,62.24,-0.005128216
01/12/2011,62.56,0.013842165
30/11/2011,61.7,0.017989038
29/11/2011,60.6,0.011785347
28/11/2011,59.89,0.019218393
25/11/2011,58.75,-0.000850702
23/11/2011,58.8,-0.006272802
22/11/2011,59.17,0.001014542
21/11/2011,59.11,-0.007248241
18/11/2011,59.54,0.006064709
17/11/2011,59.18,-0.020571007
16/11/2011,60.41,-0.007585788
15/11/2011,60.87,0.004940722
14/11/2011,60.57,-0.012632438
11/11/2011,61.34,0.022254277
10/11/2011,59.99,0.019186048
09/11/2011,58.85,-0.035062022
08/11/2011,60.95,0.00608905
07/11/2011,60.58,-0.000165057
04/11/2011,60.59,-0.008382003
03/11/2011,61.1,0.016834859
02/11/2011,60.08,0.011887959
01/11/2011,59.37,0.007438749
31/10/2011,58.93,-0.024141994
28/10/2011,60.37,-0.007261956
27/10/2011,60.81,0.038043968
26/10/2011,58.54,-0.009689834
25/10/2011,59.11,-0.014110767
24/10/2011,59.95,0.001836548
21/10/2011,59.84,0.021280992
20/10/2011,58.58,0.013058605
19/10/2011,57.82,0.005723717
18/10/2011,57.49,0.005931629
17/10/2011,57.15,-0.009751078
14/10/2011,57.71,0.003645521
13/10/2011,57.5,-0.003472226
12/10/2011,57.7,-0.006392006
11/10/2011,58.07,0.004660404
10/10/2011,57.8,0.037008629
07/10/2011,55.7,0.001796946
06/10/2011,55.6,-0.014108637
05/10/2011,56.39,0.016810124
04/10/2011,55.45,0.026497667
03/10/2011,54,-0.026858288
30/09/2011,55.47,-0.003958264
