Date,Close,PBI
18/11/2010,22.5,0.00177936
17/11/2010,22.46,-0.026363566
16/11/2010,23.06,-0.011640571
15/11/2010,23.33,0.009474662
12/11/2010,23.11,-0.011187724
11/11/2010,23.37,-0.003417346
10/11/2010,23.45,0.004273511
09/11/2010,23.35,-0.008104118
08/11/2010,23.54,0.006820146
05/11/2010,23.38,0.01464912
04/11/2010,23.04,0.007843177
03/11/2010,22.86,0.032454504
02/11/2010,22.13,0.00316814
01/11/2010,22.06,0.005454559
29/10/2010,21.94,0.01561814
28/10/2010,21.6,0.006502577
27/10/2010,21.46,-0.025306158
26/10/2010,22.01,-0.007694086
25/10/2010,22.18,0.003160987
22/10/2010,22.11,0.002263981
21/10/2010,22.06,0.001814883
20/10/2010,22.02,0.021575315
19/10/2010,21.55,-0.000463929
18/10/2010,21.56,-0.013818737
15/10/2010,21.86,0.004125608
14/10/2010,21.77,-0.024053803
13/10/2010,22.3,0.010367458
12/10/2010,22.07,0.003176767
11/10/2010,22,0.001364567
08/10/2010,21.97,0.004562052
07/10/2010,21.87,-0.004106782
06/10/2010,21.96,0.008230499
05/10/2010,21.78,0.021346518
04/10/2010,21.32,-0.003745323
01/10/2010,21.4,0.000935016
30/09/2010,21.38,-0.003734832
29/09/2010,21.46,0.007483664
28/09/2010,21.3,0.007067167
27/09/2010,21.15,0.004264399
24/09/2010,21.06,0.00619197
23/09/2010,20.93,-0.002862597
22/09/2010,20.99,-0.005700728
21/09/2010,21.11,-0.011304878
20/09/2010,21.35,0.017482137
17/09/2010,20.98,0.00765554
16/09/2010,20.82,0
15/09/2010,20.82,0.016465263
14/09/2010,20.48,0.002444391
13/09/2010,20.43,0.016284594
10/09/2010,20.1,0.010000083
09/09/2010,19.9,0.008072698
08/09/2010,19.74,0.001520913
07/09/2010,19.71,-0.011100013
03/09/2010,19.93,0.006039274
02/09/2010,19.81,0.003539827
01/09/2010,19.74,0.025655589
31/08/2010,19.24,-0.003631651
30/08/2010,19.31,-0.015416544
27/08/2010,19.61,0.013347221
26/08/2010,19.35,-0.010794245
25/08/2010,19.56,0.004611845
24/08/2010,19.47,-0.010728072
23/08/2010,19.68,-0.004056801
20/08/2010,19.76,-0.002022245
19/08/2010,19.8,-0.013045845
18/08/2010,20.06,0.004496635
17/08/2010,19.97,0.027412884
16/08/2010,19.43,-0.006157023
13/08/2010,19.55,-0.003574168
12/08/2010,19.62,-0.01567668
11/08/2010,19.93,-0.043687929
10/08/2010,20.82,-0.001919386
09/08/2010,20.86,0.007216774
06/08/2010,20.71,0.004355197
05/08/2010,20.62,-0.018260959
04/08/2010,21,-0.172752106
03/08/2010,24.96,0.01087624
02/08/2010,24.69,0.011405419
30/07/2010,24.41,-0.00571897
29/07/2010,24.55,0.001630657
28/07/2010,24.51,-0.005289941
27/07/2010,24.64,-0.003241494
26/07/2010,24.72,0.019196015
23/07/2010,24.25,0.009113568
22/07/2010,24.03,0.026567027
21/07/2010,23.4,-0.00128123
20/07/2010,23.43,0.0115906
19/07/2010,23.16,0.009980556
16/07/2010,22.93,-0.026255005
15/07/2010,23.54,-0.003392709
14/07/2010,23.62,0.008076558
13/07/2010,23.43,0.016351483
12/07/2010,23.05,-0.000433745
09/07/2010,23.06,0.005217403
08/07/2010,22.94,0.022037031
07/07/2010,22.44,0.016172859
06/07/2010,22.08,0.004994335
02/07/2010,21.97,-0.010864752
01/07/2010,22.21,0.011320021
30/06/2010,21.96,-0.004543397
29/06/2010,22.06,-0.017079067
28/06/2010,22.44,-0.008431379
25/06/2010,22.63,0.018283675
24/06/2010,22.22,-0.006727991
23/06/2010,22.37,-0.015524818
22/06/2010,22.72,-0.011378679
21/06/2010,22.98,-0.010820274
18/06/2010,23.23,0.005179122
17/06/2010,23.11,-0.000865052
16/06/2010,23.13,-0.007322884
15/06/2010,23.3,0.022570403
14/06/2010,22.78,0.006164705
11/06/2010,22.64,0.000883783
10/06/2010,22.62,0.033261493
09/06/2010,21.88,0.00595922
08/06/2010,21.75,0.01342302
07/06/2010,21.46,-0.023942212
04/06/2010,21.98,-0.032231976
03/06/2010,22.7,0.019124443
02/06/2010,22.27,0.019955311
01/06/2010,21.83,-0.036433083
28/05/2010,22.64,0.001768347
27/05/2010,22.6,0.044793736
26/05/2010,21.61,-0.025583853
25/05/2010,22.17,-0.005846655
24/05/2010,22.3,-0.009372976
21/05/2010,22.51,0.019287434
20/05/2010,22.08,-0.029453267
19/05/2010,22.74,-0.017437233
18/05/2010,23.14,-0.013307773
17/05/2010,23.45,0.004701868
14/05/2010,23.34,-0.024128155
13/05/2010,23.91,-0.026822322
12/05/2010,24.56,-0.002846109
