Date,Close,DHI
13/04/2011,11.48,-0.01555779
12/04/2011,11.66,-0.004278997
11/04/2011,11.71,0.008576382
08/04/2011,11.61,-0.000860956
07/04/2011,11.62,0.01125066
06/04/2011,11.49,0.020220469
05/04/2011,11.26,-0.017606089
04/04/2011,11.46,-0.024139103
01/04/2011,11.74,0.007695634
31/03/2011,11.65,-0.006843483
30/03/2011,11.73,-0.018581616
29/03/2011,11.95,-0.016597891
28/03/2011,12.15,0.00909473
25/03/2011,12.04,0.020982725
24/03/2011,11.79,0
23/03/2011,11.79,-0.005076153
22/03/2011,11.85,-0.02170369
21/03/2011,12.11,0.017493157
18/03/2011,11.9,0.001682086
17/03/2011,11.88,0.015267472
16/03/2011,11.7,-0.022814678
15/03/2011,11.97,0.02709734
14/03/2011,11.65,-0.015332498
11/03/2011,11.83,-0.003375531
10/03/2011,11.87,-0.011725427
09/03/2011,12.01,0.010041925
08/03/2011,11.89,0.048243636
07/03/2011,11.33,-0.011408636
04/03/2011,11.46,-0.023286951
03/03/2011,11.73,0.015464226
02/03/2011,11.55,0.010443959
01/03/2011,11.43,-0.035242152
28/02/2011,11.84,-0.006734032
25/02/2011,11.92,0.01266374
24/02/2011,11.77,-0.009302393
23/02/2011,11.88,-0.015866721
22/02/2011,12.07,-0.058722136
18/02/2011,12.8,0.008630889
17/02/2011,12.69,0.019093659
16/02/2011,12.45,0.010496665
15/02/2011,12.32,-0.011299555
14/02/2011,12.46,-0.004004811
11/02/2011,12.51,0.012062872
10/02/2011,12.36,-0.008058061
09/02/2011,12.46,0.006441246
08/02/2011,12.38,0.021225287
07/02/2011,12.12,0.032707318
04/02/2011,11.73,-0.014388737
03/02/2011,11.9,-0.02735355
