Date,Close,CF
30/09/2011,123.39,-0.132984197
29/09/2011,140.94,-0.028261534
28/09/2011,144.98,-0.066506682
27/09/2011,154.95,0.018630033
26/09/2011,152.09,0.042991374
23/09/2011,145.69,-0.008202931
22/09/2011,146.89,-0.04036168
21/09/2011,152.94,-0.067806518
20/09/2011,163.67,-0.067390807
19/09/2011,175.08,-0.000399737
16/09/2011,175.15,-0.001312299
15/09/2011,175.38,-0.024445036
14/09/2011,179.72,0.014121046
13/09/2011,177.2,0.000903342
12/09/2011,177.04,-0.01708103
09/09/2011,180.09,-0.027439494
08/09/2011,185.1,0.010099451
07/09/2011,183.24,-0.013281848
06/09/2011,185.69,0.020676508
02/09/2011,181.89,-0.003348064
01/09/2011,182.5,-0.001368926
31/08/2011,182.75,-0.037746408
30/08/2011,189.78,0.006237136
29/08/2011,188.6,0.044728963
26/08/2011,180.35,0.029142476
25/08/2011,175.17,-0.001312149
24/08/2011,175.4,-0.020037357
23/08/2011,178.95,0.047960668
22/08/2011,170.57,0.034352474
19/08/2011,164.81,0.003708098
18/08/2011,164.2,-0.045885887
17/08/2011,171.91,0.024138697
16/08/2011,167.81,-0.010846158
15/08/2011,169.64,0.008524797
12/08/2011,168.2,0.024129454
11/08/2011,164.19,0.093126075
10/08/2011,149.59,-0.002937056
09/08/2011,150.03,0.081771634
08/08/2011,138.25,-0.059053342
05/08/2011,146.66,0.035181425
04/08/2011,141.59,-0.090618584
03/08/2011,155.02,0.013704628
02/08/2011,152.91,-0.027987383
01/08/2011,157.25,0.012349391
29/07/2011,155.32,-0.022346943
28/07/2011,158.83,0.018812121
27/07/2011,155.87,-0.022958898
26/07/2011,159.49,-0.00500345
25/07/2011,160.29,0.000249579
22/07/2011,160.25,-0.005848698
21/07/2011,161.19,0.023793457
20/07/2011,157.4,0.004776319
19/07/2011,156.65,0.033032431
18/07/2011,151.56,-0.017398568
15/07/2011,154.22,0.029145841
14/07/2011,149.79,-0.002134045
13/07/2011,150.11,0.017540183
12/07/2011,147.5,0.018060417
11/07/2011,144.86,-0.028245659
08/07/2011,149.01,0.022532341
07/07/2011,145.69,0.018986158
06/07/2011,142.95,-0.001258389
05/07/2011,143.13,0.025545348
01/07/2011,139.52,-0.015292449
30/06/2011,141.67,-0.052792135
29/06/2011,149.35,0.01606406
28/06/2011,146.97,0.020554083
27/06/2011,143.98,0.023399866
24/06/2011,140.65,-0.016360283
23/06/2011,142.97,0.00153997
22/06/2011,142.75,-0.027840019
21/06/2011,146.78,0.057559254
20/06/2011,138.57,0.018279648
17/06/2011,136.06,-0.045473807
16/06/2011,142.39,-0.038642502
15/06/2011,148,-0.042334364
14/06/2011,154.4,0.027978445
13/06/2011,150.14,-0.015989769
10/06/2011,152.56,-0.014963522
09/06/2011,154.86,0.04112877
08/06/2011,148.62,0.010484049
07/06/2011,147.07,-0.006979057
06/06/2011,148.1,-0.022103668
03/06/2011,151.41,0.00809023
02/06/2011,150.19,0.014013438
01/06/2011,148.1,-0.037635288
31/05/2011,153.78,-0.009127163
27/05/2011,155.19,0.032749013
26/05/2011,150.19,-0.00531245
25/05/2011,150.99,0.029846942
24/05/2011,146.55,-0.008154989
23/05/2011,147.75,0.060616162
20/05/2011,139.06,-0.0168994
19/05/2011,141.43,0.00880625
18/05/2011,140.19,0.043294912
17/05/2011,134.25,-0.005274705
16/05/2011,134.96,0.010277889
13/05/2011,133.58,-0.010870482
12/05/2011,135.04,-0.016597282
11/05/2011,137.3,-0.029919368
10/05/2011,141.47,-0.009357369
09/05/2011,142.8,0.035496564
06/05/2011,137.82,0.064199973
05/05/2011,129.25,-0.008167714
04/05/2011,130.31,-0.020132104
03/05/2011,132.96,-0.047370901
02/05/2011,139.41,-0.01523378
29/04/2011,141.55,0.01882677
28/04/2011,138.91,-0.002875424
27/04/2011,139.31,-0.007366384
26/04/2011,140.34,0.010025865
25/04/2011,138.94,0.000719994
21/04/2011,138.84,0.041320294
20/04/2011,133.22,-0.012457734
19/04/2011,134.89,0.0144113
18/04/2011,132.96,0.022667739
15/04/2011,129.98,-0.028143095
14/04/2011,133.69,-0.002987529
13/04/2011,134.09,0.002015603
12/04/2011,133.82,-0.011959288
11/04/2011,135.43,-0.022704191
08/04/2011,138.54,-0.008696019
07/04/2011,139.75,-0.004284191
06/04/2011,140.35,-0.022753068
05/04/2011,143.58,0.009517217
04/04/2011,142.22,0.020817064
01/04/2011,139.29,0.018111188
31/03/2011,136.79,0.031034413
30/03/2011,132.61,0.021725899
29/03/2011,129.76,0.015063566
28/03/2011,127.82,-0.032936187
25/03/2011,132.1,0.048706897
24/03/2011,125.82,0.002546556
23/03/2011,125.5,0.023705053
22/03/2011,122.56,-0.036688136
21/03/2011,127.14,-0.002042902
18/03/2011,127.4,-0.016580771
17/03/2011,129.53,0.020591945
16/03/2011,126.89,0.016768383
15/03/2011,124.78,-0.009491597
14/03/2011,125.97,-0.000396841
11/03/2011,126.02,0.016320362
10/03/2011,123.98,-0.020359172
09/03/2011,126.53,-0.018867746
08/03/2011,128.94,0.00031027
07/03/2011,128.9,-0.041113651
04/03/2011,134.31,-0.042491362
03/03/2011,140.14,0.036774727
02/03/2011,135.08,-0.013894728
01/03/2011,136.97,-0.030981813
28/02/2011,141.28,0.008815641
25/02/2011,140.04,0.043939054
24/02/2011,134.02,-0.00312896
23/02/2011,134.44,0.01831608
22/02/2011,132,-0.04350929
18/02/2011,137.87,-0.069616453
17/02/2011,147.81,0.02029798
16/02/2011,144.84,0.006511071
15/02/2011,143.9,-0.05331349
14/02/2011,151.78,0.009532708
11/02/2011,150.34,-0.000199528
10/02/2011,150.37,-0.010913168
09/02/2011,152.02,0.037191462
08/02/2011,146.47,0.001639905
07/02/2011,146.23,0.024716548
04/02/2011,142.66,0.003089022
03/02/2011,142.22,-0.01928962
02/02/2011,144.99,0.046516731
01/02/2011,138.4,0.024577012
31/01/2011,135.04,0.007880496
28/01/2011,133.98,0.001643386
27/01/2011,133.76,-0.005963047
26/01/2011,134.56,0.028876069
25/01/2011,130.73,-0.01171116
24/01/2011,132.27,-0.007756939
21/01/2011,133.3,-0.018801877
20/01/2011,135.83,-0.031451868
19/01/2011,140.17,-0.064105917
18/01/2011,149.45,0.02150766
14/01/2011,146.27,0.026322778
13/01/2011,142.47,0.004643318
