Date,Close,HIG
20/04/2011,27.18,0.02722525
19/04/2011,26.45,-0.011278315
18/04/2011,26.75,-0.001867414
15/04/2011,26.8,0.015416737
14/04/2011,26.39,-0.004914015
13/04/2011,26.52,-0.007887365
12/04/2011,26.73,-0.021100172
11/04/2011,27.3,0.004773279
08/04/2011,27.17,-0.008794487
07/04/2011,27.41,-0.020224597
06/04/2011,27.97,0.025712081
05/04/2011,27.26,-0.011307799
04/04/2011,27.57,-0.006507615
01/04/2011,27.75,0.029994933
31/03/2011,26.93,0.004465955
30/03/2011,26.81,0.002240479
29/03/2011,26.75,0.00637542
28/03/2011,26.58,-0.005253295
25/03/2011,26.72,0.003749536
24/03/2011,26.62,0.010574117
23/03/2011,26.34,-0.003411032
22/03/2011,26.43,-0.002267575
21/03/2011,26.49,0.038481085
18/03/2011,25.49,0.011839128
17/03/2011,25.19,0.017621601
16/03/2011,24.75,-0.033766862
15/03/2011,25.6,-0.046555526
14/03/2011,26.82,-0.028667895
11/03/2011,27.6,0.006178468
10/03/2011,27.43,-0.028747937
09/03/2011,28.23,-0.008465659
08/03/2011,28.47,0.023455233
07/03/2011,27.81,-0.028360639
04/03/2011,28.61,-0.01215926
03/03/2011,28.96,0.036214188
02/03/2011,27.93,-0.034486176
01/03/2011,28.91,-0.023586805
28/02/2011,29.6,0.006099646
25/02/2011,29.42,0.024429221
24/02/2011,28.71,-0.017607912
23/02/2011,29.22,-0.008858661
22/02/2011,29.48,-0.043802623
18/02/2011,30.8,0.000324728
17/02/2011,30.79,0.019348038
16/02/2011,30.2,0.030595764
15/02/2011,29.29,0.002392755
14/02/2011,29.22,-0.017975726
11/02/2011,29.75,0.016949558
10/02/2011,29.25,-0.00647472
