Date,Close,CME
16/03/2011,280.29,-0.019817318
15/03/2011,285.9,-0.018848871
14/03/2011,291.34,-0.014414725
11/03/2011,295.57,-0.001251036
10/03/2011,295.94,-0.013158968
09/03/2011,299.86,-0.01209886
08/03/2011,303.51,-0.001185419
07/03/2011,303.87,-0.003055845
04/03/2011,304.8,-0.010898401
03/03/2011,308.14,0.013394953
02/03/2011,304.04,-0.008058484
01/03/2011,306.5,-0.015475073
28/02/2011,311.28,-0.007266008
25/02/2011,313.55,0.029090725
24/02/2011,304.56,0.010429826
23/02/2011,301.4,0.00438918
22/02/2011,300.08,-0.009155507
18/02/2011,302.84,0.000792812
17/02/2011,302.6,0.029921062
16/02/2011,293.68,0.008034094
15/02/2011,291.33,-0.03785601
14/02/2011,302.57,-0.02025162
11/02/2011,308.76,0.003373997
10/02/2011,307.72,0.017075944
09/02/2011,302.51,0.004871188
08/02/2011,301.04,-0.008731369
07/02/2011,303.68,-0.001645116
04/02/2011,304.18,0.010974591
03/02/2011,300.86,-0.046371944
02/02/2011,315.14,-0.002503686
01/02/2011,315.93,0.023604356
31/01/2011,308.56,0.011965258
28/01/2011,304.89,-0.01623407
27/01/2011,309.88,0.013973516
26/01/2011,305.58,-0.004310352
25/01/2011,306.9,-0.008597668
24/01/2011,309.55,-0.001033225
21/01/2011,309.87,0.002132197
20/01/2011,309.21,0.009586243
19/01/2011,306.26,-0.024958572
18/01/2011,314,-0.009382597
14/01/2011,316.96,0.010657294
13/01/2011,313.6,-0.004232103
12/01/2011,314.93,0.013072082
11/01/2011,310.84,-0.012881545
10/01/2011,314.87,0.023164578
07/01/2011,307.66,-0.019250554
06/01/2011,313.64,0.007296032
05/01/2011,311.36,-0.017920429
04/01/2011,316.99,0.001736577
03/01/2011,316.44,-0.016641196
31/12/2010,321.75,-0.000963017
30/12/2010,322.06,-0.007979012
29/12/2010,324.64,0.001294578
28/12/2010,324.22,-0.006119048
27/12/2010,326.21,0.005995683
23/12/2010,324.26,-0.008414508
22/12/2010,327,0.002817421
21/12/2010,326.08,0.013740933
20/12/2010,321.63,0.007395999
17/12/2010,319.26,-0.008887284
16/12/2010,322.11,0.011584648
15/12/2010,318.4,-0.015117564
14/12/2010,323.25,0.001640943
13/12/2010,322.72,0.003321076
10/12/2010,321.65,-0.000404084
09/12/2010,321.78,0.001741836
08/12/2010,321.22,0.022796957
07/12/2010,313.98,0.003669378
06/12/2010,312.83,0.005802693
03/12/2010,311.02,-0.00474725
02/12/2010,312.5,0.04068867
01/12/2010,300.04,0.040747007
30/11/2010,288.06,0.007526692
29/11/2010,285.9,-0.013652445
26/11/2010,289.83,0.001519285
24/11/2010,289.39,0.028566862
23/11/2010,281.24,-0.023092143
22/11/2010,287.81,-0.026266769
19/11/2010,295.47,0.002439769
18/11/2010,294.75,0.012117223
17/11/2010,291.2,0.015748357
16/11/2010,286.65,-0.010066034
15/11/2010,289.55,0.001140349
12/11/2010,289.22,-0.013565001
11/11/2010,293.17,-0.005171311
10/11/2010,294.69,0.005103093
09/11/2010,293.19,-0.008930298
08/11/2010,295.82,0.002674115
05/11/2010,295.03,-0.007059052
04/11/2010,297.12,0.025669968
03/11/2010,289.59,0.002212467
02/11/2010,288.95,0.006771447
01/11/2010,287,-0.009191082
29/10/2010,289.65,0.000863483
28/10/2010,289.4,0.02430827
27/10/2010,282.45,0.006820873
26/10/2010,280.53,-0.008695553
25/10/2010,282.98,-0.002505869
22/10/2010,283.69,0.00508889
21/10/2010,282.25,0.005221758
20/10/2010,280.78,3.56157E-05
19/10/2010,280.77,-0.0003561
18/10/2010,280.87,0.04873498
15/10/2010,267.51,0.009691309
14/10/2010,264.93,0.004388129
13/10/2010,263.77,-0.001515324
12/10/2010,264.17,0.01756642
11/10/2010,259.57,-0.010767419
08/10/2010,262.38,-0.005662723
07/10/2010,263.87,-0.012690573
06/10/2010,267.24,-0.001458299
05/10/2010,267.63,0.029308488
04/10/2010,259.9,-0.00042315
01/10/2010,260.01,-0.001690812
30/09/2010,260.45,0.003461542
29/09/2010,259.55,-0.018967501
28/09/2010,264.52,-0.006180769
27/09/2010,266.16,-0.012953017
24/09/2010,269.63,0.032453616
23/09/2010,261.02,-0.020176655
22/09/2010,266.34,-0.009714618
21/09/2010,268.94,-0.011019599
20/09/2010,271.92,0.030051348
17/09/2010,263.87,-0.015754278
16/09/2010,268.06,-0.01271447
15/09/2010,271.49,0.008025043
14/09/2010,269.32,-0.006329252
13/09/2010,271.03,0.02287712
10/09/2010,264.9,0.009672906
09/09/2010,262.35,0.006309169
08/09/2010,260.7,0.008706762
07/09/2010,258.44,-0.025481276
03/09/2010,265.11,0.010084246
02/09/2010,262.45,0.023789991
01/09/2010,256.28,0.032196897
31/08/2010,248.16,-0.003379197
30/08/2010,249,-0.030611003
27/08/2010,256.74,0.022929736
26/08/2010,250.92,0.020249882
25/08/2010,245.89,0.029383536
24/08/2010,238.77,0.003860523
23/08/2010,237.85,0.000672919
20/08/2010,237.69,-0.012833283
19/08/2010,240.76,-0.020798974
18/08/2010,245.82,-0.008143466
17/08/2010,247.83,0.005421603
16/08/2010,246.49,0.006798178
13/08/2010,244.82,-0.01849469
12/08/2010,249.39,-0.010887228
11/08/2010,252.12,-0.045702971
10/08/2010,263.91,-0.03008363
09/08/2010,271.97,0.001876967
06/08/2010,271.46,-0.012410695
05/08/2010,274.85,-0.011970993
04/08/2010,278.16,-0.005056221
03/08/2010,279.57,-0.023193545
02/08/2010,286.13,0.025951574
30/07/2010,278.8,-0.02490255
29/07/2010,285.83,0.008149833
28/07/2010,283.51,-0.001233763
27/07/2010,283.86,0.000669568
26/07/2010,283.67,-0.010136348
23/07/2010,286.56,0.017034268
22/07/2010,281.72,0.030892575
21/07/2010,273.15,-0.007622349
20/07/2010,275.24,0.028636034
19/07/2010,267.47,0.004646814
16/07/2010,266.23,-0.037307581
15/07/2010,276.35,0.003116848
14/07/2010,275.49,-0.010148338
13/07/2010,278.3,0.004609963
12/07/2010,277.02,-0.000613486
09/07/2010,277.19,-0.015890961
08/07/2010,281.63,0.012505522
07/07/2010,278.13,0.013064512
06/07/2010,274.52,-0.001237759
02/07/2010,274.86,-0.013156182
01/07/2010,278.5,-0.010891992
30/06/2010,281.55,-0.02233788
29/06/2010,287.91,-0.03041058
28/06/2010,296.8,-0.001615944
25/06/2010,297.28,0.024138575
24/06/2010,290.19,-0.035144791
23/06/2010,300.57,-0.011577266
22/06/2010,304.07,-0.010566531
21/06/2010,307.3,0.000520799
18/06/2010,307.14,-0.007719041
17/06/2010,309.52,-0.003644166
16/06/2010,310.65,0.002901356
15/06/2010,309.75,0.008233968
14/06/2010,307.21,0.015615578
11/06/2010,302.45,-0.003762132
10/06/2010,303.59,0.040741022
09/06/2010,291.47,-0.022525461
08/06/2010,298.11,-0.004852185
07/06/2010,299.56,-0.036319954
04/06/2010,310.64,-0.040533516
03/06/2010,323.49,0.001763587
02/06/2010,322.92,0.035588028
01/06/2010,311.63,-0.015980476
28/05/2010,316.65,-0.007205934
27/05/2010,318.94,0.029528076
26/05/2010,309.66,-0.008489343
25/05/2010,312.3,-0.033719018
24/05/2010,323.01,0.014029411
21/05/2010,318.51,0.049921066
20/05/2010,303,-0.025062825
19/05/2010,310.69,0.00791693
18/05/2010,308.24,-0.025021729
17/05/2010,316.05,0.002027049
14/05/2010,315.41,-0.026407066
13/05/2010,323.85,-0.016536895
12/05/2010,329.25,0.000151872
11/05/2010,329.2,-0.011477021
10/05/2010,333,0.054966858
07/05/2010,315.19,-0.019479707
06/05/2010,321.39,-0.010153943
05/05/2010,324.67,0.007792006
04/05/2010,322.15,-0.020888488
03/05/2010,328.95,-0.000972319
30/04/2010,329.27,-0.006749727
29/04/2010,331.5,0.003596202
