Date,Close,PM
23/06/2011,66.17,-0.007227859
22/06/2011,66.65,-0.020787682
21/06/2011,68.05,-0.015022524
20/06/2011,69.08,0.008723521
17/06/2011,68.48,0.014117882
16/06/2011,67.52,0.000148115
15/06/2011,67.51,-0.020670677
14/06/2011,68.92,0.020374468
13/06/2011,67.53,0.002669041
10/06/2011,67.35,-0.011367953
09/06/2011,68.12,0.001175088
08/06/2011,68.04,0.003386091
07/06/2011,67.81,-0.007492873
06/06/2011,68.32,-0.009759017
03/06/2011,68.99,-0.013247134
02/06/2011,69.91,-0.016456606
01/06/2011,71.07,-0.009522548
31/05/2011,71.75,0.017291497
27/05/2011,70.52,0.003124559
26/05/2011,70.3,0.011588941
25/05/2011,69.49,-0.005310382
24/05/2011,69.86,0.010938509
23/05/2011,69.1,-0.01565112
20/05/2011,70.19,-0.006956797
19/05/2011,70.68,0.020006383
18/05/2011,69.28,0.010009513
17/05/2011,68.59,0.002189302
16/05/2011,68.44,0.00190128
13/05/2011,68.31,0.001464987
12/05/2011,68.21,0.000586596
11/05/2011,68.17,-0.001612313
10/05/2011,68.28,-0.000146445
09/05/2011,68.29,-0.004529192
06/05/2011,68.6,0.00306592
05/05/2011,68.39,-0.013939532
04/05/2011,69.35,-0.002879772
03/05/2011,69.55,0.003456722
02/05/2011,69.31,-0.001873874
29/04/2011,69.44,0.005921878
28/04/2011,69.03,0.022117342
27/04/2011,67.52,-0.001036193
26/04/2011,67.59,-0.00014794
25/04/2011,67.6,-0.000147918
21/04/2011,67.61,0.016854751
20/04/2011,66.48,0.005278649
19/04/2011,66.13,0.005610751
18/04/2011,65.76,-0.012092046
15/04/2011,66.56,0.005574402
14/04/2011,66.19,0.001209373
13/04/2011,66.11,0.001059402
12/04/2011,66.04,-0.011891462
11/04/2011,66.83,0.01507642
08/04/2011,65.83,0.002281196
07/04/2011,65.68,-0.001977337
06/04/2011,65.81,0.003958592
05/04/2011,65.55,0.009657468
04/04/2011,64.92,-0.000154024
01/04/2011,64.93,-0.010723142
31/03/2011,65.63,-0.001066017
30/03/2011,65.7,0.006719634
29/03/2011,65.26,0.001380051
28/03/2011,65.17,0.000767519
25/03/2011,65.12,0.009256468
24/03/2011,64.52,0.0105953
23/03/2011,63.84,0.007862912
22/03/2011,63.34,0.006176281
21/03/2011,62.95,0.019732733
18/03/2011,61.72,-0.001133512
17/03/2011,61.79,-0.00129387
16/03/2011,61.87,-0.013326038
15/03/2011,62.7,-0.013937508
14/03/2011,63.58,-0.003140706
11/03/2011,63.78,0.000313627
10/03/2011,63.76,-0.0092109
09/03/2011,64.35,0.00155521
08/03/2011,64.25,0.00953952
07/03/2011,63.64,0.002202298
04/03/2011,63.5,-0.002673588
03/03/2011,63.67,0.011849416
02/03/2011,62.92,0.010384309
01/03/2011,62.27,-0.008156783
28/02/2011,62.78,0.008478016
25/02/2011,62.25,-0.000642364
24/02/2011,62.29,0.004989147
23/02/2011,61.98,0.007124382
22/02/2011,61.54,0.001789055
18/02/2011,61.43,0.009650848
17/02/2011,60.84,0.002303769
16/02/2011,60.7,0.013434152
15/02/2011,59.89,0.002507733
14/02/2011,59.74,0.002010725
11/02/2011,59.62,0.007576432
10/02/2011,59.17,-0.006233699
09/02/2011,59.54,0.008094479
08/02/2011,59.06,0.001016432
07/02/2011,59,0.005608921
04/02/2011,58.67,0.011313113
03/02/2011,58.01,0.005704917
02/02/2011,57.68,-0.000693241
01/02/2011,57.72,0.008350779
31/01/2011,57.24,0.011243969
28/01/2011,56.6,-0.006866829
27/01/2011,56.99,-0.006819997
26/01/2011,57.38,-0.00261074
25/01/2011,57.53,0.007502434
24/01/2011,57.1,0.007029906
21/01/2011,56.7,0.003710579
20/01/2011,56.49,-0.00176866
19/01/2011,56.59,0.006559726
18/01/2011,56.22,-0.007972405
14/01/2011,56.67,0.003004332
13/01/2011,56.5,-0.001591653
12/01/2011,56.59,0.010123521
11/01/2011,56.02,-0.008708844
10/01/2011,56.51,0.001593908
07/01/2011,56.42,-0.022780028
06/01/2011,57.72,-0.01342302
05/01/2011,58.5,-0.002901769
04/01/2011,58.67,0
03/01/2011,58.67,0.00238908
31/12/2010,58.53,0.000683644
30/12/2010,58.49,-0.004435354
29/12/2010,58.75,0.00375171
28/12/2010,58.53,-0.001195253
27/12/2010,58.6,-0.001193826
23/12/2010,58.67,-0.0034031
22/12/2010,58.87,0.006646808
21/12/2010,58.48,-0.018467276
20/12/2010,59.57,-0.002012411
17/12/2010,59.69,-0.000335008
16/12/2010,59.71,0.005036948
15/12/2010,59.41,0.0003367
14/12/2010,59.39,0.011686135
13/12/2010,58.7,-0.005097717
10/12/2010,59,-0.006588418
09/12/2010,59.39,0.000673741
08/12/2010,59.35,-0.000842105
07/12/2010,59.4,0.014754783
06/12/2010,58.53,0.007029605
03/12/2010,58.12,0.003274454
02/12/2010,57.93,0.003978212
01/12/2010,57.7,0.014137595
30/11/2010,56.89,-0.016215158
29/11/2010,57.82,-0.016466924
26/11/2010,58.78,-0.007288786
24/11/2010,59.21,0.007458926
23/11/2010,58.77,-0.012008601
22/11/2010,59.48,-0.005532749
19/11/2010,59.81,0.006037248
18/11/2010,59.45,0.028319873
17/11/2010,57.79,-0.012894531
16/11/2010,58.54,-0.015425342
15/11/2010,59.45,-0.003190867
12/11/2010,59.64,-0.003013563
11/11/2010,59.82,0.003516708
10/11/2010,59.61,0.000839137
09/11/2010,59.56,-0.011020315
08/11/2010,60.22,-0.003646614
05/11/2010,60.44,-0.006267545
04/11/2010,60.82,0.025309376
03/11/2010,59.3,0.014266546
02/11/2010,58.46,0.002912208
01/11/2010,58.29,-0.003767128
29/10/2010,58.51,-0.012736862
28/10/2010,59.26,0.004736139
27/10/2010,58.98,-0.008777909
26/10/2010,59.5,0.000504329
25/10/2010,59.47,0.022790102
22/10/2010,58.13,0.009854
21/10/2010,57.56,0.001390821
20/10/2010,57.48,0.007158477
19/10/2010,57.07,-0.022694781
18/10/2010,58.38,-0.002736916
15/10/2010,58.54,0.013586932
14/10/2010,57.75,0.006776153
13/10/2010,57.36,0.003143009
12/10/2010,57.18,0.013380481
11/10/2010,56.42,-0.003715175
08/10/2010,56.63,0.006021981
07/10/2010,56.29,-0.00035524
06/10/2010,56.31,0.01719548
05/10/2010,55.35,0.001084599
04/10/2010,55.29,-0.004691456
01/10/2010,55.55,-0.008425254
30/09/2010,56.02,-0.005340942
29/09/2010,56.32,0.004270469
28/09/2010,56.08,0.011117203
27/09/2010,55.46,-0.011473772
24/09/2010,56.1,0.017804625
23/09/2010,55.11,-0.00145059
22/09/2010,55.19,-0.015283944
21/09/2010,56.04,0.001607287
20/09/2010,55.95,0.014945808
17/09/2010,55.12,0.000181439
16/09/2010,55.11,-0.007772294
15/09/2010,55.54,0.012318996
14/09/2010,54.86,0.001641887
13/09/2010,54.77,0.003108716
10/09/2010,54.6,0.015690216
09/09/2010,53.75,0.002421534
08/09/2010,53.62,-0.000372926
07/09/2010,53.64,-0.007429455
03/09/2010,54.04,0.013975817
02/09/2010,53.29,0.006022981
01/09/2010,52.97,0.030866056
31/08/2010,51.36,-0.001362
30/08/2010,51.43,-0.00019442
27/08/2010,51.44,0.007414668
26/08/2010,51.06,-0.00896867
25/08/2010,51.52,0.000194118
24/08/2010,51.51,-0.00426192
23/08/2010,51.73,-0.004821145
20/08/2010,51.98,-0.000384689
19/08/2010,52,-0.014509609
18/08/2010,52.76,0.003607713
17/08/2010,52.57,0.011094222
16/08/2010,51.99,0
13/08/2010,51.99,0.002696458
12/08/2010,51.85,0.001930503
11/08/2010,51.75,-0.023301283
10/08/2010,52.97,0.008150931
09/08/2010,52.54,0.006683879
06/08/2010,52.19,0.007114731
05/08/2010,51.82,-0.00807231
04/08/2010,52.24,0.001724304
03/08/2010,52.15,0.00364999
02/08/2010,51.96,0.017864553
30/07/2010,51.04,-0.002739192
29/07/2010,51.18,0.002739192
28/07/2010,51.04,-0.005860536
27/07/2010,51.34,0.002925975
26/07/2010,51.19,0.010407556
23/07/2010,50.66,-0.003546802
22/07/2010,50.84,0.018862864
21/07/2010,49.89,-0.014723704
20/07/2010,50.63,0.013321601
19/07/2010,49.96,0.005821556
16/07/2010,49.67,-0.008619879
15/07/2010,50.1,0.01164438
14/07/2010,49.52,0.004452547
13/07/2010,49.3,0.009374432
12/07/2010,48.84,0.005131901
09/07/2010,48.59,0.001029548
08/07/2010,48.54,0.020816738
07/07/2010,47.54,0.01632949
06/07/2010,46.77,0.006865506
02/07/2010,46.45,-0.002150538
01/07/2010,46.55,0.015369931
30/06/2010,45.84,0.002621233
29/06/2010,45.72,-0.012390116
28/06/2010,46.29,0.008460838
25/06/2010,45.9,-0.011480685
24/06/2010,46.43,-0.001291434
23/06/2010,46.49,0.032796993
22/06/2010,44.99,-0.028485712
21/06/2010,46.29,0.008242997
18/06/2010,45.91,0.006775242
17/06/2010,45.6,0.001097093
16/06/2010,45.55,-0.000219515
15/06/2010,45.56,-0.000219467
14/06/2010,45.57,0.027136897
11/06/2010,44.35,-0.016991243
10/06/2010,45.11,0.021511024
09/06/2010,44.15,0.009558562
08/06/2010,43.73,0.012888556
07/06/2010,43.17,-0.013117206
04/06/2010,43.74,-0.02884382
