Date,Close,TWX
15/02/2011,36.69,0.012064857
14/02/2011,36.25,-0.00796817
11/02/2011,36.54,0.004663292
10/02/2011,36.37,-0.01527997
09/02/2011,36.93,0.014455454
08/02/2011,36.4,0.007998939
07/02/2011,36.11,0.005275592
04/02/2011,35.92,-0.003057681
03/02/2011,36.03,0.026150794
02/02/2011,35.1,0.082824351
01/02/2011,32.31,0.026977797
31/01/2011,31.45,-0.008548414
28/01/2011,31.72,-0.018429383
27/01/2011,32.31,0.00030955
26/01/2011,32.3,-0.006788054
25/01/2011,32.52,-0.007047677
24/01/2011,32.75,-0.001220629
21/01/2011,32.79,0.012891523
20/01/2011,32.37,-0.000926355
19/01/2011,32.4,-0.012879663
18/01/2011,32.82,-0.009401131
14/01/2011,33.13,-0.014086851
13/01/2011,33.6,-0.00267499
12/01/2011,33.69,0.006551542
11/01/2011,33.47,0.005692899
10/01/2011,33.28,-0.000600781
07/01/2011,33.3,0.000901307
06/01/2011,33.27,0.003010237
05/01/2011,33.17,0.006351148
04/01/2011,32.96,0.017444972
03/01/2011,32.39,0.006815392
31/12/2010,32.17,0.003113328
30/12/2010,32.07,0.002185111
29/12/2010,32,-0.007161793
28/12/2010,32.23,-0.00124031
27/12/2010,32.27,-0.001238774
23/12/2010,32.31,0.001238774
22/12/2010,32.27,0.013414645
21/12/2010,31.84,0.005985212
20/12/2010,31.65,0.004433193
17/12/2010,31.51,0.00828558
16/12/2010,31.25,-0.003194891
15/12/2010,31.35,-0.003820444
14/12/2010,31.47,-0.005071326
13/12/2010,31.63,-0.005045738
10/12/2010,31.79,0.012662404
09/12/2010,31.39,-0.000636943
08/12/2010,31.41,0.006708219
07/12/2010,31.2,0.003210276
06/12/2010,31.1,0.014901474
03/12/2010,30.64,0.006548812
02/12/2010,30.44,0.007584538
01/12/2010,30.21,0.024121773
30/11/2010,29.49,-0.013807258
29/11/2010,29.9,-0.013619211
26/11/2010,30.31,-0.001977588
24/11/2010,30.37,0.016600647
23/11/2010,29.87,-0.031309198
22/11/2010,30.82,0.001948685
19/11/2010,30.76,0.008160646
18/11/2010,30.51,-0.000982801
17/11/2010,30.54,0
16/11/2010,30.54,0.000982801
15/11/2010,30.51,-0.007510239
12/11/2010,30.74,-0.011643081
11/11/2010,31.1,-0.026024953
10/11/2010,31.92,0.00313775
09/11/2010,31.82,0.009472758
08/11/2010,31.52,0.005727028
05/11/2010,31.34,-0.013312399
04/11/2010,31.76,-0.009713377
03/11/2010,32.07,-0.010546003
02/11/2010,32.41,0.002471425
01/11/2010,32.33,-0.005552143
29/10/2010,32.51,0.004624642
28/10/2010,32.36,0.028524109
27/10/2010,31.45,-0.00095344
26/10/2010,31.48,-0.005069719
25/10/2010,31.64,0.003799878
22/10/2010,31.52,-0.009472758
21/10/2010,31.82,0.003462934
20/10/2010,31.71,0.016213994
19/10/2010,31.2,-0.016844511
18/10/2010,31.73,-0.001889169
15/10/2010,31.79,0.012025461
14/10/2010,31.41,-0.002543722
13/10/2010,31.49,0.013427312
12/10/2010,31.07,-0.01215626
11/10/2010,31.45,0.004461448
08/10/2010,31.31,0.016747573
07/10/2010,30.79,0.011103968
06/10/2010,30.45,-0.004914015
05/10/2010,30.6,0.014483466
04/10/2010,30.16,-0.01481021
01/10/2010,30.61,-0.001305909
30/09/2010,30.65,-0.001304206
29/09/2010,30.69,-0.009082125
28/09/2010,30.97,0.00161577
27/09/2010,30.92,-0.014448798
24/09/2010,31.37,0.019636878
23/09/2010,30.76,-0.015804232
22/09/2010,31.25,-0.019331928
21/09/2010,31.86,-0.001568136
20/09/2010,31.91,0.021220115
17/09/2010,31.24,-0.005426989
16/09/2010,31.41,-0.010766412
15/09/2010,31.75,-0.001573564
14/09/2010,31.8,-0.00313972
13/09/2010,31.9,0.003768849
10/09/2010,31.78,0.024205003
09/09/2010,31.02,0.000644953
08/09/2010,31,0.005498963
07/09/2010,30.83,-0.028459155
03/09/2010,31.72,0.010139504
02/09/2010,31.4,0.020592748
01/09/2010,30.76,0.025684652
31/08/2010,29.98,0.013770159
