Date,Close,LLTC
03/10/2012,32.99,-0.001514463
02/10/2012,33.04,0.014327329
01/10/2012,32.57,0.023296596
28/09/2012,31.82,-0.012802673
27/09/2012,32.23,0.018475553
26/09/2012,31.64,-0.004100305
25/09/2012,31.77,-0.025483045
24/09/2012,32.59,-0.00977107
21/09/2012,32.91,-0.004547529
20/09/2012,33.06,0.001816531
19/09/2012,33,-0.011748892
18/09/2012,33.39,-0.000299446
17/09/2012,33.4,-0.008051333
14/09/2012,33.67,0.005957718
13/09/2012,33.47,0.010814164
12/09/2012,33.11,-0.001207365
11/09/2012,33.15,0.002718624
10/09/2012,33.06,-0.014712771
07/09/2012,33.55,-0.00357037
06/09/2012,33.67,0.030762377
05/09/2012,32.65,-0.001530222
04/09/2012,32.7,-0.010041161
31/08/2012,33.03,0.017715796
30/08/2012,32.45,-0.007062827
29/08/2012,32.68,-0.000305951
28/08/2012,32.69,-0.000611621
27/08/2012,32.71,-0.006095721
24/08/2012,32.91,0.006401485
23/08/2012,32.7,-0.003663008
22/08/2012,32.82,-0.00304229
21/08/2012,32.92,0.001519988
20/08/2012,32.87,-0.009688238
17/08/2012,33.19,-0.003308771
16/08/2012,33.3,0.006326275
15/08/2012,33.09,-0.00602593
14/08/2012,33.29,0.00451604
13/08/2012,33.14,0.000301796
10/08/2012,33.13,0.003325778
09/08/2012,33.02,0.004857326
08/08/2012,32.86,-0.002735148
07/08/2012,32.95,0.006699172
06/08/2012,32.73,0.008283526
03/08/2012,32.46,0.013335598
02/08/2012,32.03,-0.002494544
01/08/2012,32.11,-0.004350535
31/07/2012,32.25,0.000930665
30/07/2012,32.22,-0.007421184
27/07/2012,32.46,0.021800926
26/07/2012,31.76,0.020356937
25/07/2012,31.12,0.032661296
24/07/2012,30.12,-0.014502561
23/07/2012,30.56,-0.006848225
20/07/2012,30.77,-0.010024336
19/07/2012,31.08,0.002577321
18/07/2012,31,0.038472606
17/07/2012,29.83,0.001006205
16/07/2012,29.8,-0.010016778
13/07/2012,30.1,0.014725835
12/07/2012,29.66,-0.014393554
11/07/2012,30.09,-0.002655163
10/07/2012,30.17,-0.008580911
09/07/2012,30.43,-0.013707786
06/07/2012,30.85,-0.024336776
05/07/2012,31.61,-0.001580528
03/07/2012,31.66,0.009839787
02/07/2012,31.35,0.000638162
29/06/2012,31.33,0.03507992
28/06/2012,30.25,-0.008558314
27/06/2012,30.51,0.017524006
26/06/2012,29.98,0.004010701
25/06/2012,29.86,-0.02611287
22/06/2012,30.65,0.012145234
21/06/2012,30.28,-0.02446705
20/06/2012,31.03,0.003874722
19/06/2012,30.91,0.012042456
18/06/2012,30.54,0.022182668
15/06/2012,29.87,0.009080271
14/06/2012,29.6,0.001014027
13/06/2012,29.57,-0.009424506
12/06/2012,29.85,0.014510125
11/06/2012,29.42,-0.013504594
08/06/2012,29.82,0.0067295
07/06/2012,29.62,-0.017071544
06/06/2012,30.13,0.0354707
05/06/2012,29.08,0.013502023
04/06/2012,28.69,0.013333531
01/06/2012,28.31,-0.024770148
31/05/2012,29.02,-0.00309651
30/05/2012,29.11,-0.010592957
29/05/2012,29.42,0.009219802
25/05/2012,29.15,0.000343112
24/05/2012,29.14,-0.000686106
23/05/2012,29.16,-0.004448254
22/05/2012,29.29,-0.002046385
21/05/2012,29.35,0.014413427
18/05/2012,28.93,-0.017814791
17/05/2012,29.45,-0.013155865
16/05/2012,29.84,-0.010666768
15/05/2012,30.16,-0.008583744
14/05/2012,30.42,-0.007532376
11/05/2012,30.65,-0.003582482
10/05/2012,30.76,-0.003569694
09/05/2012,30.87,-0.007422981
08/05/2012,31.1,0
07/05/2012,31.1,-0.005771096
04/05/2012,31.28,-0.01491381
03/05/2012,31.75,-0.024270015
02/05/2012,32.53,-0.001535863
01/05/2012,32.58,-0.003982238
30/04/2012,32.71,-0.004575271
27/04/2012,32.86,0.007330515
26/04/2012,32.62,0.01171768
25/04/2012,32.24,0.010601908
24/04/2012,31.9,-0.005003137
23/04/2012,32.06,-0.008386445
20/04/2012,32.33,-0.018388505
19/04/2012,32.93,-0.00363747
18/04/2012,33.05,-0.00302115
17/04/2012,33.15,0.019494982
16/04/2012,32.51,0.014250551
13/04/2012,32.05,-0.013327332
12/04/2012,32.48,0.010523155
11/04/2012,32.14,0.019479095
10/04/2012,31.52,-0.016362857
09/04/2012,32.04,-0.00901047
05/04/2012,32.33,0.001238007
04/04/2012,32.29,-0.005250977
03/04/2012,32.46,-0.017407677
02/04/2012,33.03,-0.020081598
30/03/2012,33.7,0.01194044
29/03/2012,33.3,0.002104315
28/03/2012,33.23,-0.007793804
27/03/2012,33.49,-0.002981517
26/03/2012,33.59,0.011076299
23/03/2012,33.22,-0.005403796
22/03/2012,33.4,-0.006862626
21/03/2012,33.63,-0.003858144
20/03/2012,33.76,-0.009140562
19/03/2012,34.07,0.008252331
16/03/2012,33.79,-0.004723953
15/03/2012,33.95,0.013343415
14/03/2012,33.5,-0.008323473
13/03/2012,33.78,0.017319035
12/03/2012,33.2,0.000904023
09/03/2012,33.17,0.002414731
08/03/2012,33.09,0.009412549
07/03/2012,32.78,0.012277625
06/03/2012,32.38,0.005574496
05/03/2012,32.2,-0.018462063
02/03/2012,32.8,-0.013325455
01/03/2012,33.24,-0.007194276
29/02/2012,33.48,-0.018642351
28/02/2012,34.11,0.021334142
27/02/2012,33.39,0.001498577
24/02/2012,33.34,-0.004190368
23/02/2012,33.48,0.001494545
22/02/2012,33.43,-0.006559356
21/02/2012,33.65,-0.010935531
17/02/2012,34.02,-0.007029906
16/02/2012,34.26,0.025123237
15/02/2012,33.41,-0.0038835
14/02/2012,33.54,-0.003571432
13/02/2012,33.66,0.002379537
10/02/2012,33.58,-0.022380204
09/02/2012,34.34,0.002624291
08/02/2012,34.25,0.004975863
07/02/2012,34.08,-0.001466061
06/02/2012,34.13,-0.008751514
03/02/2012,34.43,0.022024088
02/02/2012,33.68,-0.001186944
01/02/2012,33.72,0.011633241
31/01/2012,33.33,0.002102419
30/01/2012,33.26,-0.001802344
27/01/2012,33.32,0.003607941
26/01/2012,33.2,-0.008995563
25/01/2012,33.5,0.005387622
24/01/2012,33.32,0.004511964
23/01/2012,33.17,0.003321761
20/01/2012,33.06,-0.010231808
19/01/2012,33.4,0.002398083
18/01/2012,33.32,0.109303185
17/01/2012,29.87,-0.006340752
13/01/2012,30.06,-0.027237123
12/01/2012,30.89,0.001295757
11/01/2012,30.85,0.000324202
10/01/2012,30.84,0.003573173
09/01/2012,30.73,0.022043992
06/01/2012,30.06,-0.0063008
05/01/2012,30.25,0.005303294
04/01/2012,30.09,-0.008274083
03/01/2012,30.34,0.010270092
30/12/2011,30.03,-0.004982571
29/12/2011,30.18,0.004316792
28/12/2011,30.05,-0.009274661
27/12/2011,30.33,-0.001317957
23/12/2011,30.37,0.008597937
22/12/2011,30.11,0.017758885
21/12/2011,29.58,-0.007074309
20/12/2011,29.79,0.046727841
19/12/2011,28.43,-0.018815886
16/12/2011,28.97,0.009712182
15/12/2011,28.69,0.001046208
14/12/2011,28.66,-0.018323762
13/12/2011,29.19,-0.01967499
12/12/2011,29.77,-0.015333634
09/12/2011,30.23,0.003977466
08/12/2011,30.11,-0.031063475
07/12/2011,31.06,0.002578983
06/12/2011,30.98,-0.004187476
05/12/2011,31.11,0.015222966
02/12/2011,30.64,-0.002933031
01/12/2011,30.73,0.003259455
30/11/2011,30.63,0.059176927
29/11/2011,28.87,-0.007591479
28/11/2011,29.09,0.024357502
25/11/2011,28.39,-0.007369747
23/11/2011,28.6,-0.025545055
22/11/2011,29.34,-0.013204864
21/11/2011,29.73,-0.026880663
18/11/2011,30.54,-0.003921574
17/11/2011,30.66,-0.031147164
16/11/2011,31.63,-0.012566926
15/11/2011,32.03,0.00124961
14/11/2011,31.99,-0.013968875
11/11/2011,32.44,0.022444832
10/11/2011,31.72,0.007594973
09/11/2011,31.48,-0.048366525
08/11/2011,33.04,0.003031224
07/11/2011,32.94,-0.004241145
04/11/2011,33.08,0.017073585
03/11/2011,32.52,0.035684537
02/11/2011,31.38,0.003511576
01/11/2011,31.27,-0.032717608
31/10/2011,32.31,-0.02476055
28/10/2011,33.12,-0.001207001
27/10/2011,33.16,0.034359208
26/10/2011,32.04,0.019858809
25/10/2011,31.41,-0.001590584
24/10/2011,31.46,0.02315216
21/10/2011,30.74,0.031391971
20/10/2011,29.79,-0.014662042
19/10/2011,30.23,-0.025152396
18/10/2011,31,0.020861252
17/10/2011,30.36,-0.027612604
14/10/2011,31.21,-0.004794639
13/10/2011,31.36,0.037029239
12/10/2011,30.22,-0.000992228
11/10/2011,30.25,0.004306782
10/10/2011,30.12,0.016064603
07/10/2011,29.64,0.00881063
06/10/2011,29.38,0.004434597
05/10/2011,29.25,0.031605339
04/10/2011,28.34,0.033366324
03/10/2011,27.41,-0.008717818
30/09/2011,27.65,-0.030979868
29/09/2011,28.52,-0.013927802
28/09/2011,28.92,-0.020534602
27/09/2011,29.52,0.018807188
26/09/2011,28.97,0.011107369
23/09/2011,28.65,0.020808368
22/09/2011,28.06,-0.04119256
21/09/2011,29.24,-0.021986341
20/09/2011,29.89,-0.009324077
19/09/2011,30.17,-0.012843911
16/09/2011,30.56,0.005907467
15/09/2011,30.38,-0.000658111
14/09/2011,30.4,0.035831725
13/09/2011,29.33,0.015461569
12/09/2011,28.88,0.026312692
09/09/2011,28.13,0
08/09/2011,28.13,-0.014820314
07/09/2011,28.55,0.042940407
06/09/2011,27.35,-0.004013871
02/09/2011,27.46,-0.024106222
01/09/2011,28.13,-0.017618497
31/08/2011,28.63,0.010533805
30/08/2011,28.33,-0.000705716
29/08/2011,28.35,0.033354356
26/08/2011,27.42,0.026983711
25/08/2011,26.69,-0.03135053
24/08/2011,27.54,0.000363174
23/08/2011,27.53,0.032487169
22/08/2011,26.65,0.012840056
19/08/2011,26.31,-0.019571569
18/08/2011,26.83,-0.020292155
17/08/2011,27.38,0.006228267
16/08/2011,27.21,-0.020371749
15/08/2011,27.77,0.010861801
12/08/2011,27.47,0.0003641
11/08/2011,27.46,0.031443315
10/08/2011,26.61,-0.010095431
09/08/2011,26.88,0.030213779
08/08/2011,26.08,-0.037626711
05/08/2011,27.08,-0.008457487
04/08/2011,27.31,-0.047900508
03/08/2011,28.65,-0.000697837
02/08/2011,28.67,-0.019344299
01/08/2011,29.23,-0.002391937
29/07/2011,29.3,-0.010862293
28/07/2011,29.62,-0.016075363
27/07/2011,30.1,-0.035892923
26/07/2011,31.2,0.003210276
25/07/2011,31.1,-0.005451352
22/07/2011,31.27,0.021659163
21/07/2011,30.6,0.011834458
20/07/2011,30.24,-0.01281437
19/07/2011,30.63,0.018451924
18/07/2011,30.07,-0.013542734
15/07/2011,30.48,0.00559304
14/07/2011,30.31,-0.017334858
13/07/2011,30.84,-0.010964315
12/07/2011,31.18,-0.044842126
11/07/2011,32.61,-0.01430988
08/07/2011,33.08,-0.013213405
07/07/2011,33.52,0.018973615
06/07/2011,32.89,0.000608273
05/07/2011,32.87,-0.016893313
01/07/2011,33.43,0.012340262
30/06/2011,33.02,0.022046208
29/06/2011,32.3,-0.002164838
28/06/2011,32.37,0.00806456
27/06/2011,32.11,0.010330347
24/06/2011,31.78,-0.017467693
23/06/2011,32.34,0.015895613
22/06/2011,31.83,-0.005014113
21/06/2011,31.99,0.020847249
20/06/2011,31.33,0.000958007
17/06/2011,31.3,-0.006686858
16/06/2011,31.51,-0.00158554
15/06/2011,31.56,-0.016965534
14/06/2011,32.1,0.026836654
13/06/2011,31.25,-0.010504633
10/06/2011,31.58,-0.016332021
09/06/2011,32.1,-0.000622859
08/06/2011,32.12,-0.0117612
07/06/2011,32.5,-0.001844452
06/06/2011,32.56,-0.002147569
03/06/2011,32.63,-0.025118585
