Date,Close,VNO
09/07/2010,75,0.021700427
08/07/2010,73.39,0.007247895
07/07/2010,72.86,0.047213039
06/07/2010,69.5,-0.023182436
02/07/2010,71.13,-0.025676242
01/07/2010,72.98,0.000411156
30/06/2010,72.95,-0.013885331
29/06/2010,73.97,-0.043904976
28/06/2010,77.29,-0.017824412
25/06/2010,78.68,0.031240439
24/06/2010,76.26,-0.017934204
23/06/2010,77.64,0.003225185
22/06/2010,77.39,-0.029537475
21/06/2010,79.71,0.004148601
18/06/2010,79.38,-0.004524895
17/06/2010,79.74,0.002511302
16/06/2010,79.54,-0.000754053
15/06/2010,79.6,0.021074793
14/06/2010,77.94,0.012913403
11/06/2010,76.94,0.006388965
10/06/2010,76.45,0.045629696
09/06/2010,73.04,0.003566044
08/06/2010,72.78,0.013696002
07/06/2010,71.79,-0.004308854
04/06/2010,72.1,-0.064841873
03/06/2010,76.93,-0.012016425
02/06/2010,77.86,0.026022806
01/06/2010,75.86,-0.023708288
28/05/2010,77.68,-0.017862174
27/05/2010,79.08,0.066800393
26/05/2010,73.97,-0.007273739
25/05/2010,74.51,0.011201953
24/05/2010,73.68,-0.031133519
21/05/2010,76.01,0.033715568
20/05/2010,73.49,-0.038833354
19/05/2010,76.4,-0.008342071
18/05/2010,77.04,-0.030928983
17/05/2010,79.46,-0.001132004
14/05/2010,79.55,-0.028869006
13/05/2010,81.88,-0.016232943
12/05/2010,83.22,0.016232943
11/05/2010,81.88,-0.00024423
10/05/2010,81.9,0.067685511
07/05/2010,76.54,-0.023627721
06/05/2010,78.37,-0.051478297
05/05/2010,82.51,-0.011927134
04/05/2010,83.5,-0.030081891
03/05/2010,86.05,0.03163999
30/04/2010,83.37,-0.035236073
29/04/2010,86.36,0.058289751
28/04/2010,81.47,0.005538817
27/04/2010,81.02,-0.031825837
26/04/2010,83.64,0.013602376
23/04/2010,82.51,0.013175743
22/04/2010,81.43,0.022227276
21/04/2010,79.64,0.019654472
20/04/2010,78.09,0.016266819
19/04/2010,76.83,0.003128669
16/04/2010,76.59,-0.021314506
15/04/2010,78.24,-0.035161834
14/04/2010,81.04,-0.005782852
13/04/2010,81.51,0.040944686
12/04/2010,78.24,-0.012195273
09/04/2010,79.2,0.027781342
08/04/2010,77.03,-0.002851959
07/04/2010,77.25,-0.029841541
06/04/2010,79.59,0.015447256
05/04/2010,78.37,0.032683495
01/04/2010,75.85,0.001979545
31/03/2010,75.7,-0.013775226
30/03/2010,76.75,-0.002472511
29/03/2010,76.94,0.005212417
26/03/2010,76.54,-0.003260943
25/03/2010,76.79,0.005222626
24/03/2010,76.39,0.005644912
23/03/2010,75.96,0.001185537
22/03/2010,75.87,0.005816275
19/03/2010,75.43,-0.008580344
18/03/2010,76.08,-0.002363136
17/03/2010,76.26,0.011208662
16/03/2010,75.41,0.024023164
15/03/2010,73.62,-0.002442004
12/03/2010,73.8,0.008983319
11/03/2010,73.14,0.00507163
10/03/2010,72.77,0.018445846
09/03/2010,71.44,0.012819785
08/03/2010,70.53,0.018170612
05/03/2010,69.26,0.031236501
04/03/2010,67.13,0.010181253
03/03/2010,66.45,0.001506024
02/03/2010,66.35,0.002414367
01/03/2010,66.19,0.007126101
26/02/2010,65.72,0.000456586
25/02/2010,65.69,0.005801543
24/02/2010,65.31,0.011395257
23/02/2010,64.57,-0.017044559
22/02/2010,65.68,0.000913938
19/02/2010,65.62,0.012112068
18/02/2010,64.83,0.015388506
17/02/2010,63.84,-0.009044191
16/02/2010,64.42,0.027062696
12/02/2010,62.7,0.003354904
11/02/2010,62.49,-0.004311384
10/02/2010,62.76,-0.003975516
09/02/2010,63.01,0.002224342
08/02/2010,62.87,-0.022023857
05/02/2010,64.27,0.017896867
04/02/2010,63.13,-0.037311961
03/02/2010,65.53,-0.020242383
02/02/2010,66.87,0.012187016
01/02/2010,66.06,0.021111385
29/01/2010,64.68,-0.000154595
28/01/2010,64.69,-0.006164298
27/01/2010,65.09,0.014235116
26/01/2010,64.17,-0.011465883
25/01/2010,64.91,0.003085946
22/01/2010,64.71,-0.027286199
21/01/2010,66.5,-0.03907611
20/01/2010,69.15,-0.021884589
19/01/2010,70.68,0.008239853
15/01/2010,70.1,-0.009229742
14/01/2010,70.75,0.004107364
13/01/2010,70.46,0.024422992
12/01/2010,68.76,-0.01386504
11/01/2010,69.72,0.003160468
08/01/2010,69.5,-0.011160511
07/01/2010,70.28,0.015341902
06/01/2010,69.21,-0.004037496
05/01/2010,69.49,-0.007598058
04/01/2010,70.02,0.001143184
31/12/2009,69.94,-0.020239881
30/12/2009,71.37,-0.000420256
