Date,Close,PEG
05/03/2010,31.2,0.009661911
04/03/2010,30.9,0.010737048
03/03/2010,30.57,-0.001960785
02/03/2010,30.63,0.006222388
01/03/2010,30.44,0.023937313
26/02/2010,29.72,-0.006706933
25/02/2010,29.92,-0.0083209
24/02/2010,30.17,0.00033151
23/02/2010,30.16,-0.013502593
22/02/2010,30.57,-0.019757728
19/02/2010,31.18,0.010640113
18/02/2010,30.85,0.003572012
17/02/2010,30.74,-0.000650407
16/02/2010,30.76,0.019367091
12/02/2010,30.17,-0.011861754
11/02/2010,30.53,0.019848485
10/02/2010,29.93,0.001337346
09/02/2010,29.89,0.013811909
08/02/2010,29.48,-0.001355932
05/02/2010,29.52,-0.004056801
04/02/2010,29.64,-0.030239885
03/02/2010,30.55,-0.011067821
02/02/2010,30.89,0.008452586
01/02/2010,30.63,0.001306763
29/01/2010,30.59,0.000654022
28/01/2010,30.57,-0.009441711
27/01/2010,30.86,-0.013837711
26/01/2010,31.29,-0.00478241
25/01/2010,31.44,0.006381643
22/01/2010,31.24,-0.0161934
21/01/2010,31.75,-0.01500497
20/01/2010,32.23,-0.02118268
19/01/2010,32.92,0.009154779
15/01/2010,32.62,-0.006112488
14/01/2010,32.82,-0.006983481
13/01/2010,33.05,0.006678835
12/01/2010,32.83,-0.006376217
11/01/2010,33.04,0.004854378
08/01/2010,32.88,-0.002733487
07/01/2010,32.97,-0.013556466
06/01/2010,33.42,-0.005371544
05/01/2010,33.6,-0.000892459
04/01/2010,33.63,0.011363759
31/12/2009,33.25,-0.01492565
30/12/2009,33.75,0.005645536
29/12/2009,33.56,-0.00653403
28/12/2009,33.78,0.004747783
24/12/2009,33.62,0.012571252
23/12/2009,33.2,-0.003307776
22/12/2009,33.31,-0.010155404
21/12/2009,33.65,0.0071578
18/12/2009,33.41,0.000299356
17/12/2009,33.4,-0.008645157
16/12/2009,33.69,-0.001186592
15/12/2009,33.73,0.007140762
14/12/2009,33.49,0.001793186
11/12/2009,33.43,0.01933011
10/12/2009,32.79,0.017225895
09/12/2009,32.23,0.009351689
08/12/2009,31.93,-0.002502347
07/12/2009,32.01,-0.005607491
04/12/2009,32.19,-0.004339746
03/12/2009,32.33,0.000928362
02/12/2009,32.3,0.019381663
01/12/2009,31.68,0.010152371
30/11/2009,31.36,0.014777012
27/11/2009,30.9,-0.022400937
25/11/2009,31.6,0.011137744
24/11/2009,31.25,-0.002237495
23/11/2009,31.32,0.008658063
20/11/2009,31.05,0.01166194
19/11/2009,30.69,-0.021277398
18/11/2009,31.35,-0.008575565
17/11/2009,31.62,-0.003157565
16/11/2009,31.72,0.011095375
13/11/2009,31.37,0.008322711
12/11/2009,31.11,-0.006408224
11/11/2009,31.31,-0.003825315
10/11/2009,31.43,0.009912151
09/11/2009,31.12,0.017504499
06/11/2009,30.58,-0.001960144
05/11/2009,30.64,0.024447864
04/11/2009,29.9,0.019247597
03/11/2009,29.33,-0.008487574
02/11/2009,29.58,-0.007409936
30/10/2009,29.8,-0.021905954
29/10/2009,30.46,0.035759867
28/10/2009,29.39,-0.01251073
27/10/2009,29.76,0.002691792
26/10/2009,29.68,-0.021004273
23/10/2009,30.31,-0.019278493
22/10/2009,30.9,0.005191446
21/10/2009,30.74,-0.005191446
20/10/2009,30.9,-0.024297871
19/10/2009,31.66,0.016560888
16/10/2009,31.14,0.012928428
15/10/2009,30.74,0.00227976
14/10/2009,30.67,-0.007471206
13/10/2009,30.9,-0.011263192
12/10/2009,31.25,-0.003194891
09/10/2009,31.35,0.010582109
08/10/2009,31.02,-0.003539827
07/10/2009,31.13,0.00128576
06/10/2009,31.09,0.015232834
05/10/2009,30.62,0.008856873
02/10/2009,30.35,-0.012442859
01/10/2009,30.73,-0.022841591
30/09/2009,31.44,-0.005708864
29/09/2009,31.62,0.001899336
28/09/2009,31.56,0.008591938
25/09/2009,31.29,0.002880463
24/09/2009,31.2,0.001282874
23/09/2009,31.16,0.003214403
22/09/2009,31.06,-0.009293449
21/09/2009,31.35,-0.020209087
18/09/2009,31.99,0.007845639
17/09/2009,31.74,-0.005968292
16/09/2009,31.93,0.011338704
15/09/2009,31.57,0.001585038
14/09/2009,31.52,0.02051354
11/09/2009,30.88,-0.008063259
10/09/2009,31.13,0.000642674
09/09/2009,31.11,0.007420586
08/09/2009,30.88,0.011071425
04/09/2009,30.54,-0.018170519
03/09/2009,31.1,0.001931124
02/09/2009,31.04,-0.01534557
01/09/2009,31.52,-0.004747596
31/08/2009,31.67,-0.014109029
28/08/2009,32.12,-0.004349184
27/08/2009,32.26,0.00186162
26/08/2009,32.2,-0.002791132
25/08/2009,32.29,-0.013534504
24/08/2009,32.73,-0.004268299
21/08/2009,32.87,0.023704358
20/08/2009,32.1,0.007190902
19/08/2009,31.87,0.019325803
18/08/2009,31.26,-0.001278773
17/08/2009,31.3,-0.025860792
14/08/2009,32.12,0.005619746
13/08/2009,31.94,0.008805088
12/08/2009,31.66,0.008246162
11/08/2009,31.4,-0.013915468
10/08/2009,31.84,0.0053535
07/08/2009,31.67,0.008243547
06/08/2009,31.41,-0.012339976
05/08/2009,31.8,-0.020234153
04/08/2009,32.45,-0.018018506
03/08/2009,33.04,0.018018506
31/07/2009,32.45,-0.029753257
30/07/2009,33.43,0.017501956
