Date,Close,CI
19/12/2011,40.85,-0.036769732
16/12/2011,42.38,-0.008458697
15/12/2011,42.74,0.00398547
14/12/2011,42.57,-0.004920924
13/12/2011,42.78,0.010338438
12/12/2011,42.34,-0.006356702
09/12/2011,42.61,0.00682918
08/12/2011,42.32,-0.020580708
07/12/2011,43.2,0.000694686
06/12/2011,43.17,-0.007385217
05/12/2011,43.49,0.009704328
02/12/2011,43.07,-0.012001067
01/12/2011,43.59,-0.014575526
30/11/2011,44.23,0.050306122
29/11/2011,42.06,0.004766453
28/11/2011,41.86,0.022711776
25/11/2011,40.92,0.003427176
23/11/2011,40.78,-0.029001549
22/11/2011,41.98,-0.008066473
21/11/2011,42.32,0.005449605
18/11/2011,42.09,-0.00992916
17/11/2011,42.51,-0.005629853
16/11/2011,42.75,-0.034260162
15/11/2011,44.24,0.011366342
14/11/2011,43.74,-0.000685636
11/11/2011,43.77,0.013339664
10/11/2011,43.19,0.016811043
09/11/2011,42.47,-0.024192852
08/11/2011,43.51,0.020198017
07/11/2011,42.64,-0.008174751
04/11/2011,42.99,0.004896827
03/11/2011,42.78,0.002808991
02/11/2011,42.66,-0.012115712
01/11/2011,43.18,-0.026509779
31/10/2011,44.34,-0.050356907
28/10/2011,46.63,-0.015745006
27/10/2011,47.37,0.045344555
26/10/2011,45.27,0.007761432
25/10/2011,44.92,-0.009306515
24/10/2011,45.34,0.014216143
21/10/2011,44.7,0.011248713
20/10/2011,44.2,0.023115802
19/10/2011,43.19,-0.00554146
18/10/2011,43.43,-0.009396196
17/10/2011,43.84,-0.019426859
14/10/2011,44.7,0.031820867
13/10/2011,43.3,-0.026212327
12/10/2011,44.45,0.018849201
11/10/2011,43.62,0.004365314
10/10/2011,43.43,0.033957132
07/10/2011,41.98,-0.010662345
06/10/2011,42.43,0.019755492
05/10/2011,41.6,0.023347364
04/10/2011,40.64,0.016373474
03/10/2011,39.98,-0.047860696
30/09/2011,41.94,-0.013734528
29/09/2011,42.52,0.006606914
28/09/2011,42.24,-0.046035652
27/09/2011,44.23,0.021712657
26/09/2011,43.28,0.023849622
23/09/2011,42.26,0.007124229
22/09/2011,41.96,-0.038798977
21/09/2011,43.62,-0.045049634
20/09/2011,45.63,-0.00851069
19/09/2011,46.02,-0.008223375
16/09/2011,46.4,-0.004086467
15/09/2011,46.59,0.016447027
14/09/2011,45.83,0.016278406
13/09/2011,45.09,0.031770161
12/09/2011,43.68,0.018484815
09/09/2011,42.88,-0.05269157
08/09/2011,45.2,-0.024260834
07/09/2011,46.31,0.041893251
06/09/2011,44.41,-0.009635929
02/09/2011,44.84,-0.029229638
01/09/2011,46.17,-0.012270093
31/08/2011,46.74,0.000856164
30/08/2011,46.7,0.013365148
29/08/2011,46.08,0.026832487
26/08/2011,44.86,0.012787611
25/08/2011,44.29,-0.012787611
24/08/2011,44.86,0.023228015
23/08/2011,43.83,0.041934865
22/08/2011,42.03,0.00908228
19/08/2011,41.65,-0.017139196
18/08/2011,42.37,-0.04047263
17/08/2011,44.12,-0.000453206
16/08/2011,44.14,-0.013948483
15/08/2011,44.76,0.021909403
12/08/2011,43.79,0.022166689
11/08/2011,42.83,0.044154649
10/08/2011,40.98,-0.058986902
09/08/2011,43.47,0.076961041
08/08/2011,40.25,-0.11576582
05/08/2011,45.19,-0.006836503
04/08/2011,45.5,-0.022814678
03/08/2011,46.55,0.01166824
02/08/2011,46.01,-0.034604051
01/08/2011,47.63,-0.043949578
29/07/2011,49.77,-0.008801817
28/07/2011,50.21,0.003991225
27/07/2011,50.01,-0.030523193
26/07/2011,51.56,-0.00868983
25/07/2011,52.01,-0.011660268
22/07/2011,52.62,0.001331178
21/07/2011,52.55,0.012446307
20/07/2011,51.9,0.007154628
19/07/2011,51.53,-0.00155129
18/07/2011,51.61,-0.000968336
15/07/2011,51.66,-0.007713112
14/07/2011,52.06,0.018221089
13/07/2011,51.12,0.015177191
12/07/2011,50.35,0.003980105
11/07/2011,50.15,-0.03333642
08/07/2011,51.85,-0.000192845
07/07/2011,51.86,-0.003464874
06/07/2011,52.04,-0.000960338
05/07/2011,52.09,-0.002109503
01/07/2011,52.2,0.014860835
30/06/2011,51.43,0.003115874
29/06/2011,51.27,0.002538816
28/06/2011,51.14,0.034414137
27/06/2011,49.41,0.020239881
24/06/2011,48.42,-0.018416727
23/06/2011,49.32,-0.008680785
22/06/2011,49.75,-0.015160873
21/06/2011,50.51,0.009148831
20/06/2011,50.05,0.023449629
17/06/2011,48.89,-0.003063415
16/06/2011,49.04,-0.003663753
15/06/2011,49.22,-0.023889523
14/06/2011,50.41,0.023077175
13/06/2011,49.26,0.003457045
10/06/2011,49.09,-0.026335827
09/06/2011,50.4,0.043802623
08/06/2011,48.24,0.000207318
07/06/2011,48.23,0.005196977
06/06/2011,47.98,-0.033408169
03/06/2011,49.61,-0.002415946
02/06/2011,49.73,0.011121336
01/06/2011,49.18,-0.014333545
31/05/2011,49.89,0.008454157
27/05/2011,49.47,0.015687395
26/05/2011,48.7,0.02537046
25/05/2011,47.48,-0.000210593
24/05/2011,47.49,-0.020838429
23/05/2011,48.49,-0.013315776
20/05/2011,49.14,-0.00790518
19/05/2011,49.53,-0.002419844
18/05/2011,49.65,0.031092707
17/05/2011,48.13,-0.00930624
16/05/2011,48.58,-0.002261747
13/05/2011,48.69,0.013231535
12/05/2011,48.05,0.006891538
11/05/2011,47.72,0.006095657
10/05/2011,47.43,0.005496843
