Date,Close,OXY
21/12/2009,80.67,0.008590156
18/12/2009,79.98,0.020973605
17/12/2009,78.32,-0.006363774
16/12/2009,78.82,-0.000634156
15/12/2009,78.87,0.018684956
14/12/2009,77.41,0.018382631
11/12/2009,76,-0.01242252
10/12/2009,76.95,0
09/12/2009,76.95,0.00038994
08/12/2009,76.92,-0.017015105
07/12/2009,78.24,-0.005226604
04/12/2009,78.65,-0.01889225
03/12/2009,80.15,-0.013138513
02/12/2009,81.21,-0.011873571
01/12/2009,82.18,0.017058768
30/11/2009,80.79,-0.005062052
27/11/2009,81.2,-0.034258631
25/11/2009,84.03,0.015591585
24/11/2009,82.73,0.007157185
23/11/2009,82.14,0.026523482
20/11/2009,79.99,-0.019069424
19/11/2009,81.53,-0.020396482
18/11/2009,83.21,-0.010044327
17/11/2009,84.05,-0.00510296
16/11/2009,84.48,0.024322771
13/11/2009,82.45,0.007792563
12/11/2009,81.81,-0.016006162
11/11/2009,83.13,-0.012432916
10/11/2009,84.17,0.013395727
09/11/2009,83.05,0.026476261
06/11/2009,80.88,-0.000741565
05/11/2009,80.94,0.010432285
04/11/2009,80.1,0.007644626
03/11/2009,79.49,0.034166205
02/11/2009,76.82,0.012311878
30/10/2009,75.88,-0.042065291
29/10/2009,79.14,0.016691475
28/10/2009,77.83,-0.031118119
27/10/2009,80.29,-0.005217403
26/10/2009,80.71,-0.017684361
23/10/2009,82.15,-0.022269954
22/10/2009,84,0.02960047
21/10/2009,81.55,-0.001715266
20/10/2009,81.69,-0.011199143
19/10/2009,82.61,0.002545302
16/10/2009,82.4,-0.008940497
15/10/2009,83.14,0.016615506
14/10/2009,81.77,0.018140807
13/10/2009,80.3,-0.000124525
12/10/2009,80.31,0.009634106
09/10/2009,79.54,-0.006890963
08/10/2009,80.09,0.0337767
07/10/2009,77.43,-0.002064251
06/10/2009,77.59,0.027173455
05/10/2009,75.51,0.015750459
02/10/2009,74.33,-0.013894679
01/10/2009,75.37,-0.03941461
30/09/2009,78.4,0.001404046
29/09/2009,78.29,-0.010924905
28/09/2009,79.15,0.02714983
25/09/2009,77.03,0.033530068
24/09/2009,74.49,-0.024663143
23/09/2009,76.35,-0.025474967
22/09/2009,78.32,0.015829428
21/09/2009,77.09,-0.000778008
18/09/2009,77.15,-0.019128897
17/09/2009,78.64,-0.00646431
16/09/2009,79.15,0.014379582
15/09/2009,78.02,0.013289661
14/09/2009,76.99,0.000259808
11/09/2009,76.97,0.002471546
10/09/2009,76.78,0.012186484
09/09/2009,75.85,0.010336694
08/09/2009,75.07,0.031667057
04/09/2009,72.73,0.010226734
03/09/2009,71.99,0.002503478
02/09/2009,71.81,-0.00583173
01/09/2009,72.23,-0.011972895
31/08/2009,73.1,-0.019239179
28/08/2009,74.52,-0.000670736
27/08/2009,74.57,0.00551336
26/08/2009,74.16,0.003376784
25/08/2009,73.91,-0.017170107
24/08/2009,75.19,0.005467774
21/08/2009,74.78,0.03455656
20/08/2009,72.24,0.009876967
19/08/2009,71.53,0.02879019
18/08/2009,69.5,0.016831506
17/08/2009,68.34,-0.028703204
14/08/2009,70.33,-0.009199697
13/08/2009,70.98,0.015904908
12/08/2009,69.86,0.016452962
11/08/2009,68.72,-0.019168995
10/08/2009,70.05,-0.000142745
07/08/2009,70.06,0.002572533
06/08/2009,69.88,-0.012090326
05/08/2009,70.73,-0.016962627
04/08/2009,71.94,-0.00623573
03/08/2009,72.39,0.014610988
31/07/2009,71.34,0.010568689
30/07/2009,70.59,0.01584955
29/07/2009,69.48,-0.031312326
28/07/2009,71.69,-0.017971178
27/07/2009,72.99,0.007701867
24/07/2009,72.43,0.006649145
23/07/2009,71.95,0.027619059
22/07/2009,69.99,-0.003280796
21/07/2009,70.22,0.01001869
20/07/2009,69.52,0.025790021
17/07/2009,67.75,0.007110088
16/07/2009,67.27,0.007909899
15/07/2009,66.74,0.037400375
14/07/2009,64.29,0.023767547
