Date,Close,ALTR
17/09/2010,28.7,0.019349768
16/09/2010,28.15,0.011073519
15/09/2010,27.84,0.006125042
14/09/2010,27.67,0.036809456
13/09/2010,26.67,0.017398321
10/09/2010,26.21,-0.003427922
09/09/2010,26.3,-0.028487684
08/09/2010,27.06,0.017145407
07/09/2010,26.6,-0.008609449
03/09/2010,26.83,0.017672955
02/09/2010,26.36,0.029255358
01/09/2010,25.6,0.037815451
31/08/2010,24.65,-0.004452547
30/08/2010,24.76,-0.031016403
27/08/2010,25.54,0.027388098
26/08/2010,24.85,-0.027388098
25/08/2010,25.54,0.016979677
24/08/2010,25.11,-0.008328424
23/08/2010,25.32,-0.010997754
20/08/2010,25.6,0.003913899
19/08/2010,25.5,-0.011308368
18/08/2010,25.79,0.009740969
17/08/2010,25.54,0.016979677
16/08/2010,25.11,0.006793233
13/08/2010,24.94,-0.011957097
12/08/2010,25.24,-0.062580385
11/08/2010,26.87,-0.028253576
10/08/2010,27.64,-0.003250861
09/08/2010,27.73,0.003612721
06/08/2010,27.63,-0.002169198
05/08/2010,27.69,-0.00791371
04/08/2010,27.91,0.006470188
03/08/2010,27.73,-0.006828418
02/08/2010,27.92,0.007189104
30/07/2010,27.72,0.003976148
29/07/2010,27.61,-0.023976815
28/07/2010,28.28,-0.022032715
27/07/2010,28.91,-0.003453042
26/07/2010,29.01,0.003799003
23/07/2010,28.9,0.013937508
22/07/2010,28.5,0.034264594
21/07/2010,27.54,-0.027575606
20/07/2010,28.31,0.000706714
19/07/2010,28.29,0.027232066
16/07/2010,27.53,-0.024400206
15/07/2010,28.21,0.006044463
14/07/2010,28.04,-0.014164543
13/07/2010,28.44,0.023120361
12/07/2010,27.79,0.007222856
09/07/2010,27.59,0.027560076
08/07/2010,26.84,0.002237972
07/07/2010,26.78,0.065584624
06/07/2010,25.08,0.008408458
02/07/2010,24.87,-0.007610692
01/07/2010,25.06,0.010026152
30/06/2010,24.81,-0.006027746
29/06/2010,24.96,-0.028827268
28/06/2010,25.69,0.007031279
25/06/2010,25.51,0.001569243
24/06/2010,25.47,-0.01828489
23/06/2010,25.94,0.01946344
22/06/2010,25.44,-0.012888286
21/06/2010,25.77,-0.007345867
18/06/2010,25.96,-0.000385134
17/06/2010,25.97,-0.003459546
16/06/2010,26.06,0.022115353
15/06/2010,25.49,0.047809868
14/06/2010,24.3,-0.003286774
11/06/2010,24.38,0.029977266
10/06/2010,23.66,0.034834741
09/06/2010,22.85,-0.019072967
08/06/2010,23.29,0.000859107
07/06/2010,23.27,-0.016620881
04/06/2010,23.66,-0.033662019
03/06/2010,24.47,0.026502586
02/06/2010,23.83,0.032412219
01/06/2010,23.07,-0.021441645
28/05/2010,23.57,-0.010550847
27/05/2010,23.82,0.03982543
26/05/2010,22.89,-0.000873363
25/05/2010,22.91,0
24/05/2010,22.91,-0.015591481
21/05/2010,23.27,0.016028067
20/05/2010,22.9,-0.030109801
19/05/2010,23.6,0.010221554
18/05/2010,23.36,-0.032430722
17/05/2010,24.13,0.032002731
14/05/2010,23.37,-0.024932625
13/05/2010,23.96,-0.032439716
12/05/2010,24.75,0.023299644
11/05/2010,24.18,-0.010695289
10/05/2010,24.44,0.040498124
07/05/2010,23.47,-0.020245314
06/05/2010,23.95,-0.03083492
05/05/2010,24.7,0
04/05/2010,24.7,-0.048597356
03/05/2010,25.93,0.02222747
30/04/2010,25.36,-0.023383762
29/04/2010,25.96,0.008899266
28/04/2010,25.73,0.014878896
27/04/2010,25.35,-0.048884083
26/04/2010,26.62,0.003386645
23/04/2010,26.53,-0.006387397
22/04/2010,26.7,0.021196857
21/04/2010,26.14,-0.023067765
20/04/2010,26.75,0.025749245
19/04/2010,26.07,-0.006880761
16/04/2010,26.25,-0.010233176
15/04/2010,26.52,0.015197861
14/04/2010,26.12,0.015432405
13/04/2010,25.72,0.012126102
12/04/2010,25.41,0.019873468
09/04/2010,24.91,0.003619549
08/04/2010,24.82,-0.010819581
07/04/2010,25.09,-0.003183449
06/04/2010,25.17,0.003582093
05/04/2010,25.08,0.028717848
01/04/2010,24.37,0.002876517
31/03/2010,24.3,-0.008196767
30/03/2010,24.5,0.007785329
29/03/2010,24.31,-0.000411269
26/03/2010,24.32,0.000411269
25/03/2010,24.31,-0.008601323
24/03/2010,24.52,-0.045444248
23/03/2010,25.66,0.009790562
22/03/2010,25.41,0.0299603
19/03/2010,24.66,-0.029172898
18/03/2010,25.39,-0.007064394
17/03/2010,25.57,0.005883524
16/03/2010,25.42,0.022678513
15/03/2010,24.85,-0.005617992
12/03/2010,24.99,0.002403847
11/03/2010,24.93,-0.003603608
10/03/2010,25.02,0.015304366
09/03/2010,24.64,-0.00162206
08/03/2010,24.68,-0.011281344
05/03/2010,24.96,0.016970104
04/03/2010,24.54,-0.004066699
03/03/2010,24.64,-0.006472515
02/03/2010,24.8,-0.009231452
01/03/2010,25.03,0.02426322
26/02/2010,24.43,-0.000409249
25/02/2010,24.44,0.011936754
24/02/2010,24.15,0.038409448
23/02/2010,23.24,-0.022128563
22/02/2010,23.76,-0.002941797
19/02/2010,23.83,0.002941797
18/02/2010,23.76,0.013986242
17/02/2010,23.43,0.000853971
16/02/2010,23.41,0.023337273
12/02/2010,22.87,0.009224752
11/02/2010,22.66,0.026835242
10/02/2010,22.06,0.004543397
09/02/2010,21.96,0.015141377
08/02/2010,21.63,-0.002308937
05/02/2010,21.68,0.02427757
04/02/2010,21.16,-0.056501824
03/02/2010,22.39,0.004925016
02/02/2010,22.28,0.018116438
01/02/2010,21.88,0.025927378
29/01/2010,21.32,-0.025927378
28/01/2010,21.88,-0.02438044
27/01/2010,22.42,0.056424045
26/01/2010,21.19,-0.00658516
25/01/2010,21.33,0.005170399
22/01/2010,21.22,-0.044246849
21/01/2010,22.18,0.02372374
20/01/2010,21.66,-0.004146516
19/01/2010,21.75,0.016222836
15/01/2010,21.4,-0.030828298
14/01/2010,22.07,-0.003166707
13/01/2010,22.14,0.01181295
12/01/2010,21.88,-0.031048613
11/01/2010,22.57,-0.008822289
08/01/2010,22.77,0.019065086
07/01/2010,22.34,-0.004911821
06/01/2010,22.45,-0.01195498
05/01/2010,22.72,-0.012248622
04/01/2010,23,0.016217756
