Date,Close,PFE
04/08/2011,17.36,-0.037868328
03/08/2011,18.03,-0.006082407
02/08/2011,18.14,-0.046845712
01/08/2011,19.01,-0.012545904
29/07/2011,19.25,-0.005698021
28/07/2011,19.36,0.003103986
27/07/2011,19.3,-0.016953912
26/07/2011,19.63,-0.009127852
25/07/2011,19.81,-0.013039302
22/07/2011,20.07,-0.001493652
21/07/2011,20.1,0.010000083
20/07/2011,19.9,-0.002008033
19/07/2011,19.94,0.015159462
18/07/2011,19.64,-0.005585188
15/07/2011,19.75,-0.008068627
14/07/2011,19.91,-0.00401003
13/07/2011,19.99,-0.000500125
12/07/2011,20,-0.001998003
11/07/2011,20.04,-0.005970167
08/07/2011,20.16,-0.003466208
07/07/2011,20.23,-0.026824334
06/07/2011,20.78,0
05/07/2011,20.78,0.001444739
01/07/2011,20.75,0.007255171
30/06/2011,20.6,-0.003392298
29/06/2011,20.67,0.005822433
28/06/2011,20.55,0.018664589
27/06/2011,20.17,0.004472057
24/06/2011,20.08,-0.027991025
23/06/2011,20.65,0.018080141
22/06/2011,20.28,-0.00736923
21/06/2011,20.43,0.007862448
20/06/2011,20.27,0.000493462
17/06/2011,20.26,0.000987654
16/06/2011,20.24,0.002473412
15/06/2011,20.19,-0.019132298
14/06/2011,20.58,0.00584797
13/06/2011,20.46,0.017254557
10/06/2011,20.11,-0.031329043
09/06/2011,20.75,0.003379197
08/06/2011,20.68,-0.002897153
07/06/2011,20.74,0
06/06/2011,20.74,-0.004810014
03/06/2011,20.84,-0.007648221
02/06/2011,21,-0.002378122
01/06/2011,21.05,-0.018824085
31/05/2011,21.45,0.024541109
27/05/2011,20.93,0.001434377
26/05/2011,20.9,0.005758173
25/05/2011,20.78,0.012590965
24/05/2011,20.52,-0.003405501
23/05/2011,20.59,-0.004844971
20/05/2011,20.69,-0.016299498
19/05/2011,21.03,-0.00710735
18/05/2011,21.18,0.00189036
17/05/2011,21.14,0.007597377
16/05/2011,20.98,0.002863964
13/05/2011,20.92,0.001435064
12/05/2011,20.89,0.013494181
11/05/2011,20.61,-0.012057055
10/05/2011,20.86,0.012542374
09/05/2011,20.6,0.002430135
06/05/2011,20.55,0.007816356
05/05/2011,20.39,-0.012186356
04/05/2011,20.64,0.009737175
03/05/2011,20.44,-0.0279806
02/05/2011,21.02,0.002381521
29/04/2011,20.97,0.00669859
28/04/2011,20.83,0.009647928
27/04/2011,20.63,0.021558895
26/04/2011,20.19,0.002479545
25/04/2011,20.14,0.017531128
21/04/2011,19.79,-0.029867825
20/04/2011,20.39,-0.006842646
19/04/2011,20.53,0.00635233
18/04/2011,20.4,-0.00635233
15/04/2011,20.53,0.001950269
14/04/2011,20.49,0.001465202
13/04/2011,20.46,0
12/04/2011,20.46,-0.010211613
11/04/2011,20.67,0.010211613
08/04/2011,20.46,0.006374133
07/04/2011,20.33,0.001969474
06/04/2011,20.29,-0.007854729
05/04/2011,20.45,-0.004391322
04/04/2011,20.54,0.007820177
01/04/2011,20.38,0.003440652
31/03/2011,20.31,-0.001476015
30/03/2011,20.34,-0.001964637
29/03/2011,20.38,0.005412067
28/03/2011,20.27,-0.003938951
25/03/2011,20.35,0.002460026
24/03/2011,20.3,0.018896634
23/03/2011,19.92,-0.001003512
22/03/2011,19.94,-0.002004009
21/03/2011,19.98,-0.009960242
18/03/2011,20.18,0.014977814
17/03/2011,19.88,0.029609105
16/03/2011,19.3,-0.023554596
15/03/2011,19.76,-0.002527168
14/03/2011,19.81,0.017312041
11/03/2011,19.47,0.005665738
10/03/2011,19.36,-0.015377033
09/03/2011,19.66,-0.001016777
08/03/2011,19.68,0.003563251
07/03/2011,19.61,-0.002546475
04/03/2011,19.66,-0.005579522
03/03/2011,19.77,0.029776327
02/03/2011,19.19,0.002608924
01/03/2011,19.14,-0.005211059
28/02/2011,19.24,0.019948168
25/02/2011,18.86,-0.002118645
24/02/2011,18.9,0.007434978
23/02/2011,18.76,-0.006905738
22/02/2011,18.89,-0.015756629
18/02/2011,19.19,-0.009336167
17/02/2011,19.37,0.004657188
16/02/2011,19.28,0.012001188
15/02/2011,19.05,0
14/02/2011,19.05,0.011615759
11/02/2011,18.83,-0.010565339
10/02/2011,19.03,-0.00105042
09/02/2011,19.05,-0.005757671
08/02/2011,19.16,0.006282743
07/02/2011,19.04,-0.013563067
