Date,Close,FLIR
30/12/2010,29.97,0.004347106
29/12/2010,29.84,0.001341382
28/12/2010,29.8,-0.001006205
27/12/2010,29.83,0.006727237
23/12/2010,29.63,-0.002022927
22/12/2010,29.69,0.023514459
21/12/2010,29,0.006226239
20/12/2010,28.82,0.01292143
17/12/2010,28.45,0.014516098
16/12/2010,28.04,0.029680065
15/12/2010,27.22,-0.006225986
14/12/2010,27.39,-0.015577203
13/12/2010,27.82,-0.005377321
10/12/2010,27.97,0.007536372
09/12/2010,27.76,-0.001799533
08/12/2010,27.81,0.002159828
07/12/2010,27.75,-0.010752792
06/12/2010,28.05,-0.012048339
03/12/2010,28.39,0.001057269
02/12/2010,28.36,0.023908364
01/12/2010,27.69,0.032296385
30/11/2010,26.81,-0.013706456
29/11/2010,27.18,-0.008061605
26/11/2010,27.4,-0.007997135
24/11/2010,27.62,0.036877335
23/11/2010,26.62,-0.027053716
22/11/2010,27.35,0.000365698
19/11/2010,27.34,-0.001461989
18/11/2010,27.38,0.014346393
17/11/2010,26.99,-0.011420275
16/11/2010,27.3,-0.029594365
15/11/2010,28.12,0.013605652
12/11/2010,27.74,-0.015737092
11/11/2010,28.18,-0.022457084
10/11/2010,28.82,0.01644256
09/11/2010,28.35,-0.010177312
08/11/2010,28.64,0.001048035
05/11/2010,28.61,0.005256714
04/11/2010,28.46,0.008823068
03/11/2010,28.21,0.012484557
02/11/2010,27.86,0.007204642
01/11/2010,27.66,-0.006486509
29/10/2010,27.84,0.006848107
28/10/2010,27.65,0.00217234
27/10/2010,27.59,0.019027285
26/10/2010,27.07,0.008160283
25/10/2010,26.85,0.016523095
22/10/2010,26.41,-0.023574525
21/10/2010,27.04,0.061780985
20/10/2010,25.42,0.014263316
19/10/2010,25.06,-0.027938075
18/10/2010,25.77,-0.000775795
15/10/2010,25.79,0.009740969
14/10/2010,25.54,-0.000782779
13/10/2010,25.56,0.015773198
12/10/2010,25.16,0.018857128
11/10/2010,24.69,0.003245439
08/10/2010,24.61,-0.001218274
07/10/2010,24.64,-0.014104606
06/10/2010,24.99,-0.011537824
05/10/2010,25.28,0.00874062
04/10/2010,25.06,-0.026773253
01/10/2010,25.74,0.00155521
30/09/2010,25.7,-0.011605546
29/09/2010,26,0.000384689
28/09/2010,25.99,-0.038125017
27/09/2010,27,-0.004065798
24/09/2010,27.11,0.011127711
23/09/2010,26.81,-0.019575879
22/09/2010,27.34,-0.011636495
21/09/2010,27.66,-0.003608809
20/09/2010,27.76,0.018909654
17/09/2010,27.24,0.001469508
16/09/2010,27.2,-0.008420332
15/09/2010,27.43,0.003286474
14/09/2010,27.34,0.00366435
13/09/2010,27.24,0.015165817
10/09/2010,26.83,0.024143006
09/09/2010,26.19,-0.006470051
08/09/2010,26.36,-0.007558615
07/09/2010,26.56,-0.007501911
03/09/2010,26.76,0.018100042
02/09/2010,26.28,0.004576667
01/09/2010,26.16,0.04136368
31/08/2010,25.1,0.005593303
