Date,Close,PCL
04/04/2011,44,0.007299302
01/04/2011,43.68,0.00160385
31/03/2011,43.61,0.010835841
30/03/2011,43.14,0
29/03/2011,43.14,0.012361673
28/03/2011,42.61,0.003997654
25/03/2011,42.44,-0.007043936
24/03/2011,42.74,0.007043936
23/03/2011,42.44,0.007331238
22/03/2011,42.13,-0.019974815
21/03/2011,42.98,0.005365696
18/03/2011,42.75,0.016509809
17/03/2011,42.05,0.010518863
16/03/2011,41.61,-0.011232045
15/03/2011,42.08,-0.004741593
14/03/2011,42.28,0.018138922
11/03/2011,41.52,0.023886098
10/03/2011,40.54,-0.017846703
09/03/2011,41.27,-0.000242277
08/03/2011,41.28,0.018335681
07/03/2011,40.53,-0.008843094
04/03/2011,40.89,-0.012636863
03/03/2011,41.41,0.005569696
02/03/2011,41.18,0.007067167
01/03/2011,40.89,-0.025831249
28/02/2011,41.96,0.012470186
25/02/2011,41.44,0.012627657
24/02/2011,40.92,-0.00463246
23/02/2011,41.11,-0.014729229
22/02/2011,41.72,-0.019229079
18/02/2011,42.53,0.004713655
17/02/2011,42.33,0.000236267
16/02/2011,42.32,-0.004949922
15/02/2011,42.53,0.000940955
14/02/2011,42.49,-0.002115905
11/02/2011,42.58,0.011336919
10/02/2011,42.1,0.004523279
09/02/2011,41.91,-0.001907033
