Date,Close,BBT
07/04/2011,27.4,-0.000364897
06/04/2011,27.41,-0.001458258
05/04/2011,27.45,-0.002910151
04/04/2011,27.53,-0.003263829
01/04/2011,27.62,0.00617398
31/03/2011,27.45,-0.009066245
30/03/2011,27.7,0.001445087
29/03/2011,27.66,0.013466992
28/03/2011,27.29,0.008094231
25/03/2011,27.07,0.014886765
24/03/2011,26.67,0.003004133
23/03/2011,26.59,-0.001503195
22/03/2011,26.63,-0.009344116
21/03/2011,26.88,-0.004824652
18/03/2011,27.01,0.005196745
17/03/2011,26.87,0.004849851
16/03/2011,26.74,-0.003360093
15/03/2011,26.83,0
14/03/2011,26.83,-0.010013063
11/03/2011,27.1,0.020880699
10/03/2011,26.54,-0.016813398
09/03/2011,26.99,0.000370576
08/03/2011,26.98,0.023627576
07/03/2011,26.35,-0.000758725
04/03/2011,26.37,-0.026199103
03/03/2011,27.07,0.000369481
02/03/2011,27.06,0.00147929
01/03/2011,27.02,-0.02123844
28/02/2011,27.6,-0.001809955
25/02/2011,27.65,-0.001445609
24/02/2011,27.69,0
23/02/2011,27.69,-0.001443522
22/02/2011,27.73,-0.024226336
18/02/2011,28.41,0.000352051
17/02/2011,28.4,-0.012944032
16/02/2011,28.77,0.001043297
15/02/2011,28.74,-0.011416834
14/02/2011,29.07,-0.001718509
11/02/2011,29.12,0.019418086
10/02/2011,28.56,-0.014253674
09/02/2011,28.97,-0.006879972
08/02/2011,29.17,0.01554704
