Date,Close,EXPE
03/08/2011,30.64,0.006220351
02/08/2011,30.45,-0.030721899
01/08/2011,31.4,-0.009193281
29/07/2011,31.69,0.089050231
28/07/2011,28.99,-0.026214267
27/07/2011,29.76,-0.027507948
26/07/2011,30.59,0.013825105
25/07/2011,30.17,0.003985392
22/07/2011,30.05,0
21/07/2011,30.05,0.005004181
20/07/2011,29.9,-0.01394908
19/07/2011,30.32,0.018978429
18/07/2011,29.75,-0.016997576
15/07/2011,30.26,0.001653713
14/07/2011,30.21,-0.013153758
13/07/2011,30.61,0.001307617
12/07/2011,30.57,0.005905529
11/07/2011,30.39,-0.00949737
08/07/2011,30.68,0.014114792
07/07/2011,30.25,0.012306824
06/07/2011,29.88,-0.001671962
05/07/2011,29.93,0.013116045
01/07/2011,29.54,0.018794334
30/06/2011,28.99,0.013893937
29/06/2011,28.59,0.005612081
28/06/2011,28.43,0.019176724
27/06/2011,27.89,-0.002506716
24/06/2011,27.96,-0.011733468
23/06/2011,28.29,0.007806995
22/06/2011,28.07,-0.007453451
21/06/2011,28.28,0.032707318
20/06/2011,27.37,0.012500163
17/06/2011,27.03,0.000740192
16/06/2011,27.01,-0.008112139
15/06/2011,27.23,-0.017834868
14/06/2011,27.72,0.008695707
13/06/2011,27.48,0.017621601
10/06/2011,27,-0.011782169
09/06/2011,27.32,0.006241988
08/06/2011,27.15,0.009622576
07/06/2011,26.89,-0.001486437
06/06/2011,26.93,-0.025661232
03/06/2011,27.63,-0.010441139
02/06/2011,27.92,0.004307257
01/06/2011,27.8,-0.007525569
31/05/2011,28.01,0.011490252
27/05/2011,27.69,0.011989244
26/05/2011,27.36,0.001097093
25/05/2011,27.33,-0.001097093
24/05/2011,27.36,-0.006920443
23/05/2011,27.55,-0.000725689
20/05/2011,27.57,0.011307799
19/05/2011,27.26,0.023006581
18/05/2011,26.64,0.041385216
17/05/2011,25.56,0.024154807
16/05/2011,24.95,-0.008778987
13/05/2011,25.17,0.001988468
12/05/2011,25.12,0.001593626
11/05/2011,25.08,-0.010708014
10/05/2011,25.35,-0.001970444
09/05/2011,25.4,0.005527057
06/05/2011,25.26,0.021205035
05/05/2011,24.73,0.000404449
04/05/2011,24.72,-0.010462872
03/05/2011,24.98,-0.015491869
02/05/2011,25.37,0.013891869
29/04/2011,25.02,0.013682306
28/04/2011,24.68,0.017576582
27/04/2011,24.25,-0.005346507
26/04/2011,24.38,0
25/04/2011,24.38,0.022398282
21/04/2011,23.84,0.010541949
20/04/2011,23.59,0.01279881
19/04/2011,23.29,-0.005139198
18/04/2011,23.41,-0.010622577
15/04/2011,23.66,0.000422744
14/04/2011,23.65,-0.014273962
13/04/2011,23.99,-0.009128694
12/04/2011,24.21,-0.01272334
11/04/2011,24.52,-0.031315285
08/04/2011,25.3,0.121743437
07/04/2011,22.4,-0.003565066
06/04/2011,22.48,-0.010619569
05/04/2011,22.72,0.012846245
04/04/2011,22.43,0.007608003
01/04/2011,22.26,-0.01780991
31/03/2011,22.66,-0.007474205
30/03/2011,22.83,0.037487656
29/03/2011,21.99,0.016968992
28/03/2011,21.62,-0.009666358
25/03/2011,21.83,-0.001373312
24/03/2011,21.86,0.015211171
23/03/2011,21.53,-0.002319648
22/03/2011,21.58,-0.000926355
21/03/2011,21.6,0.013047715
18/03/2011,21.32,-0.010266072
17/03/2011,21.54,0.002323961
16/03/2011,21.49,-0.009263614
15/03/2011,21.69,-0.000460936
14/03/2011,21.7,-0.004597709
11/03/2011,21.8,0.015253358
10/03/2011,21.47,0.000931967
09/03/2011,21.45,-0.006968669
08/03/2011,21.6,0.028170877
07/03/2011,21,0.010531452
04/03/2011,20.78,0.028308381
03/03/2011,20.2,0.014962873
02/03/2011,19.9,0.010608839
01/03/2011,19.69,-0.008596766
28/02/2011,19.86,-0.014000229
25/02/2011,20.14,-0.006434073
24/02/2011,20.27,-0.002463662
23/02/2011,20.32,-0.001966569
22/02/2011,20.36,-0.029043668
18/02/2011,20.96,-0.002382655
17/02/2011,21.01,-0.008530857
16/02/2011,21.19,-0.024243612
15/02/2011,21.71,0.000921659
14/02/2011,21.69,0.017674879
11/02/2011,21.31,-0.186925365
10/02/2011,25.69,0.010172232
09/02/2011,25.43,-0.021397432
08/02/2011,25.98,0.026522616
07/02/2011,25.3,0.00197824
04/02/2011,25.25,0.010750651
03/02/2011,24.98,-0.009958258
02/02/2011,25.23,-0.003560835
01/02/2011,25.32,0.006339165
31/01/2011,25.16,0.007179927
28/01/2011,24.98,-0.016279891
27/01/2011,25.39,0.001971221
26/01/2011,25.34,-0.016438726
25/01/2011,25.76,-0.00850411
24/01/2011,25.98,0
21/01/2011,25.98,-0.011861627
20/01/2011,26.29,-0.001900058
19/01/2011,26.34,-0.013200267
18/01/2011,26.69,-0.022597739
14/01/2011,27.3,0.006615239
13/01/2011,27.12,0.017482312
12/01/2011,26.65,0.010941441
11/01/2011,26.36,0.032777177
10/01/2011,25.51,-0.004302764
07/01/2011,25.62,0.02050545
06/01/2011,25.1,-0.013061733
05/01/2011,25.43,0.040527111
04/01/2011,24.42,-0.015037877
03/01/2011,24.79,-0.012029014
31/12/2010,25.09,-0.007544209
30/12/2010,25.28,-0.011797227
29/12/2010,25.58,0.003916965
28/12/2010,25.48,-0.003525959
27/12/2010,25.57,-0.029289184
23/12/2010,26.33,-0.010953839
22/12/2010,26.62,-0.021186446
21/12/2010,27.19,0.010722972
20/12/2010,26.9,0.002605622
17/12/2010,26.83,0.032193653
16/12/2010,25.98,0.0112252
15/12/2010,25.69,0.004682022
14/12/2010,25.57,-0.02166429
13/12/2010,26.13,-0.048917723
10/12/2010,27.44,0.009888379
09/12/2010,27.17,0.005906256
08/12/2010,27.01,0.002966261
07/12/2010,26.93,-0.009608352
06/12/2010,27.19,0.005162253
03/12/2010,27.05,0.003332719
02/12/2010,26.96,0.006325602
01/12/2010,26.79,0.01731971
30/11/2010,26.33,-0.016946367
29/11/2010,26.78,0.01542834
26/11/2010,26.37,0.005704522
24/11/2010,26.22,0.033349349
23/11/2010,25.36,-0.019910867
22/11/2010,25.87,-0.013057021
19/11/2010,26.21,-0.009115141
18/11/2010,26.45,0.014854587
17/11/2010,26.06,0.02172312
16/11/2010,25.5,-0.012470933
15/11/2010,25.82,-0.032014929
12/11/2010,26.66,-0.02445472
11/11/2010,27.32,-0.005111366
10/11/2010,27.46,0.004013871
09/11/2010,27.35,-0.024202012
08/11/2010,28.02,0.026031839
05/11/2010,27.3,0.004773279
04/11/2010,27.17,-0.054086592
03/11/2010,28.68,-0.000348614
02/11/2010,28.69,0.005242018
01/11/2010,28.54,-0.014263592
29/10/2010,28.95,-0.006541597
28/10/2010,29.14,0.004815971
27/10/2010,29,0.024787445
26/10/2010,28.29,-0.010548621
25/10/2010,28.59,0.010902165
22/10/2010,28.28,0.013886639
21/10/2010,27.89,0.026522899
20/10/2010,27.16,0.011479482
19/10/2010,26.85,-0.022100347
18/10/2010,27.45,-0.013389019
15/10/2010,27.82,0.004322773
14/10/2010,27.7,-0.021075972
