Date,Close,NEE
07/12/2010,50.84,-0.001375922
06/12/2010,50.91,-0.003725129
03/12/2010,51.1,-0.002540801
02/12/2010,51.23,0.005873157
01/12/2010,50.93,0.006105386
30/11/2010,50.62,-0.001579155
29/11/2010,50.7,-0.001576666
26/11/2010,50.78,-0.013885038
24/11/2010,51.49,0.006234191
23/11/2010,51.17,-0.017819569
22/11/2010,52.09,0.002306363
19/11/2010,51.97,-0.007094268
18/11/2010,52.34,0.00248685
17/11/2010,52.21,-0.006681327
16/11/2010,52.56,-0.019033836
15/11/2010,53.57,-0.001119403
12/11/2010,53.63,-0.004836319
11/11/2010,53.89,-0.004443629
10/11/2010,54.13,-0.005526912
09/11/2010,54.43,-0.000367377
08/11/2010,54.45,-0.005129156
05/11/2010,54.73,-0.005102982
04/11/2010,55.01,0.006931804
03/11/2010,54.63,0.004219029
02/11/2010,54.4,0.008862687
01/11/2010,53.92,-0.020558727
29/10/2010,55.04,-0.00018167
28/10/2010,55.05,0.006378154
27/10/2010,54.7,-0.009823619
26/10/2010,55.24,0.007085142
25/10/2010,54.85,-0.010879527
22/10/2010,55.45,-0.002521615
21/10/2010,55.59,-0.007883933
20/10/2010,56.03,0.009324077
19/10/2010,55.51,-0.005569043
18/10/2010,55.82,0.008997721
15/10/2010,55.32,-0.000361468
14/10/2010,55.34,-0.00234636
13/10/2010,55.47,0.004155006
12/10/2010,55.24,0.004535978
11/10/2010,54.99,0.00127377
08/10/2010,54.92,0.000364232
07/10/2010,54.9,0.002188185
06/10/2010,54.78,0.00696101
05/10/2010,54.4,0.00756531
04/10/2010,53.99,-0.007749116
01/10/2010,54.41,0.000367647
30/09/2010,54.39,-0.005134799
29/09/2010,54.67,-0.006199874
28/09/2010,55.01,0.006199874
27/09/2010,54.67,0.003114411
24/09/2010,54.5,0.017584905
23/09/2010,53.55,-0.014092575
22/09/2010,54.31,0.004059046
21/09/2010,54.09,-0.007551376
20/09/2010,54.5,0.013671005
17/09/2010,53.76,-0.00204404
16/09/2010,53.87,0.00223007
15/09/2010,53.75,-0.023353088
14/09/2010,55.02,-0.007784958
13/09/2010,55.45,0.005243661
10/09/2010,55.16,0.010021037
09/09/2010,54.61,0.006245428
08/09/2010,54.27,-0.00036846
07/09/2010,54.29,-0.006426167
03/09/2010,54.64,0
02/09/2010,54.64,0.000366099
01/09/2010,54.62,0.016428611
31/08/2010,53.73,0.008785924
30/08/2010,53.26,-0.011759352
27/08/2010,53.89,0.015710067
26/08/2010,53.05,-0.004138456
25/08/2010,53.27,-0.018966727
24/08/2010,54.29,0.010554676
23/08/2010,53.72,0.008036675
20/08/2010,53.29,0.027586644
19/08/2010,51.84,-0.013603045
18/08/2010,52.55,0.00152352
17/08/2010,52.47,0.00592566
16/08/2010,52.16,0.002687658
13/08/2010,52.02,-0.00076864
12/08/2010,52.06,-0.011838977
11/08/2010,52.68,-0.02010779
10/08/2010,53.75,0.005035915
09/08/2010,53.48,-0.004291452
06/08/2010,53.71,0.008413624
05/08/2010,53.26,-0.006363488
04/08/2010,53.6,-0.002608535
03/08/2010,53.74,-0.005011611
02/08/2010,54.01,0.032172844
30/07/2010,52.3,-0.003816799
29/07/2010,52.5,-0.010798627
28/07/2010,53.07,-0.01366167
27/07/2010,53.8,0.018194256
26/07/2010,52.83,0.000378644
23/07/2010,52.81,-0.000567913
22/07/2010,52.84,0.013719727
21/07/2010,52.12,-0.011066703
20/07/2010,52.7,-0.001327392
19/07/2010,52.77,0.003036632
16/07/2010,52.61,-0.006252981
15/07/2010,52.94,0.015994248
14/07/2010,52.1,-0.00344894
13/07/2010,52.28,0.007102439
12/07/2010,51.91,0.00928979
09/07/2010,51.43,0.008396027
08/07/2010,51,0.003929278
07/07/2010,50.8,0.02794593
06/07/2010,49.4,0.008946786
02/07/2010,48.96,0.000204269
01/07/2010,48.95,0.003889064
30/06/2010,48.76,0.008030518
29/06/2010,48.37,-0.016810564
28/06/2010,49.19,-0.000609694
25/06/2010,49.22,-0.007287482
24/06/2010,49.58,-0.0124275
23/06/2010,50.2,-0.010108103
22/06/2010,50.71,-0.023773528
21/06/2010,51.93,-0.01110697
18/06/2010,52.51,0.002669719
17/06/2010,52.37,0.013263049
16/06/2010,51.68,0.007185195
15/06/2010,51.31,0.015912329
14/06/2010,50.5,0.009950331
