Date,Close,VTR
10/09/2010,52.15,0.001535214
09/09/2010,52.07,-0.015436228
08/09/2010,52.88,0.004169041
07/09/2010,52.66,-0.013017824
03/09/2010,53.35,0.012638101
02/09/2010,52.68,0.00647498
01/09/2010,52.34,0.035589561
31/08/2010,50.51,0.002180161
30/08/2010,50.4,-0.00435558
27/08/2010,50.62,0.019549795
26/08/2010,49.64,-0.007026025
25/08/2010,49.99,0.008235459
24/08/2010,49.58,-0.012228277
23/08/2010,50.19,-0.001194743
20/08/2010,50.25,0.004587621
19/08/2010,50.02,-0.026631419
18/08/2010,51.37,-0.002139038
17/08/2010,51.48,0.03117238
16/08/2010,49.9,0.000801925
13/08/2010,49.86,-0.000200541
12/08/2010,49.87,-0.015717025
11/08/2010,50.66,-0.028220224
10/08/2010,52.11,-0.002108694
09/08/2010,52.22,0.010588221
06/08/2010,51.67,0.002325132
05/08/2010,51.55,-0.014061678
04/08/2010,52.28,0.002489707
03/08/2010,52.15,-0.004973231
02/08/2010,52.41,0.032777103
30/07/2010,50.72,0.006726039
29/07/2010,50.38,-0.011250489
28/07/2010,50.95,-0.013451806
27/07/2010,51.64,-0.003672566
26/07/2010,51.83,0.02520403
23/07/2010,50.54,0.01414789
22/07/2010,49.83,0.034088411
21/07/2010,48.16,-0.023598099
20/07/2010,49.31,0.023805762
19/07/2010,48.15,0.019080147
16/07/2010,47.24,-0.022604562
15/07/2010,48.32,-0.008038794
14/07/2010,48.71,-0.007567272
13/07/2010,49.08,0.012300278
12/07/2010,48.48,-0.001442853
09/07/2010,48.55,0.013061241
08/07/2010,47.92,-0.001876369
07/07/2010,48.01,0.040813316
06/07/2010,46.09,-0.006918947
02/07/2010,46.41,-0.01390843
01/07/2010,47.06,0.002340178
30/06/2010,46.95,-0.002340178
29/06/2010,47.06,-0.024350489
28/06/2010,48.22,-0.007026274
25/06/2010,48.56,0.025022156
24/06/2010,47.36,-0.01091989
23/06/2010,47.88,-0.002711442
22/06/2010,48.01,-0.030159225
21/06/2010,49.48,-0.001211877
18/06/2010,49.54,-0.008242081
17/06/2010,49.95,0.003409208
16/06/2010,49.78,-0.007205796
15/06/2010,50.14,0.025450778
14/06/2010,48.88,0.01110894
11/06/2010,48.34,0.012699244
10/06/2010,47.73,0.039312903
09/06/2010,45.89,-0.005433024
08/06/2010,46.14,0.019256613
07/06/2010,45.26,-0.004629128
04/06/2010,45.47,-0.048297829
03/06/2010,47.72,-0.004182357
02/06/2010,47.92,0.026431394
01/06/2010,46.67,-0.005981646
28/05/2010,46.95,-0.012277885
27/05/2010,47.53,0.051149351
26/05/2010,45.16,-0.00815971
25/05/2010,45.53,0.009489203
24/05/2010,45.1,-0.019324273
21/05/2010,45.98,0.039934321
20/05/2010,44.18,-0.044924027
19/05/2010,46.21,-0.004534176
18/05/2010,46.42,-0.027410619
17/05/2010,47.71,-0.00188462
14/05/2010,47.8,-0.019884665
13/05/2010,48.76,-0.013849509
12/05/2010,49.44,0.015491545
11/05/2010,48.68,-0.012655813
10/05/2010,49.3,0.081751401
07/05/2010,45.43,-0.007237667
06/05/2010,45.76,-0.023540662
05/05/2010,46.85,-0.018399589
04/05/2010,47.72,-0.017037603
03/05/2010,48.54,0.027358916
30/04/2010,47.23,-0.035565774
29/04/2010,48.94,0.032605941
28/04/2010,47.37,-0.000422119
27/04/2010,47.39,-0.022946355
26/04/2010,48.49,0.010364935
23/04/2010,47.99,0.01744658
22/04/2010,47.16,0.023167059
21/04/2010,46.08,0.009375409
20/04/2010,45.65,0.023269748
19/04/2010,44.6,0.006749182
16/04/2010,44.3,-0.029799848
15/04/2010,45.64,-0.02295964
14/04/2010,46.7,-0.013188874
13/04/2010,47.32,0.012974765
12/04/2010,46.71,-0.006189327
09/04/2010,47,-0.006574088
08/04/2010,47.31,-0.011976191
07/04/2010,47.88,-0.020261185
06/04/2010,48.86,0.014637928
05/04/2010,48.15,0.015909902
