Date,Close,IPG
01/03/2010,8.26,0.096521567
26/02/2010,7.5,0.105360516
25/02/2010,6.75,-0.010316967
24/02/2010,6.82,-0.00438918
23/02/2010,6.85,-0.030196399
22/02/2010,7.06,-0.007057192
19/02/2010,7.11,0.002816903
18/02/2010,7.09,0.015636424
17/02/2010,6.98,0.015884811
16/02/2010,6.87,0.022075952
12/02/2010,6.72,-0.001486989
11/02/2010,6.73,0.034772967
10/02/2010,6.5,0.015504187
09/02/2010,6.4,0.007843177
08/02/2010,6.35,-0.006279455
05/02/2010,6.39,-0.003125003
04/02/2010,6.41,-0.042754603
03/02/2010,6.69,-0.00447428
02/02/2010,6.72,0.018018506
01/02/2010,6.6,0.021440331
29/01/2010,6.46,-0.009245058
28/01/2010,6.52,0.007698267
27/01/2010,6.47,-0.028943376
26/01/2010,6.66,-0.017857617
25/01/2010,6.78,-0.01027155
22/01/2010,6.85,-0.023089049
21/01/2010,7.01,-0.019774656
20/01/2010,7.15,0.004204631
19/01/2010,7.12,-0.005602256
15/01/2010,7.16,-0.008344972
14/01/2010,7.22,-0.021918686
13/01/2010,7.38,0.012270093
12/01/2010,7.29,-0.024391453
11/01/2010,7.47,0.027138708
08/01/2010,7.27,0.001376463
07/01/2010,7.26,-0.025834204
06/01/2010,7.45,0
05/01/2010,7.45,-0.010681009
04/01/2010,7.53,0.020121403
31/12/2009,7.38,0.013642776
30/12/2009,7.28,0.011049836
29/12/2009,7.2,-0.006920443
28/12/2009,7.25,-0.020478531
24/12/2009,7.4,0.024625047
23/12/2009,7.22,0.00555557
22/12/2009,7.18,0.001393728
21/12/2009,7.17,0
18/12/2009,7.17,0.004192878
17/12/2009,7.14,-0.035767224
16/12/2009,7.4,-0.008075414
15/12/2009,7.46,-0.009339628
14/12/2009,7.53,0.039273835
11/12/2009,7.24,0.008321823
10/12/2009,7.18,0.03543957
09/12/2009,6.93,0.004338402
08/12/2009,6.9,0.052056362
07/12/2009,6.55,0.029436672
04/12/2009,6.36,-0.00938974
03/12/2009,6.42,-0.010844413
02/12/2009,6.49,0.003086422
01/12/2009,6.47,0.021875872
30/11/2009,6.33,-0.020329082
27/11/2009,6.46,-0.022954336
25/11/2009,6.61,0.009118604
24/11/2009,6.55,-0.028594875
23/11/2009,6.74,-0.013264749
20/11/2009,6.83,0.008823587
19/11/2009,6.77,-0.014663019
18/11/2009,6.87,0.001456664
17/11/2009,6.86,-0.023055776
16/11/2009,7.02,0.036262131
13/11/2009,6.77,0.026947738
12/11/2009,6.59,-0.041610758
11/11/2009,6.87,0.02505658
10/11/2009,6.7,-0.010393561
09/11/2009,6.77,0.045324978
06/11/2009,6.47,0.014008011
05/11/2009,6.38,0.043241324
04/11/2009,6.11,0.019835361
03/11/2009,5.99,0.016835414
