Date,Close,R
18/04/2012,49.62,-0.013014499
17/04/2012,50.27,0.006586193
16/04/2012,49.94,0.004012846
13/04/2012,49.74,-0.025016194
12/04/2012,51,0.011834458
11/04/2012,50.4,0.005371544
10/04/2012,50.13,-0.034891819
09/04/2012,51.91,-0.028299296
05/04/2012,53.4,-0.000374462
04/04/2012,53.42,0.001686183
03/04/2012,53.33,-0.010631453
02/04/2012,53.9,0.020619287
30/03/2012,52.8,0.001516301
29/03/2012,52.72,-0.001705677
28/03/2012,52.81,-0.004722782
27/03/2012,53.06,-0.013478302
26/03/2012,53.78,-0.007963742
23/03/2012,54.21,0.007777817
22/03/2012,53.79,-0.017507127
21/03/2012,54.74,0.002011521
20/03/2012,54.63,-0.016700334
19/03/2012,55.55,0.003245585
16/03/2012,55.37,-0.002525254
15/03/2012,55.51,0.024620556
14/03/2012,54.16,-0.013752853
13/03/2012,54.91,0.02489296
12/03/2012,53.56,0.001120867
09/03/2012,53.5,0.010522457
08/03/2012,52.94,0.015035015
07/03/2012,52.15,0.005576401
06/03/2012,51.86,-0.017015992
05/03/2012,52.75,-0.014491643
02/03/2012,53.52,-0.012625493
01/03/2012,54.2,0.018058761
29/02/2012,53.23,0.015333949
28/02/2012,52.42,0.009776748
27/02/2012,51.91,-0.007867257
24/02/2012,52.32,-0.012347008
23/02/2012,52.97,0.018866686
22/02/2012,51.98,-0.016220182
21/02/2012,52.83,-0.01633379
17/02/2012,53.7,-0.004088465
16/02/2012,53.92,0.007819813
15/02/2012,53.5,-0.011522149
14/02/2012,54.12,-0.013398383
13/02/2012,54.85,0.01932872
10/02/2012,53.8,-0.006484506
09/02/2012,54.15,0.010582109
08/02/2012,53.58,0.009752515
07/02/2012,53.06,0.010610179
06/02/2012,52.5,-0.002283106
03/02/2012,52.62,-0.007572925
02/02/2012,53.02,-0.071328881
01/02/2012,56.94,0.01165885
31/01/2012,56.28,-0.011307541
30/01/2012,56.92,-0.004557414
27/01/2012,57.18,0.011963549
26/01/2012,56.5,0.008710392
25/01/2012,56.01,0.026595869
24/01/2012,54.54,-0.009125816
23/01/2012,55.04,-0.008142631
20/01/2012,55.49,-0.019452742
19/01/2012,56.58,0.009054656
18/01/2012,56.07,0.018359047
17/01/2012,55.05,0
13/01/2012,55.05,-0.010660504
12/01/2012,55.64,-0.005556068
11/01/2012,55.95,-0.003746325
10/01/2012,56.16,0.027072579
09/01/2012,54.66,0.000182966
